priority_rank,domain_priority_tier,tech_domain_id,tech_domain_label,tech_domain_display_order,within_domain_rank,domain_group_count,domain_curated_group_count,domain_provisional_group_count,domain_policy_count,policy_id,policy_name,policy_order,resource_category_id,resource_category_label,policy_item_group_id,group_label,group_summary,projection_source,group_status,content_count,evidence_count,source_policy_item_id,primary_strategy_id,primary_strategy_label,primary_tech_subdomain_id,primary_tech_subdomain_label,primary_document_id,primary_location_value,recommendation_reason
1,expand_curated,TD-002,에너지,2,1,3,1,2,2,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00044,E: 기후테크,ㅇ (E: 기후테크) 기후대응에너지산업육성으로그린강국도약실현,provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00044,STR-006,탄소중립 및 에너지 안보 (수소·SMR),,,DOC-POL-001,61,domain already has curated seed; expand curated breadth with remaining provisional groups
2,expand_curated,TD-002,에너지,2,2,3,1,2,2,POL-001,123대 국정과제,1,infrastructure_institutional,인프라·제도,PIG-PROV-ITM-POL-001-00694,100조원+α 규모국민성장펀드신설,ㅇ (100조원+α 규모국민성장펀드신설) AI 등미래전략산업과에너지 인프라등에투자하는민·관합동의대규모펀드조성,provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00694,STR-001,AI G3 도약 및 전 산업 AX 확산,,,DOC-POL-001,83,domain already has curated seed; expand curated breadth with remaining provisional groups
3,expand_curated,TD-003,이차전지,3,1,2,1,1,1,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00670,항공·이차전지(동남권),"- 항공·이차전지(동남권), 미래차·우주산업(서남권) 국가산단조성",provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00670,STR-002,초격차 전략기술 확보 (반도체·이차전지),,,DOC-POL-001,91,domain already has curated seed; expand curated breadth with remaining provisional groups
4,expand_curated,TD-004,국방,4,1,3,1,2,1,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00158,국방개혁로드맵마련,"ㅇ (국방개혁로드맵마련) 병력감축상황및총체전력차원에서, ‘AI·첨단과학 기술기반스마트강군육성’을위한국방개혁로드맵마련및추진",provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00158,STR-001,AI G3 도약 및 전 산업 AX 확산,,,DOC-POL-001,177,domain already has curated seed; expand curated breadth with remaining provisional groups
5,expand_curated,TD-004,국방,4,2,3,1,2,1,POL-001,123대 국정과제,1,infrastructure_institutional,인프라·제도,PIG-PROV-ITM-POL-001-00739,군사법개혁,"ㅇ (군사법개혁) 군수사·검찰기능의국방부통합, 군수사기관에 대한지휘·감독의투명성강화등을 통해독립적이고공정한군사법체계구축",provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00739,STR-013,디지털 트윈 및 가상화 공정 혁신,,,DOC-POL-001,22,domain already has curated seed; expand curated breadth with remaining provisional groups
6,expand_curated,TD-005,소재,5,1,3,1,2,2,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00600,첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),- 첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00600,STR-003,바이오·헬스 글로벌 중심국가 도약,,,DOC-POL-001,61,domain already has curated seed; expand curated breadth with remaining provisional groups
7,expand_curated,TD-005,소재,5,2,3,1,2,2,POL-002,AI-바이오 국가전략,2,technology,기술,PIG-PROV-ITM-POL-002-01096,AI-그린바이오,"□ (AI-그린바이오) 지역특화 고부가가치 소재 연구·활용(식품·화장품 등)을 위해 인프라 구축, 인력 양성 등 AI 그린바이오 혁신 생태계 조성",provisional_policy_item,provisional_auto,1,1,ITM-POL-002-01096,STR-003,바이오·헬스 글로벌 중심국가 도약,,,DOC-POL-002,section7,domain already has curated seed; expand curated breadth with remaining provisional groups
8,expand_curated,TD-006,사이버보안,6,1,2,1,1,1,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00308,보안이취약한지역·중소기업등보안사각지대지원강화,"- 보안이취약한지역·중소기업등보안사각지대지원강화, 피싱, 스미싱등 민생을위협하는디지털역기능해소및정보보호산업의전략적육성",provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00308,,,TSD-006-006,위협·정책 대응,DOC-POL-001,50,domain already has curated seed; expand curated breadth with remaining provisional groups
9,expand_curated,TD-007,차세대통신,7,1,3,1,2,2,POL-004,AI시대 대한민국 네트워크 전략,4,technology,기술,PIG-PROV-ITM-POL-004-01275,6G·AI네트워크 선도국 도약 및 글로벌 통신·네트워크 거대 시장 석권을 위해,"ㅇ 6G·AI네트워크 선도국 도약 및 글로벌 통신·네트워크 거대 시장 석권을 위해, 초격차 기술개발부터 AI-NW 융합서비스 조기 실증까지 과감하고 선제적 투자",provisional_policy_item,provisional_auto,1,1,ITM-POL-004-01275,STR-004,차세대 네트워크(6G) 및 지능형 인프라,TSD-007-001,차세대 유무선 통신,DOC-POL-011,section2,domain already has curated seed; expand curated breadth with remaining provisional groups
10,expand_curated,TD-007,차세대통신,7,2,3,1,2,2,POL-004,AI시대 대한민국 네트워크 전략,4,infrastructure_institutional,인프라·제도,PIG-PROV-ITM-POL-004-01298,고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,- 고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,provisional_policy_item,provisional_auto,1,1,ITM-POL-004-01298,STR-004,차세대 네트워크(6G) 및 지능형 인프라,TSD-007-001,차세대 유무선 통신,DOC-POL-011,section5,domain already has curated seed; expand curated breadth with remaining provisional groups
