policy_bucket_id,policy_id,resource_category_id,display_order,bucket_summary,bucket_status
PBK-POL-001-01,POL-001,technology,1,,ready
PBK-POL-001-02,POL-001,infrastructure_institutional,2,,ready
PBK-POL-001-03,POL-001,talent,3,,ready
PBK-POL-002-01,POL-002,technology,1,,ready
PBK-POL-002-02,POL-002,infrastructure_institutional,2,,ready
PBK-POL-002-03,POL-002,talent,3,,ready
PBK-POL-003-01,POL-003,technology,1,,ready
PBK-POL-003-02,POL-003,infrastructure_institutional,2,,ready
PBK-POL-003-03,POL-003,talent,3,,ready
PBK-POL-004-01,POL-004,technology,1,,ready
PBK-POL-004-02,POL-004,infrastructure_institutional,2,,ready
PBK-POL-004-03,POL-004,talent,3,,ready
PBK-POL-005-01,POL-005,technology,1,,ready
PBK-POL-005-02,POL-005,infrastructure_institutional,2,,ready
PBK-POL-005-03,POL-005,talent,3,,ready
PBK-POL-006-01,POL-006,technology,1,,ready
PBK-POL-006-02,POL-006,infrastructure_institutional,2,,ready
PBK-POL-006-03,POL-006,talent,3,,ready
PBK-POL-007-01,POL-007,technology,1,,ready
PBK-POL-007-02,POL-007,infrastructure_institutional,2,,ready
PBK-POL-007-03,POL-007,talent,3,,ready
PBK-POL-008-01,POL-008,technology,1,,ready
PBK-POL-008-02,POL-008,infrastructure_institutional,2,,ready
PBK-POL-008-03,POL-008,talent,3,,ready
PBK-POL-009-01,POL-009,technology,1,,ready
PBK-POL-009-02,POL-009,infrastructure_institutional,2,,ready
PBK-POL-009-03,POL-009,talent,3,,ready
PBK-POL-010-01,POL-010,technology,1,,ready
PBK-POL-010-02,POL-010,infrastructure_institutional,2,,ready
PBK-POL-010-03,POL-010,talent,3,,ready
PBK-POL-011-01,POL-011,technology,1,,ready
PBK-POL-011-02,POL-011,infrastructure_institutional,2,,ready
PBK-POL-011-03,POL-011,talent,3,,ready
PBK-POL-012-01,POL-012,technology,1,,ready
PBK-POL-012-02,POL-012,infrastructure_institutional,2,,ready
PBK-POL-012-03,POL-012,talent,3,,ready
