review_item_id,document_id,source_format,page_no,candidate_source,candidate_id,rows,cols,preview_text,suggested_class,heuristic_reason,keep_for_dashboard,merge_group_hint,canonical_table_id,review_status,reviewer_notes,treat_as_char,text_wrap
TRV-DOC-POL-006-JS-001,DOC-POL-006,pdf,2,pymupdf_find_tables,TBL-DOC-POL-006-001,1,2,Ⅰ | 추진배경,layout_false_positive,single_row_small_box,no,PAGE-02,,reviewed,제목 박스형 레이아웃. 표 데이터로 사용하지 않음.,,
TRV-DOC-POL-006-JS-002,DOC-POL-006,pdf,3,pymupdf_find_tables,TBL-DOC-POL-006-002,1,2,Ⅲ | 목표 및 추진,layout_false_positive,single_row_small_box,no,PAGE-03,,reviewed,제목 박스형 레이아웃. 표 데이터로 사용하지 않음.,,
TRV-DOC-POL-006-MD-001,DOC-POL-006,pdf,8,pymupdf4llm_markdown,PAR-DOC-POL-006-00104,3,4,|Col1|국가전략첨단소재․부품 분야|기후․에너지․미래대응 분야|K-붐업 분야|,structured_table,markdown_table_detected,yes,PAGE-08,CTBL-DOC-POL-006-001,reviewed,page chunk 기준 표 후보. canonical table의 보조 근거로 유지.,,
TRV-DOC-POL-006-JS-003,DOC-POL-006,pdf,8,pymupdf_find_tables,TBL-DOC-POL-006-003,3,4,국가전략첨단소재․부품 분야 | 기후․에너지․미래대응 분야 | K-붐업 분야,structured_table,shape_based,yes,PAGE-08,CTBL-DOC-POL-006-001,reviewed,선정기준 비교표의 구조화 셀 추출. preferred source.,,
TRV-DOC-POL-006-MD-002,DOC-POL-006,pdf,9,pymupdf4llm_markdown,PAR-DOC-POL-006-00114,7,2,"|성장전략TF/관계부처 장관회의(경장, 산경장 등)|Col2|",structured_table,markdown_table_detected,no,PAGE-09,,reviewed,조직 체계도 성격. 표가 아니라 figure/diagram 경로로 보는 것이 맞음.,,
TRV-DOC-POL-006-JS-004,DOC-POL-006,pdf,9,pymupdf_find_tables,TBL-DOC-POL-006-004,1,2,※ 現 기재부 신성장전략기획추진단을 “초혁신경제추진단”으로 개편 예 | 정,layout_false_positive,single_row_small_box,no,PAGE-09,,reviewed,문장 박스 조각. false positive.,,
TRV-DOC-POL-006-JS-005,DOC-POL-006,pdf,9,pymupdf_find_tables,TBL-DOC-POL-006-005,7,2,"성장전략TF/관계부처 장관회의(경장, 산경장 등)",structured_table,shape_based,no,PAGE-09,,reviewed,조직 체계도 성격. 표 데이터로는 부적합.,,
TRV-DOC-POL-006-JS-006,DOC-POL-006,pdf,10,pymupdf_find_tables,TBL-DOC-POL-006-006,1,12,이 | 질 | 적 | 인 성격,fragment_or_broken,wide_text_fragment,no,PAGE-10,,reviewed,문장 파편이 표로 오인된 사례.,,
TRV-DOC-POL-006-MD-003,DOC-POL-006,pdf,13,pymupdf4llm_markdown,PAR-DOC-POL-006-00173,4,5,|Col1|솔레노이드|토로이드|레이스트랙|새들|,structured_table,markdown_table_detected,yes,PAGE-13,CTBL-DOC-POL-006-002,reviewed,page chunk 기준 표 후보. canonical table의 보조 근거로 유지.,,
TRV-DOC-POL-006-JS-007,DOC-POL-006,pdf,13,pymupdf_find_tables,TBL-DOC-POL-006-007,4,5,솔레노이드 | 토로이드 | 레이스트랙 | 새들,structured_table,shape_based,yes,PAGE-13,CTBL-DOC-POL-006-002,reviewed,고온초전도자석 유형별 응용분야 표의 구조화 셀 추출. preferred source.,,
TRV-DOC-POL-006-JS-008,DOC-POL-006,pdf,13,pymupdf_find_tables,TBL-DOC-POL-006-008,1,2,응용시 | 스템별,layout_false_positive,single_row_small_box,no,PAGE-13,,reviewed,표 제목/조각이 별도 표로 오인된 사례.,,
