selection_rank,tech_domain_id,tech_domain_label,policy_id,policy_name,source_group_id,proposed_group_id,source_policy_item_id,primary_strategy_id,primary_strategy_label,primary_document_id,primary_location_value,recommendation_reason
1,TD-002,에너지,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00044,PIG-EXP-TD-002-01,ITM-POL-001-00044,STR-006,탄소중립 및 에너지 안보 (수소·SMR),DOC-POL-001,61,domain already has curated seed; expand curated breadth with remaining provisional groups
2,TD-002,에너지,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00694,PIG-EXP-TD-002-02,ITM-POL-001-00694,STR-001,AI G3 도약 및 전 산업 AX 확산,DOC-POL-001,83,domain already has curated seed; expand curated breadth with remaining provisional groups
3,TD-003,이차전지,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00670,PIG-EXP-TD-003-03,ITM-POL-001-00670,STR-002,초격차 전략기술 확보 (반도체·이차전지),DOC-POL-001,91,domain already has curated seed; expand curated breadth with remaining provisional groups
4,TD-004,국방,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00158,PIG-EXP-TD-004-04,ITM-POL-001-00158,STR-001,AI G3 도약 및 전 산업 AX 확산,DOC-POL-001,177,domain already has curated seed; expand curated breadth with remaining provisional groups
5,TD-004,국방,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00739,PIG-EXP-TD-004-05,ITM-POL-001-00739,STR-013,디지털 트윈 및 가상화 공정 혁신,DOC-POL-001,22,domain already has curated seed; expand curated breadth with remaining provisional groups
6,TD-005,소재,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00600,PIG-EXP-TD-005-06,ITM-POL-001-00600,STR-003,바이오·헬스 글로벌 중심국가 도약,DOC-POL-001,61,domain already has curated seed; expand curated breadth with remaining provisional groups
7,TD-005,소재,POL-002,AI-바이오 국가전략,PIG-PROV-ITM-POL-002-01096,PIG-EXP-TD-005-07,ITM-POL-002-01096,STR-003,바이오·헬스 글로벌 중심국가 도약,DOC-POL-002,section7,domain already has curated seed; expand curated breadth with remaining provisional groups
8,TD-006,사이버보안,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00308,PIG-EXP-TD-006-08,ITM-POL-001-00308,,,DOC-POL-001,50,domain already has curated seed; expand curated breadth with remaining provisional groups
9,TD-007,차세대통신,POL-004,AI시대 대한민국 네트워크 전략,PIG-PROV-ITM-POL-004-01275,PIG-EXP-TD-007-09,ITM-POL-004-01275,STR-004,차세대 네트워크(6G) 및 지능형 인프라,DOC-POL-011,section2,domain already has curated seed; expand curated breadth with remaining provisional groups
10,TD-007,차세대통신,POL-004,AI시대 대한민국 네트워크 전략,PIG-PROV-ITM-POL-004-01298,PIG-EXP-TD-007-10,ITM-POL-004-01298,STR-004,차세대 네트워크(6G) 및 지능형 인프라,DOC-POL-011,section5,domain already has curated seed; expand curated breadth with remaining provisional groups
11,TD-008,첨단로봇제조,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00350,PIG-EXP-TD-008-11,ITM-POL-001-00350,STR-013,디지털 트윈 및 가상화 공정 혁신,DOC-POL-001,48,domain already has curated seed; expand curated breadth with remaining provisional groups
12,TD-008,첨단로봇제조,POL-006,제조AX 추진방향,PIG-PROV-ITM-POL-006-01398,PIG-EXP-TD-008-12,ITM-POL-006-01398,STR-001,AI G3 도약 및 전 산업 AX 확산,DOC-POL-003,section2,domain already has curated seed; expand curated breadth with remaining provisional groups
13,TD-010,양자,POL-007,기초연구 생태계 육성 방안,PIG-PROV-ITM-POL-007-01539,PIG-EXP-TD-010-13,ITM-POL-007-01539,STR-007,양자 정보통신 및 미래소재 선점,DOC-POL-009,section8,domain already has curated seed; expand curated breadth with remaining provisional groups
14,TD-012,우주항공,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00667,PIG-EXP-TD-012-14,ITM-POL-001-00667,STR-005,우주항공 및 해양 기술주권 확보,DOC-POL-001,125,domain already has curated seed; expand curated breadth with remaining provisional groups
15,TD-012,우주항공,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00455,PIG-EXP-TD-012-15,ITM-POL-001-00455,,,DOC-POL-001,57,domain already has curated seed; expand curated breadth with remaining provisional groups
16,TD-013,해양,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00248,PIG-EXP-TD-013-16,ITM-POL-001-00248,STR-005,우주항공 및 해양 기술주권 확보,DOC-POL-001,125,domain already has curated seed; expand curated breadth with remaining provisional groups
17,TD-013,해양,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00731,PIG-EXP-TD-013-17,ITM-POL-001-00731,STR-005,우주항공 및 해양 기술주권 확보,DOC-POL-001,96,domain already has curated seed; expand curated breadth with remaining provisional groups
18,TD-014,첨단모빌리티,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00628,PIG-EXP-TD-014-18,ITM-POL-001-00628,STR-009,미래 모빌리티(자율주행·UAM),DOC-POL-001,62,domain already has curated seed; expand curated breadth with remaining provisional groups
19,TD-014,첨단모빌리티,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00907,PIG-EXP-TD-014-19,ITM-POL-001-00907,STR-009,미래 모빌리티(자율주행·UAM),DOC-POL-001,121,domain already has curated seed; expand curated breadth with remaining provisional groups
