merge_candidate_id,document_id,page_no,review_priority,suggested_reviewer_action,review_status,reviewer_decision,reviewer_role_override,reviewer_resource_type_override,reviewer_strategy_override,reviewer_tech_domain_override,reviewer_tech_subdomain_override,merge_into_candidate_id,split_required,final_item_label,final_item_statement,reviewer_notes,candidate_role_draft,candidate_role_notes,bucket_resource_type_guess,primary_strategy_candidates,tech_domain_candidates,tech_subdomain_candidates,merge_confidence,item_label_draft,item_statement_draft,primary_seed_id,member_seed_ids,supporting_review_seed_ids,member_count,supporting_review_count,primary_text
PMD-DOC-POL-006-0001,DOC-POL-006,2,high,drop_or_attach_background,reviewed,drop,,,,,,,,,,sample drop meta frame,meta_program_frame,detected_program_frame_keyword,technology,STR-014 | STR-005 | STR-003 | STR-006 | STR-002,TD-005 | TD-002,TSD-005-005 | TSD-002-002,medium,｢ 새정부경제성장전략(8.22)｣ 에따른초혁신경제 15대 프로젝트추진계획 발표Ⅰ*(9.10),"□ ｢ 새정부경제성장전략(8.22)｣ 에따른초혁신경제 15대 프로젝트추진계획 발표Ⅰ*(9.10), Ⅱ**(10.20), Ⅲ***(11.26)에이어네번째추진계획을마련·발표",CLS-SEED-DOC-POL-006-00006,CLS-SEED-DOC-POL-006-00006,CLS-SEED-DOC-POL-006-00007 | CLS-SEED-DOC-POL-006-00008 | CLS-SEED-DOC-POL-006-00009 | CLS-SEED-DOC-POL-006-00010,1,4,"□ ｢ 새정부경제성장전략(8.22)｣ 에따른초혁신경제 15대 프로젝트추진계획 발표Ⅰ*(9.10), Ⅱ**(10.20), Ⅲ***(11.26)에이어네번째추진계획을마련·발표"
PMD-DOC-POL-006-0004,DOC-POL-006,2,high,drop_or_attach_background,reviewed,drop,,,,,,,,,,sample drop meta frame,meta_program_frame,detected_program_frame_keyword,,,,,medium,추진단 구성,"□ (추진단 구성) 기업을 중심으로한민관합동추진단을프로젝트별로 구성하고, 정부는민간을적극지원․뒷받침",CLS-SEED-DOC-POL-006-00016,CLS-SEED-DOC-POL-006-00016,,1,0,"□ (추진단 구성) 기업을 중심으로한민관합동추진단을프로젝트별로 구성하고, 정부는민간을적극지원․뒷받침"
PMD-DOC-POL-006-0006,DOC-POL-006,3,high,drop_or_attach_background,reviewed,drop,,,,,,,,,,sample drop meta frame,meta_program_frame,detected_program_frame_keyword,infrastructure_policy,,,,medium,3대분야,"□ 3대분야, 15대프로젝트에대해기술개발, 인력, 금융, 해외진출·입지지원, 규제개선등패키지지원으로’30년까지잠재성장률반등도모",CLS-SEED-DOC-POL-006-00030,CLS-SEED-DOC-POL-006-00030,,1,0,"□ 3대분야, 15대프로젝트에대해기술개발, 인력, 금융, 해외진출·입지지원, 규제개선등패키지지원으로’30년까지잠재성장률반등도모"
PMD-DOC-POL-006-0011,DOC-POL-006,4,medium,keep_or_merge,reviewed,keep,,,,,,,,,,sample keep action,policy_action,,technology,STR-007,TD-002,,medium,초전도체,"ㅇ (초전도체) 고온초전도자석원천기술을고도화하고의료, 에너지, 교통등응용분야를 중심으로실용화기술및프로토타입개발",CLS-SEED-DOC-POL-006-00041,CLS-SEED-DOC-POL-006-00041,CLS-SEED-DOC-POL-006-00042 | CLS-SEED-DOC-POL-006-00043,1,2,"ㅇ (초전도체) 고온초전도자석원천기술을고도화하고의료, 에너지, 교통등응용분야를 중심으로실용화기술및프로토타입개발"
PMD-DOC-POL-006-0012,DOC-POL-006,4,low,keep_or_merge,reviewed,keep,,,,,,,,,,sample keep action,policy_action,,infrastructure_policy,STR-003,,,medium,K-바이오 글로벌 상업화,"ㅇ (K-바이오 글로벌 상업화) 임상 3상특화펀드(1,500억원규모) 조성, 인허가, 현지거점진출지원 등 글로벌 진출전주기 지원확대",CLS-SEED-DOC-POL-006-00045,CLS-SEED-DOC-POL-006-00045,,1,0,"ㅇ (K-바이오 글로벌 상업화) 임상 3상특화펀드(1,500억원규모) 조성, 인허가, 현지거점진출지원 등 글로벌 진출전주기 지원확대"
PMD-DOC-POL-006-0013,DOC-POL-006,4,low,keep_or_merge,reviewed,keep,,,,,,,,,,sample keep action,policy_action,,,STR-010,,,medium,K-디지털헬스케어,ㅇ (K-디지털헬스케어) 해외인수병원을 거점으로 중소․벤처기업을 지원하는 K-디지털헬스케어 新수출전략 정책지원 방안 마련(‘26. 1분기),CLS-SEED-DOC-POL-006-00046,CLS-SEED-DOC-POL-006-00046,,1,0,ㅇ (K-디지털헬스케어) 해외인수병원을 거점으로 중소․벤처기업을 지원하는 K-디지털헬스케어 新수출전략 정책지원 방안 마련(‘26. 1분기)
PMD-DOC-POL-006-0074,DOC-POL-006,23,high,attach_as_case_example,reviewed,attach_as_case_example,,,,,,,,,,sample attach case example,case_example,detected_case_example_quote,technology,STR-010,,,medium,디지털헬스기업B,"▪ 디지털헬스기업B: “해외 현지의 의료기기 인허가 획득을 위한 임상시험, 실증을 위해서는 이게 가능한 현지 의료기관을 찾아야 하는데, 현지 CRO나 전문컨설턴트 등 전문가에 대한 정보도 부족하고, 현지 의료기관에 대한 정보나 여건 확인도 어렵고, 현지 의료기관과 네트워크 구축도 어려움”",CLS-SEED-DOC-POL-006-00309,CLS-SEED-DOC-POL-006-00309,,1,0,"▪ 디지털헬스기업B: “해외 현지의 의료기기 인허가 획득을 위한 임상시험, 실증을 위해서는 이게 가능한 현지 의료기관을 찾아야 하는데, 현지 CRO나 전문컨설턴트 등 전문가에 대한 정보도 부족하고, 현지 의료기관에 대한 정보나 여건 확인도 어렵고, 현지 의료기관과 네트워크 구축도 어려움”"
PMD-DOC-POL-006-0075,DOC-POL-006,23,high,attach_as_case_example,reviewed,attach_as_case_example,,,,,,,,,,sample attach case example,case_example,detected_case_example_quote,technology,STR-010,,,medium,디지털헬스기업C,"▪ 디지털헬스기업C: “국내 개발 AI 의료기기 S/W를 가지고 해외 진출 시 Heterogeneous 데이터가 필요한데 한국에서는 거의 Homogeneous 데이터만 확보할 수 있어서 다양성에 한계가 있음. 해결책으로 미국 데이터 업체로부터 비식별화된 다인종, 다인구 데이터를 구매하여 학습 또는 테스트 데이터로 활용하고 있는데 데이터 요구사항을 특정하고 확보하는 데까지 상당한 기간과 비용이 소요됨”",CLS-SEED-DOC-POL-006-00311,CLS-SEED-DOC-POL-006-00311,,1,0,"▪ 디지털헬스기업C: “국내 개발 AI 의료기기 S/W를 가지고 해외 진출 시 Heterogeneous 데이터가 필요한데 한국에서는 거의 Homogeneous 데이터만 확보할 수 있어서 다양성에 한계가 있음. 해결책으로 미국 데이터 업체로부터 비식별화된 다인종, 다인구 데이터를 구매하여 학습 또는 테스트 데이터로 활용하고 있는데 데이터 요구사항을 특정하고 확보하는 데까지 상당한 기간과 비용이 소요됨”"
PMD-DOC-POL-006-0084,DOC-POL-006,25,medium,keep_as_regulatory_delta,reviewed,keep_as_regulatory_delta,,,,,,,,,,sample keep regulatory delta,regulatory_delta,detected_current_to_improvement_pattern,infrastructure_policy,,,,medium,현재,- (현재) 국내의료인-외국의료인간원격협진만가능→(개선) 원격협진外국내의료인-외국인환자간비대면진료제도화,CLS-SEED-DOC-POL-006-00336,CLS-SEED-DOC-POL-006-00336,CLS-SEED-DOC-POL-006-00337,1,1,- (현재) 국내의료인-외국의료인간원격협진만가능→(개선) 원격협진外국내의료인-외국인환자간비대면진료제도화
PMD-DOC-POL-006-0123,DOC-POL-006,32,medium,keep_as_regulatory_delta,reviewed,keep_as_regulatory_delta,,,,,,,,,,sample keep regulatory delta,regulatory_delta,detected_current_to_improvement_pattern,,,,,medium,온라인게임(PC,"- 온라인게임(PC,콘솔등)은모든이용자본인인증의무로본인인증 수단없는청소년이용불편초래→전체이용가온라인게임에 대한본인인증의무폐지(게임산업법개정, ’25.2월발의→‘26년통과추진)",CLS-SEED-DOC-POL-006-00456,CLS-SEED-DOC-POL-006-00456,,1,0,"- 온라인게임(PC,콘솔등)은모든이용자본인인증의무로본인인증 수단없는청소년이용불편초래→전체이용가온라인게임에 대한본인인증의무폐지(게임산업법개정, ’25.2월발의→‘26년통과추진)"
