display_text_id,target_object_type,target_object_id,display_role,title_text,summary_text,description_text,generated_by,review_status,source_basis_type,notes
DSP-GRP-EXP-TD-002-01,policy_item_group,PIG-EXP-TD-002-01,policy_item_group_card,E: 기후테크,ㅇ (E: 기후테크) 기후대응에너지산업육성으로그린강국도약실현,ㅇ (E: 기후테크) 기후대응에너지산업육성으로그린강국도약실현,build_technology_lens_expand_draft_pack.py,reviewed,technology_lens_expand_batch,expand draft from PIG-PROV-ITM-POL-001-00044
DSP-CNT-EXP-TD-002-01-01,policy_item_content,PIC-EXP-TD-002-01-01,policy_item_content_card,E: 기후테크,ㅇ (E: 기후테크) 기후대응에너지산업육성으로그린강국도약실현,ㅇ (E: 기후테크) 기후대응에너지산업육성으로그린강국도약실현,build_technology_lens_expand_draft_pack.py,reviewed,technology_lens_expand_batch,expand draft from PIC-PROV-ITM-POL-001-00044
DSP-GRP-EXP-TD-002-02,policy_item_group,PIG-EXP-TD-002-02,policy_item_group_card,100조원+α 규모국민성장펀드신설,ㅇ (100조원+α 규모국민성장펀드신설) AI 등미래전략산업과에너지 인프라등에투자하는민·관합동의대규모펀드조성,ㅇ (100조원+α 규모국민성장펀드신설) AI 등미래전략산업과에너지 인프라등에투자하는민·관합동의대규모펀드조성,build_technology_lens_expand_draft_pack.py,reviewed,technology_lens_expand_batch,expand draft from PIG-PROV-ITM-POL-001-00694
DSP-CNT-EXP-TD-002-02-01,policy_item_content,PIC-EXP-TD-002-02-01,policy_item_content_card,100조원+α 규모국민성장펀드신설,ㅇ (100조원+α 규모국민성장펀드신설) AI 등미래전략산업과에너지 인프라등에투자하는민·관합동의대규모펀드조성,ㅇ (100조원+α 규모국민성장펀드신설) AI 등미래전략산업과에너지 인프라등에투자하는민·관합동의대규모펀드조성,build_technology_lens_expand_draft_pack.py,reviewed,technology_lens_expand_batch,expand draft from PIC-PROV-ITM-POL-001-00694
DSP-GRP-EXP-TD-003-03,policy_item_group,PIG-EXP-TD-003-03,policy_item_group_card,항공·이차전지(동남권),"- 항공·이차전지(동남권), 미래차·우주산업(서남권) 국가산단조성","- 항공·이차전지(동남권), 미래차·우주산업(서남권) 국가산단조성",build_technology_lens_expand_draft_pack.py,reviewed,technology_lens_expand_batch,expand draft from PIG-PROV-ITM-POL-001-00670
DSP-CNT-EXP-TD-003-03-01,policy_item_content,PIC-EXP-TD-003-03-01,policy_item_content_card,항공·이차전지(동남권),"- 항공·이차전지(동남권), 미래차·우주산업(서남권) 국가산단조성","- 항공·이차전지(동남권), 미래차·우주산업(서남권) 국가산단조성",build_technology_lens_expand_draft_pack.py,reviewed,technology_lens_expand_batch,expand draft from PIC-PROV-ITM-POL-001-00670
DSP-GRP-EXP-TD-004-04,policy_item_group,PIG-EXP-TD-004-04,policy_item_group_card,국방개혁로드맵마련,"ㅇ (국방개혁로드맵마련) 병력감축상황및총체전력차원에서, ‘AI·첨단과학 기술기반스마트강군육성’을위한국방개혁로드맵마련및추진","ㅇ (국방개혁로드맵마련) 병력감축상황및총체전력차원에서, ‘AI·첨단과학 기술기반스마트강군육성’을위한국방개혁로드맵마련및추진",build_technology_lens_expand_draft_pack.py,reviewed,technology_lens_expand_batch,expand draft from PIG-PROV-ITM-POL-001-00158
DSP-CNT-EXP-TD-004-04-01,policy_item_content,PIC-EXP-TD-004-04-01,policy_item_content_card,국방개혁로드맵마련,"ㅇ (국방개혁로드맵마련) 병력감축상황및총체전력차원에서, ‘AI·첨단과학 기술기반스마트강군육성’을위한국방개혁로드맵마련및추진","ㅇ (국방개혁로드맵마련) 병력감축상황및총체전력차원에서, ‘AI·첨단과학 기술기반스마트강군육성’을위한국방개혁로드맵마련및추진",build_technology_lens_expand_draft_pack.py,reviewed,technology_lens_expand_batch,expand draft from PIC-PROV-ITM-POL-001-00158
DSP-GRP-EXP-TD-004-05,policy_item_group,PIG-EXP-TD-004-05,policy_item_group_card,군사법개혁,"ㅇ (군사법개혁) 군수사·검찰기능의국방부통합, 군수사기관에 대한지휘·감독의투명성강화등을 통해독립적이고공정한군사법체계구축","ㅇ (군사법개혁) 군수사·검찰기능의국방부통합, 군수사기관에 대한지휘·감독의투명성강화등을 통해독립적이고공정한군사법체계구축",build_technology_lens_expand_draft_pack.py,reviewed,technology_lens_expand_batch,expand draft from PIG-PROV-ITM-POL-001-00739
DSP-CNT-EXP-TD-004-05-01,policy_item_content,PIC-EXP-TD-004-05-01,policy_item_content_card,군사법개혁,"ㅇ (군사법개혁) 군수사·검찰기능의국방부통합, 군수사기관에 대한지휘·감독의투명성강화등을 통해독립적이고공정한군사법체계구축","ㅇ (군사법개혁) 군수사·검찰기능의국방부통합, 군수사기관에 대한지휘·감독의투명성강화등을 통해독립적이고공정한군사법체계구축",build_technology_lens_expand_draft_pack.py,reviewed,technology_lens_expand_batch,expand draft from PIC-PROV-ITM-POL-001-00739
DSP-GRP-EXP-TD-005-06,policy_item_group,PIG-EXP-TD-005-06,policy_item_group_card,첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),- 첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),- 첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),build_technology_lens_expand_draft_pack.py,reviewed,technology_lens_expand_batch,expand draft from PIG-PROV-ITM-POL-001-00600
