decision_key,active_in_queue,decision_status,policy_item_id,policy_id,policy_name,bucket_label,item_label,primary_evidence_id,evidence_preview,suggested_primary_strategy_id,suggested_primary_strategy_label,alternate_strategy_ids,alternate_strategy_labels,reviewed_primary_strategy_id,reviewed_secondary_strategy_ids,reviewed_confidence,reviewer_name,reviewer_notes
SRD-POL-008-2820bd517895,no,reviewed,ITM-POL-008-00511,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,기술‧시장 변화에 유연하게 대응토록 ｢무빙타겟 지원체계｣ 확립,DRV-PAR-DOC-POL-008-00061,□ 기술‧시장 변화에 유연하게 대응토록 ｢무빙타겟 지원체계｣ 확립,STR-015,감염병 대응 및 공중보건 기술 자립,,,STR-015,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-008-bccac6e625f4,no,reviewed,ITM-POL-008-00516,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,범부처 정책수요 기반,DRV-PAR-DOC-POL-008-00055,"□ 범부처 정책수요 기반, 전략기술분야 팁스 R&D 발굴·협력 확대",STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-008-100050f73591,no,reviewed,ITM-POL-008-00528,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,전략기술분야 범부처 협력체계 구축,DRV-PAR-DOC-POL-008-00064,□ 전략기술분야 범부처 협력체계 구축,STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-008-61efd73109b1,no,reviewed,ITM-POL-008-00548,POL-008,"민간투자연계, 팁스 R&D 확산방안",인프라·제도,지자체 등의 벤처펀드 출자 제한 완화,DRV-PAR-DOC-POL-008-00086,"ㅇ 지자체 등의 벤처펀드 출자 제한 완화, 한국벤처투자 지역사무소 확대 등 지역의 벤처투자 활성화를 위한 법제도 및 인프라 개선",STR-004,차세대 네트워크(6G) 및 지능형 인프라,,,STR-004,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-008-23d676af6d8b,no,no_strategy,ITM-POL-008-00502,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,DCP 등 딥테크 전략분야는 PM 주도로 PoC,DRV-PAR-DOC-POL-008-00062,"ㅇ DCP 등 딥테크 전략분야는 PM 주도로 PoC, PoM 등 사전기획단계부터 적극 지원하고, R&D 목표변경·중단 등 자율적 책임·권한 부여",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-008-f11b2cdb77ee,no,no_strategy,ITM-POL-008-00503,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,R&D 선정·평가 시 분야별 전문기관(부처별 산하기관 등) 참여 확대,DRV-PAR-DOC-POL-008-00060,ㅇ R&D 선정·평가 시 분야별 전문기관(부처별 산하기관 등) 참여 확대,,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-008-04c0e87b0884,no,no_strategy,ITM-POL-008-00504,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,’26년 팁스 R&D 50% 이상 지역기업 우선 할당,DRV-PAR-DOC-POL-008-00072,"ㅇ ’26년 팁스 R&D 50% 이상 지역기업 우선 할당, 점진적 상향 추진",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-008-b55250c0cb79,no,no_strategy,ITM-POL-008-00505,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,◦ (글로벌 팁스,DRV-PAR-DOC-POL-008-00091,"◦ (글로벌 팁스, ‘26~) 해외투자 유치 등으로 글로벌진출가능성을 입증한 기업에 기술고도화 및 글로벌 시장 개척을 위한 R&D 지원",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-008-4c2de9568f6e,no,no_strategy,ITM-POL-008-00506,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,◦ (딥테크챌린지프로젝트,DRV-PAR-DOC-POL-008-00092,"◦ (딥테크챌린지프로젝트, ‘24~) 도전·혁신적 R&D에 중소벤처가 과감히 도전할 수 있도록 임무 중심 R&D 프로젝트를 출제, 민간투자 연계방식으로 선정·지원",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-008-072af7f0533e,no,no_strategy,ITM-POL-008-00507,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,◦ (스케일업 팁스,DRV-PAR-DOC-POL-008-00090,"◦ (스케일업 팁스, ‘22~) 10억원 이상의 투자를 유치한 스케일업단계(Series A) 중소벤처기업에 기술혁신 및 기술사업화 지원",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-008-3be256d5ba20,no,no_strategy,ITM-POL-008-00508,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,◦ (팁스,DRV-PAR-DOC-POL-008-00089,"◦ (팁스, ‘13~) 민간이 초기 단계(Seed~Pre-A) 유망 스타트업을 선별, 2억원 이상 투자·추천하면 출연 R&D 및 사업화자금 연계지원",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-008-7108b40e35ae,no,no_strategy,ITM-POL-008-00509,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,개방형 경쟁체계 도입,DRV-PAR-DOC-POL-008-00046,"□ 개방형 경쟁체계 도입, 운영사 풀 24개 → 80개로 대폭 확대",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-008-8e99c72d8765,no,no_strategy,ITM-POL-008-00510,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,그간 팁스 R&D는 초기 창업기업 지원에 중점을 두었으나,DRV-PAR-DOC-POL-008-00018,"□ 그간 팁스 R&D는 초기 창업기업 지원에 중점을 두었으나, 혁신기업의 스케일업, 글로벌 진출 등을 위한 ’민간투자+정부R&D’ 수요 증가",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-008-77f9723fb04b,no,no_strategy,ITM-POL-008-00512,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,다수 중소기업 중심,DRV-PAR-DOC-POL-008-00042,"ㅇ 다수 중소기업 중심, 대·중견기업 및 대학·연구소 등이 참여하는 협업형 빅프로젝트(선투자 30억원 → 4년 200억원 지원) 시범 추진(’26년 5개)",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-008-5599279c176b,no,no_strategy,ITM-POL-008-00513,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,딥테크 기술경쟁력 확보를 위해 지원규모 상향*,DRV-PAR-DOC-POL-008-00039,"ㅇ 딥테크 기술경쟁력 확보를 위해 지원규모 상향*, 선투자요건(20억원↑) 일부 충족** 시 사전기획단계를 지원하여 투자유치 부담 완화",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-008-9749cb68c11b,no,no_strategy,ITM-POL-008-00514,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,민간전문가(PM)를 주축으로 전략분야 실증형 프로젝트 발굴·기획,DRV-PAR-DOC-POL-008-00044,- 민간전문가(PM)를 주축으로 전략분야 실증형 프로젝트 발굴·기획,,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-008-0c60b4c89400,no,no_strategy,ITM-POL-008-00515,POL-008,"민간투자연계, 팁스 R&D 확산방안",기술,민간투자와 연계하여 중소기업의 기술혁신을 지원하는 팁스 R&D를 다양한 기술‧산업...,DRV-PAR-DOC-POL-008-00004,ㅇ 민간투자와 연계하여 중소기업의 기술혁신을 지원하는 팁스 R&D를 다양한 기술‧산업 및 지역으로 확산하기 위한 방안을 수립‧시행,,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
