classification_seed_id,source_object_type,source_object_id,document_id,page_no,page_block_order,block_type,policy_item_candidate,suggested_resource_type,resource_type_keyword_hits,resource_type_confidence,primary_strategy_id,primary_strategy_label,secondary_strategy_ids,strategy_confidence,tech_domain_id,tech_domain_label,tech_subdomain_id,tech_subdomain_label,tech_domain_confidence,review_status,auto_suggestion_notes,reviewer_notes,text
CLS-SEED-DOC-POL-010-00001,paragraph_unit,PAR-DOC-POL-010-00001,DOC-POL-010,section2,1,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅰ. 의결주문
CLS-SEED-DOC-POL-010-00002,paragraph_unit,PAR-DOC-POL-010-00002,DOC-POL-010,section2,2,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ 「과학기술분야 출연(연) 정책방향(안)」을 별지와 같이 의결함
CLS-SEED-DOC-POL-010-00003,paragraph_unit,PAR-DOC-POL-010-00003,DOC-POL-010,section2,3,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅱ. 제안이유
CLS-SEED-DOC-POL-010-00004,paragraph_unit,PAR-DOC-POL-010-00004,DOC-POL-010,section2,4,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ 과학기술분야 정부출연연구기관이 임무·성과중심 국가거점으로 재도약하기 위해 임무수행체계, 평가·보상체계, 연구환경 혁신 추진"
CLS-SEED-DOC-POL-010-00005,paragraph_unit,PAR-DOC-POL-010-00005,DOC-POL-010,section2,5,note,review,,,low,,,,,,,,,,review_required,,,* 국정과제(과학기술 5대강국 실현을 위한 시스템 혁신 - 출연연 PBS 단계적 폐지) 이행
CLS-SEED-DOC-POL-010-00006,paragraph_unit,PAR-DOC-POL-010-00006,DOC-POL-010,section2,6,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅲ. 주요 내용
CLS-SEED-DOC-POL-010-00007,paragraph_unit,PAR-DOC-POL-010-00007,DOC-POL-010,section2,7,bullet,review,,,low,,,,,,,,,,review_required,,,□ 추진 배경
CLS-SEED-DOC-POL-010-00008,paragraph_unit,PAR-DOC-POL-010-00008,DOC-POL-010,section2,8,bullet,yes,technology,확보,medium,,,,,,,,,,review_required,,,"ㅇ AI로 촉발된 R&D 패러다임 전환, 첨단기술 확보경쟁 등 급변하는 대외환경 속, 출연(연)은 국가R&D 중심축으로서 혁신과 변화를 선도하는 핵심 주체로서의 역할 요구"
CLS-SEED-DOC-POL-010-00009,paragraph_unit,PAR-DOC-POL-010-00009,DOC-POL-010,section2,9,bullet,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,□ 현황 및 문제점
CLS-SEED-DOC-POL-010-00010,paragraph_unit,PAR-DOC-POL-010-00010,DOC-POL-010,section2,10,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ (임무수행) PBS(Project-Based System)*가 소액·다수 수탁과제와 맞물리며 고유임무·역할 상실, 집단·협력연구 저하, 연구몰입 저해 등 부작용 심화"
CLS-SEED-DOC-POL-010-00011,paragraph_unit,PAR-DOC-POL-010-00011,DOC-POL-010,section2,11,note,review,infrastructure_policy,제도,medium,,,,,,,,,,review_required,,,* 인건비·연구비 등 재정지원을 기관이 아닌 과제 단위의 경쟁체제로 운영·관리하는 제도(’96 도입)
