policy_item_id,policy_bucket_id,item_label,item_statement,item_description,item_status,source_basis_type,curation_priority,notes
ITM-POL-001-00001,PBK-POL-001-01,(가칭,ㅇ ((가칭)｢ 한반도평화경제미래비전｣ 마련) 평화와경제의선순환을 통한 남북공동성장및경제공동체형성비전과이행계획을수립,ㅇ ((가칭)｢ 한반도평화경제미래비전｣ 마련) 평화와경제의선순환을 통한 남북공동성장및경제공동체형성비전과이행계획을수립,auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 0, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-001-00002,PBK-POL-001-01,100세시대바이오제품개발과AI 첨단의료기기상용화(범부처) 추진,- 100세시대바이오제품개발과AI 첨단의료기기상용화(범부처) 추진,- 100세시대바이오제품개발과AI 첨단의료기기상용화(범부처) 추진,auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 3, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-001-00003,PBK-POL-001-01,10大대표K-푸드품목육성으로K-푸드수출150억불달성('30년),- 10大대표K-푸드품목육성으로K-푸드수출150억불달성('30년),- 10大대표K-푸드품목육성으로K-푸드수출150억불달성('30년),auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 0, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-001-00004,PBK-POL-001-01,200대핵심소부장기술R&D 투자확대및으뜸기업200개육성('30),- 200대핵심소부장기술R&D 투자확대및으뜸기업200개육성('30),- 200대핵심소부장기술R&D 투자확대및으뜸기업200개육성('30),auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 2, 'infrastructure_institutional': 1, 'talent': 0}"
ITM-POL-001-00005,PBK-POL-001-01,2030년온실가스감축목표책임달성('18년대비40% 감축)을위한이행기반 조성,ㅇ 2030년온실가스감축목표책임달성('18년대비40% 감축)을위한이행기반 조성,ㅇ 2030년온실가스감축목표책임달성('18년대비40% 감축)을위한이행기반 조성,auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 0, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-001-00006,PBK-POL-001-01,2035 이후로드맵수립,"ㅇ (2035 이후로드맵수립) 2030 목표대비진전된2035 감축목표수립('25.下), 미래세대를고려한탄소중립장기감축로드맵마련","ㅇ (2035 이후로드맵수립) 2030 목표대비진전된2035 감축목표수립('25.下), 미래세대를고려한탄소중립장기감축로드맵마련",auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 0, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-001-00007,PBK-POL-001-01,2035년감축목표수립및2050년까지장기감축로드맵마련,ㅇ 2035년감축목표수립및2050년까지장기감축로드맵마련,ㅇ 2035년감축목표수립및2050년까지장기감축로드맵마련,auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 0, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-001-00008,PBK-POL-001-01,2‧ 3차병원간유기적인연계‧ 협력**체계구축,2‧ 3차병원간유기적인연계‧ 협력**체계구축,2‧ 3차병원간유기적인연계‧ 협력**체계구축,auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 0, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-001-00009,PBK-POL-001-01,2차공공기관이전,"ㅇ (2차공공기관이전) 이전절차에신속착수하고, 지역정주여건도개선","ㅇ (2차공공기관이전) 이전절차에신속착수하고, 지역정주여건도개선",auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 0, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-001-00010,PBK-POL-001-01,30대핵심과제추진,"ㅇ (30대핵심과제추진) 대국민서비스혁신, 정부효율성제고, 분야별 전문화등3대분야에서AI 정부실현을위한30대핵심과제선정･","ㅇ (30대핵심과제추진) 대국민서비스혁신, 정부효율성제고, 분야별 전문화등3대분야에서AI 정부실현을위한30대핵심과제선정･",auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 1, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-001-00011,PBK-POL-001-01,30대핵심과제추진등공공부문AI 도입으로대국민서비스와업무방식혁신,ㅇ 30대핵심과제추진등공공부문AI 도입으로대국민서비스와업무방식혁신,ㅇ 30대핵심과제추진등공공부문AI 도입으로대국민서비스와업무방식혁신,auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 1, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-001-00012,PBK-POL-001-01,3대위기업종(석유화학·철강·이차전지) 특단대책강구,"- 3대위기업종(석유화학·철강·이차전지) 특단대책강구, 산업위기지역패키지지원","- 3대위기업종(석유화학·철강·이차전지) 특단대책강구, 산업위기지역패키지지원",auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 0, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-001-00013,PBK-POL-001-01,4대강보개방확대,"ㅇ 4대강보개방확대, 수생태계연속성확보로물이흐르는하천환경조성","ㅇ 4대강보개방확대, 수생태계연속성확보로물이흐르는하천환경조성",auto_candidate,source_document_only,1,"auto_extracted; scores={'technology': 0, 'infrastructure_institutional': 0, 'talent': 0}"
