대분류,중분류,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10
인공지능,AI 한계극복·성능향상,AI 응용처 확장,AI 안전·신뢰,AI 컴퓨팅·네트워크,데이터 구축·처리,인력양성,산업 AX,공공 AX,,
에너지,재생에너지,전력망,수소,원자력,산업공정,CCUS,효율수요관리,친환경 모빌리티,자원순환,적응흡수
이차전지,리튬이온전지,차세대전지,모듈·시스템,재사용·재활용,,,,,,
국방,국방기술개발,무기체계개발,지휘정찰,기동화력,함정,항공기,유도무기,,,
소재,금속,세라믹,화학,섬유,탄소,나노,첨단미래,,,
사이버보안,암호/인증,프라이버시,인프라/플랫폼,신기술융합보안,물리·현장보안,위협·정책 대응,,,,
차세대통신,차세대 유무선 통신,위성통신,네트워크·전파 기반강화,생태계 강화,,,,,,
첨단로봇제조,로봇 HW,로봇 SW,서비스 솔루션,무인 자율화,제조장비 고도화,제조 데이터,시뮬레이션-현장 전이,,,
반도체디스플레이,인공지능 반도체,첨단 패키징,화합물·전력반도체,차세대 디스플레이,반도체·디스플레이 소부장,,,,,
양자,양자컴퓨팅,양자통신,양자센서,인프라/생태계,,,,,,
첨단바이오,바이오·의료기술,의약품,의료기기,디지털바이오,바이오 제조,혁신생태계,,,,
우주항공,위성,발사체,우주탐사,우주기반,신항공,항공부품,항공기반,,,
해양,친환경선박,스마트 해상운송체계,해양환경,해양자원탐사·극지,,,,,,
첨단모빌리티,스마트 모빌리티,친환경 모빌리티,모빌리티 인프라,모빌리티 서비스,,,,,,
