merge_candidate_id,document_id,page_no,primary_seed_id,primary_source_object_id,primary_block_type,item_label_draft,item_statement_draft,candidate_role_draft,candidate_role_notes,bucket_resource_type_guess,resource_type_candidates,primary_strategy_candidates,tech_domain_candidates,tech_subdomain_candidates,member_seed_ids,member_source_object_ids,member_count,supporting_review_seed_ids,supporting_review_count,primary_text,continuation_texts,supporting_review_texts,merge_confidence,merge_status,merge_notes
PMD-DOC-POL-009-0001,DOC-POL-009,section2,CLS-SEED-DOC-POL-009-00002,PAR-DOC-POL-009-00002,bullet,｢기초연구 생태계 육성 방안(안)｣을 별지와 같이 의결함,ㅇ ｢기초연구 생태계 육성 방안(안)｣을 별지와 같이 의결함,meta_program_frame,detected_program_frame_keyword,,,,,,CLS-SEED-DOC-POL-009-00002,PAR-DOC-POL-009-00002,1,,0,ㅇ ｢기초연구 생태계 육성 방안(안)｣을 별지와 같이 의결함,,,medium,review_required,
PMD-DOC-POL-009-0002,DOC-POL-009,section2,CLS-SEED-DOC-POL-009-00004,PAR-DOC-POL-009-00004,bullet,기초연구 지원 40주년을 앞두고,"ㅇ 기초연구 지원 40주년을 앞두고, 위축된 연구생태계를 되살리고 세계적인 성과를 창출하는 연구생태계로 한 단계 도약하기 위한 ｢기초연구 생태계 육성 방안(안)｣을 수립․추진하고자 함",policy_action,,,,,,,CLS-SEED-DOC-POL-009-00004,PAR-DOC-POL-009-00004,1,,0,"ㅇ 기초연구 지원 40주년을 앞두고, 위축된 연구생태계를 되살리고 세계적인 성과를 창출하는 연구생태계로 한 단계 도약하기 위한 ｢기초연구 생태계 육성 방안(안)｣을 수립․추진하고자 함",,,medium,review_required,
PMD-DOC-POL-009-0003,DOC-POL-009,section2,CLS-SEED-DOC-POL-009-00007,PAR-DOC-POL-009-00007,bullet,기초연구 생태계의 양적 성장에도 불구,"ㅇ 기초연구 생태계의 양적 성장에도 불구, 투자 대비 질적 성과는 감소하고 있으며, R&D 예산삭감으로 생태계의 위축도 겪은 상황",policy_action,,infrastructure_policy,infrastructure_policy,,,,CLS-SEED-DOC-POL-009-00007,PAR-DOC-POL-009-00007,1,,0,"ㅇ 기초연구 생태계의 양적 성장에도 불구, 투자 대비 질적 성과는 감소하고 있으며, R&D 예산삭감으로 생태계의 위축도 겪은 상황",,,medium,review_required,
PMD-DOC-POL-009-0004,DOC-POL-009,section2,CLS-SEED-DOC-POL-009-00008,PAR-DOC-POL-009-00008,bullet,연구역량의 장기간 축적으로 연구생산성이 향상되고,"- 연구역량의 장기간 축적으로 연구생산성이 향상되고, 세계적 성과가 창출될 수 있도록 생태계 복원을 넘어 한 단계 도약을 모색할 시점",policy_action,,,,,,,CLS-SEED-DOC-POL-009-00008,PAR-DOC-POL-009-00008,1,,0,"- 연구역량의 장기간 축적으로 연구생산성이 향상되고, 세계적 성과가 창출될 수 있도록 생태계 복원을 넘어 한 단계 도약을 모색할 시점",,,medium,review_required,
PMD-DOC-POL-009-0005,DOC-POL-009,section2,CLS-SEED-DOC-POL-009-00010,PAR-DOC-POL-009-00010,bullet,수혜율,"ㅇ (수혜율) 기초연구 투자가 지속 증가하였음에도 과제 수 감소 등으로 인해 교원 수혜율 감소*, 이는 기초연구 저변과 다양성 축소로 연결",policy_action,,talent,talent,,,,CLS-SEED-DOC-POL-009-00010,PAR-DOC-POL-009-00010,1,CLS-SEED-DOC-POL-009-00011,1,"ㅇ (수혜율) 기초연구 투자가 지속 증가하였음에도 과제 수 감소 등으로 인해 교원 수혜율 감소*, 이는 기초연구 저변과 다양성 축소로 연결",,"* 전체 수혜율은 ‘24년, 20% 밑으로 하락 / 신진 교원 수혜율도 ’23년 급격히 하락",medium,review_required,attached_review_support
PMD-DOC-POL-009-0006,DOC-POL-009,section2,CLS-SEED-DOC-POL-009-00012,PAR-DOC-POL-009-00012,bullet,학술성과,"ㅇ (학술성과) 상위 10%/1% 논문 등 우수 학술성과는 양적으로 지속 증가하고 있으나, 투자 금액당 실적은 하락하여 연구생산성 정체 중",policy_action,,,,,,,CLS-SEED-DOC-POL-009-00012,PAR-DOC-POL-009-00012,1,CLS-SEED-DOC-POL-009-00014,1,"ㅇ (학술성과) 상위 10%/1% 논문 등 우수 학술성과는 양적으로 지속 증가하고 있으나, 투자 금액당 실적은 하락하여 연구생산성 정체 중",,"* HCR(명, ‘25년): [中] 1,406(19.7%), [英] 570(8.0%), [加] 227(3.2%), [日] 88(1.2%), [韓] 76(1.1%)",medium,review_required,attached_review_support
PMD-DOC-POL-009-0007,DOC-POL-009,section2,CLS-SEED-DOC-POL-009-00015,PAR-DOC-POL-009-00015,bullet,우수기관,"ㅇ (우수기관) Nature Index Top 200에 포함된 국내 연구기관 수 5개로 감소 추세이고, 국내 상위 10개 기관의 글로벌 경쟁력도 정체*",background_context,detected_background_keyword,,,,,,CLS-SEED-DOC-POL-009-00015,PAR-DOC-POL-009-00015,1,CLS-SEED-DOC-POL-009-00016 | CLS-SEED-DOC-POL-009-00019,2,"ㅇ (우수기관) Nature Index Top 200에 포함된 국내 연구기관 수 5개로 감소 추세이고, 국내 상위 10개 기관의 글로벌 경쟁력도 정체*",,"* 국내 상위 10개 기관 Nature Index 평균 순위: ‘22) 190 → ’23) 204 → ‘25) 205 || * 개인기초 연구 기간별 과제 비중(%, ’24년): [3년 이하] 49, [4~5년] 50, [5년 초과] 1",medium,review_required,attached_review_support
PMD-DOC-POL-009-0008,DOC-POL-009,section2,CLS-SEED-DOC-POL-009-00020,PAR-DOC-POL-009-00020,bullet,기초연구 본연의 목적과 특성에 부합하는 투자시스템 구축,⇨ 기초연구 본연의 목적과 특성에 부합하는 투자시스템 구축,policy_action,,,,,,,CLS-SEED-DOC-POL-009-00020,PAR-DOC-POL-009-00020,1,,0,⇨ 기초연구 본연의 목적과 특성에 부합하는 투자시스템 구축,,,medium,review_required,
PMD-DOC-POL-009-0009,DOC-POL-009,section2,CLS-SEED-DOC-POL-009-00021,PAR-DOC-POL-009-00021,bullet,연구자,"ㅇ (연구자) 연구생산성이 높은 청년·리더 연구자들의 지속적인 성장을 지원하는 체계가 부족, 학문별 특성을 고려하지 않는 일률적 지원",policy_action,,talent,talent,,,,CLS-SEED-DOC-POL-009-00021,PAR-DOC-POL-009-00021,1,CLS-SEED-DOC-POL-009-00022,1,"ㅇ (연구자) 연구생산성이 높은 청년·리더 연구자들의 지속적인 성장을 지원하는 체계가 부족, 학문별 특성을 고려하지 않는 일률적 지원",,"※ 연구비 10억 원당 NSP 저널 논문실적(‘23년): (리더) 0.18, (중견) 0.04, (신진) 0.04",medium,review_required,attached_review_support
PMD-DOC-POL-009-0010,DOC-POL-009,section2,CLS-SEED-DOC-POL-009-00023,PAR-DOC-POL-009-00023,bullet,우수 학술성과를 창출토록 연구자 맞춤형 지원체계 확충,⇨ 우수 학술성과를 창출토록 연구자 맞춤형 지원체계 확충,meta_program_frame,detected_short_meta_bullet,,,,,,CLS-SEED-DOC-POL-009-00023,PAR-DOC-POL-009-00023,1,,0,⇨ 우수 학술성과를 창출토록 연구자 맞춤형 지원체계 확충,,,medium,review_required,
