decision_key,active_in_queue,decision_status,policy_item_id,policy_id,policy_name,bucket_label,item_label,primary_evidence_id,evidence_preview,suggested_primary_strategy_id,suggested_primary_strategy_label,alternate_strategy_ids,alternate_strategy_labels,reviewed_primary_strategy_id,reviewed_secondary_strategy_ids,reviewed_confidence,reviewer_name,reviewer_notes
SRD-POL-012-df25feac2844,no,reviewed,ITM-POL-012-00853,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,A社,DRV-PAR-DOC-POL-006-00215,"▪ A社: 자금이 충분하다면 협력 개발 및 공동 투자해서 임상 3상을 마치고, 제품을 허가받으면 더 많은 부분의 권리를 주장할 수 있지만 자본 부족의 문제가 큼. 그런 경우에도 이 지원 대상에 포함됐으면 좋겠다는 바람",STR-003,바이오·헬스 글로벌 중심국가 도약,,,STR-003,,high,auto_seed,provisional_auto_seed_from_queue(score=3)
SRD-POL-012-ca66b8c57f80,no,reviewed,ITM-POL-012-00857,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,ICT 성과 창출,DRV-PAR-DOC-POL-006-00345,ㅇ (ICT 성과 창출) ICT 기반 의료시스템 해외수출 전주기 지원 확대 및 성공사례 확산을 통해 AI·디지탈 분야 성과 창출,STR-001,AI G3 도약 및 전 산업 AX 확산,STR-008,피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-012-5197d55420de,no,reviewed,ITM-POL-012-00858,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,K-디지털헬스 해외거점 확보 추진단,DRV-PAR-DOC-POL-006-00314,"- (K-디지털헬스 해외거점 확보 추진단) 디지털헬스기업을 중심으로 관계부처 및 유관협회 및 기관을 포함하여 구성*·운영(9.25, 11.28 2차례)",STR-010,디지털 헬스케어 서비스 혁신,STR-003 | STR-011,바이오·헬스 글로벌 중심국가 도약 | 디지털 콘텐츠 및 K-컬처 혁신,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: 해외거점 확보 추진단 구성은 STR-010 거버넌스/거점 구축 action이다.
SRD-POL-012-0d300765cab2,no,reviewed,ITM-POL-012-00859,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,K-디지털헬스위상강화를위한쇼케이스운영및기업홍보지원,DRV-PAR-DOC-POL-006-00375,- K-디지털헬스위상강화를위한쇼케이스운영및기업홍보지원,STR-010,디지털 헬스케어 서비스 혁신,STR-003 | STR-011,바이오·헬스 글로벌 중심국가 도약 | 디지털 콘텐츠 및 K-컬처 혁신,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: K-디지털헬스 쇼케이스·홍보 지원은 service/export cluster의 직접 action이다.
SRD-POL-012-3207f0439153,no,reviewed,ITM-POL-012-00860,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,K-디지털헬스케어,DRV-PAR-DOC-POL-006-00046,ㅇ (K-디지털헬스케어) 해외인수병원을 거점으로 중소․벤처기업을 지원하는 K-디지털헬스케어 新수출전략 정책지원 방안 마련(‘26. 1분기),STR-010,디지털 헬스케어 서비스 혁신,STR-003 | STR-011,바이오·헬스 글로벌 중심국가 도약 | 디지털 콘텐츠 및 K-컬처 혁신,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: K-디지털헬스 수출전략 패키지로 직접 읽힌다.
SRD-POL-012-84d6f89dd3bc,no,reviewed,ITM-POL-012-00864,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,· 고온 초전도자석 원천기술의 검증 및 고도화 · 고온 초전도자석 기술개발 수행을...,DRV-PAR-DOC-POL-006-00156,"· 고온 초전도자석 원천기술의 검증 및 고도화 · 고온 초전도자석 기술개발 수행을 통한 전문 인력 양성 · 초전도 선재 개발‧검증 및 자석 제작 기술 확보 과기정통부 실증 · 기초 물성 분석 장비, 핵융합로 등 고온초전도 자석 실용화 기술 개발‧실증 과기정통부 인프라 · 고온초전도 공정‧측정‧시험‧평가 단계별 장비 자체개발 · 세계 최고 사양인 16T*급 초전도 도체 시험시설",STR-007,양자 정보통신 및 미래소재 선점,STR-004 | STR-013,차세대 네트워크(6G) 및 지능형 인프라 | 디지털 트윈 및 가상화 공정 혁신,STR-007,STR-004 | STR-013,high,auto_seed,provisional_auto_seed_from_queue(score=3)
SRD-POL-012-33c6f7300e70,no,reviewed,ITM-POL-012-00866,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,⇒ 고온초전도자석 실용화 기술개발(’26~’30)을 통해 고온초전도 자석의 응용...,DRV-PAR-DOC-POL-006-00153,⇒ 고온초전도자석 실용화 기술개발(’26~’30)을 통해 고온초전도 자석의 응용 분야별 시스템 적용‧연계 기술을 확보하여 미래 신시장 창출 가능성 제고,STR-007,양자 정보통신 및 미래소재 선점,,,STR-007,,high,auto_seed,provisional_auto_seed_from_queue(score=3)
SRD-POL-012-e789426df239,no,reviewed,ITM-POL-012-00868,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,⇨ 스케일업 체계 구축･글로벌 네트워킹 기회 부족･해외 진출,DRV-PAR-DOC-POL-006-00209,"⇨ 스케일업 체계 구축･글로벌 네트워킹 기회 부족･해외 진출, 판매 사례 부족",STR-003,바이오·헬스 글로벌 중심국가 도약,STR-013,디지털 트윈 및 가상화 공정 혁신,STR-003,STR-013,high,auto_seed,provisional_auto_seed_from_queue(score=3)
SRD-POL-012-9fc6036c78d9,no,reviewed,ITM-POL-012-00869,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,⇨ ･글로벌 오픈이노베이션 활성화로 글로벌 진출 지원,DRV-PAR-DOC-POL-006-00210,⇨ ･글로벌 오픈이노베이션 활성화로 글로벌 진출 지원,STR-003,바이오·헬스 글로벌 중심국가 도약,STR-013,디지털 트윈 및 가상화 공정 혁신,STR-003,STR-013,high,auto_seed,provisional_auto_seed_from_queue(score=3)
SRD-POL-012-202042784f67,no,reviewed,ITM-POL-012-00870,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,⇨ ･핵심인재 11만명 양성 및 해외,DRV-PAR-DOC-POL-006-00206,⇨ ･핵심인재 11만명 양성 및 해외,STR-003,바이오·헬스 글로벌 중심국가 도약,STR-013,디지털 트윈 및 가상화 공정 혁신,STR-003,STR-013,high,auto_seed,provisional_auto_seed_from_queue(score=3)
