document_id,title,doc_role,include_status,source_format,raw_table_count,status,priority,recommended_action,queue_build_status,queue_review_item_count,queue_structured_table_count,queue_review_required_count,queue_layout_false_positive_count,reviewed_count,review_pending_count,canonical_table_count,notes
DOC-REF-001,정책-항목 구성(안),working_note,support,pdf,12,curated_complete,none,none,,,0,0,0,,,,
DOC-REF-002,정책기술분야별 재구성(안),working_note,support,pdf,3,curated_complete,none,none,,,0,0,0,,,,
DOC-CTX-002,기술분야 개요 사이버보안,context_note,support,pdf,1,curated_complete,none,none,,,0,0,0,,,,
DOC-CTX-003,기술분야 개요 소재,context_note,support,pdf,1,curated_complete,none,none,,,0,0,0,,,,
DOC-CTX-004,기술분야 개요 양자,context_note,support,pdf,1,curated_complete,none,none,,,0,0,0,,,,
DOC-BMK-006,일본 통합혁신전략 2025 원문,benchmark_source,hold,pdf,94,deferred_hold_queue_built,none,optional_benchmark_review_only_if_scope_changes,completed,115,53,62,0,,,,
DOC-BMK-002,EU Horizon Europe Regulation,benchmark_source,hold,pdf,3,deferred_hold_queue_built,none,optional_benchmark_review_only_if_scope_changes,completed,5,3,2,0,,,,
DOC-BMK-005,중국 제15차 5개년 규획 초안,benchmark_source,hold,pdf,2,deferred_hold_queue_built,none,optional_benchmark_review_only_if_scope_changes,completed,2,2,0,0,,,,
DOC-POL-007,AI반도체 산업 도약 전략,policy_source,include,hwpx,108,manual_review_complete,none,none,,108,9,11,88,108,0,14,
DOC-POL-002,AI-바이오 국가전략,policy_source,include,hwpx,94,manual_review_complete,none,none,,94,11,23,60,94,0,15,
DOC-POL-009,기초연구 생태계 육성 방안,policy_source,include,hwpx,94,manual_review_complete,none,none,,94,14,5,75,94,0,15,
DOC-POL-005,연구개발 생태계 혁신방안,policy_source,include,hwpx,83,manual_review_complete,none,none,,83,16,6,61,83,0,20,
DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,hwpx,76,manual_review_complete,none,none,,76,5,6,65,76,0,9,
DOC-POL-004,과학기술xAI 국가전략,policy_source,include,hwpx,54,manual_review_complete,none,none,,54,4,4,46,54,0,4,
DOC-POL-013,범부처 기술관리체계 정비 및 협업 강화 방향,policy_source,hold,hwpx,54,manual_review_complete,none,none,,54,4,6,44,54,0,4,
DOC-POL-012,정부 AX사업 전주기 원스톱 지원방안,policy_source,include,hwpx,44,manual_review_complete,none,none,,44,3,5,36,44,0,4,
DOC-POL-003,제조AX 추진방향,policy_source,include,hwpx,41,manual_review_complete,none,none,,41,2,6,33,41,0,4,
DOC-POL-008,"민간투자연계, 팁스 R&D 확산방안",policy_source,include,hwpx,28,manual_review_complete,none,none,,28,4,4,20,28,0,5,
DOC-POL-011,AI시대 대한민국 네트워크 전략,policy_source,include,hwpx,19,manual_review_complete,none,none,,19,3,3,13,19,0,3,
DOC-POL-006,초혁신경제 15대 프로젝트 추진계획,policy_source,include,pdf,10,manual_review_complete,none,none,,30,16,2,7,30,0,7,
DOC-POL-001,123대 국정과제,policy_source,include,pdf,6,manual_review_complete,none,none,,6,5,1,0,6,0,6,
DOC-CTX-008,기술분야 개요 차세대통신,context_note,support,pdf,1,manual_review_complete,none,none,,1,1,0,0,1,0,1,
DOC-CTX-009,기술분야 개요 첨단모빌리티,context_note,support,pdf,1,manual_review_complete,none,none,,1,1,0,0,1,0,0,
