decision_key,decision_status,resolved_group_id,applied_status,applied_group_status,applied_group_label,reviewer_name,reviewer_notes
TLR-TD-002-4ce18cf6e771,revised,PIG-EXP-TD-002-01,applied,reviewed_curated,기후테크 육성,codex_manual_technology_lens_review,에너지 기술축의 대표 근거로 유지하되 raw 접두 표기와 압축 문장을 정리한다.
TLR-TD-002-a67a4179bb8e,revised,PIG-EXP-TD-002-02,applied,reviewed_curated,미래전략산업·에너지 인프라 성장펀드,codex_manual_technology_lens_review,범용 펀드지만 에너지 인프라 투자가 명시되어 infra/institution 그룹으로 유지한다.
TLR-TD-003-ce55f5599417,revised,PIG-EXP-TD-003-03,applied,reviewed_curated,동남권 항공·이차전지 국가산단 조성,codex_manual_technology_lens_review,이차전지 지역 거점 조성 근거가 직접적이라 유지하되 카드 라벨을 정리한다.
TLR-TD-004-bd6fea254f33,revised,PIG-EXP-TD-004-04,applied,reviewed_curated,AI·첨단과학 기반 국방개혁 로드맵,codex_manual_technology_lens_review,국방 기술 전환의 직접 근거이므로 유지하되 카드 문구를 명시적으로 다듬는다.
TLR-TD-004-bdd639ad4cd4,rejected,PIG-EXP-TD-004-05,applied,review_rejected,군사법개혁,codex_manual_technology_lens_review,군사법개혁은 국방 기술축이 아니라 사법·거버넌스 개편 과제다.
TLR-TD-005-f653497af274,revised,PIG-EXP-TD-005-06,applied,reviewed_curated,바이오파운드리 기반 첨단바이오소재 구축,codex_manual_technology_lens_review,소재 기술축에서 바이오소재 생산 기반을 직접 설명하는 항목이다.
TLR-TD-005-cb9b63d36b6e,approved,PIG-EXP-TD-005-07,applied,reviewed_curated,AI-그린바이오,codex_manual_technology_lens_review,지역특화 고부가가치 소재 연구·활용과 인프라 구축이 명시되어 소재 그룹으로 유지한다.
TLR-TD-006-edab63e76ef2,revised,PIG-EXP-TD-006-08,applied,reviewed_curated,보안 사각지대 지원 강화,codex_manual_technology_lens_review,사이버보안 기술·산업 지원이 직접 드러나므로 유지하되 카드 문구를 정리한다.
TLR-TD-007-d0feb1b8ba17,revised,PIG-EXP-TD-007-09,applied,reviewed_curated,6G·AI 네트워크 선도국 도약,codex_manual_technology_lens_review,차세대 통신 핵심 정책 문구이므로 유지하되 과도한 원문 수식을 압축한다.
TLR-TD-007-ef19533c64dd,approved,PIG-EXP-TD-007-10,applied,reviewed_curated,고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,codex_manual_technology_lens_review,기지국 효율화와 저전력 통신망 구축은 차세대 통신 인프라 정책으로 타당하다.
TLR-TD-008-50137b46d117,revised,PIG-EXP-TD-008-11,applied,reviewed_curated,산업 AI 전환 촉진,codex_manual_technology_lens_review,첨단제조 축에서 가장 직접적인 산업 AI 전환 과제라 유지한다.
TLR-TD-008-b0a7199c166f,rejected,PIG-EXP-TD-008-12,applied,review_rejected,1단계 R&D('20~'25,codex_manual_technology_lens_review,자율운항 선박 실증은 첨단로봇제조보다 해양·모빌리티 성격이 강하다.
TLR-TD-010-3ec90a2c74f3,revised,PIG-EXP-TD-010-13,applied,reviewed_curated,양자과학기술 전략 중추기관 육성,codex_manual_technology_lens_review,양자 역량 확충 근거가 분명하지만 범주를 더 분명하게 보이도록 카드 문구를 조정한다.
TLR-TD-012-76d0998377d3,revised,PIG-EXP-TD-012-14,applied,reviewed_curated,위성 기반 광역감시 정보체계 구축,codex_manual_technology_lens_review,우주항공 축에서 위성 기반 감시 체계 근거로 직접 읽힌다.
TLR-TD-012-4a0f70917b9b,approved,PIG-EXP-TD-012-15,applied,reviewed_curated,우리기술로K-Space 도전,codex_manual_technology_lens_review,K-Space 클러스터와 재사용발사체 개발을 직접 다루는 대표 항목이라 그대로 승인한다.
TLR-TD-013-d937ad4b82ee,revised,PIG-EXP-TD-013-16,applied,reviewed_curated,관할해역 감시체계 강화,codex_manual_technology_lens_review,해양 안보·감시 인프라 축으로 직접 연결되지만 원문 문장을 카드형으로 정리한다.
TLR-TD-013-d5154b106a4e,revised,PIG-EXP-TD-013-17,applied,reviewed_curated,국가해상수송력·허브항만 확충,codex_manual_technology_lens_review,해양 물류·항만 기반을 직접 다루므로 해양 축에 유지한다.
TLR-TD-014-4c38ed4205e2,revised,PIG-EXP-TD-014-18,applied,reviewed_curated,미래차 혁신 생태계 조성,codex_manual_technology_lens_review,첨단모빌리티 핵심 키워드가 직접 모여 있어 대표 그룹으로 유지한다.
