decision_key,active_in_queue,tech_domain_id,tech_domain_label,policy_item_group_id,policy_id,policy_name,resource_category_id,resource_category_label,group_label,group_summary,group_status,source_basis_type,content_count,evidence_count,member_item_count,source_policy_item_ids,primary_strategy_id,primary_strategy_label,primary_tech_subdomain_id,primary_tech_subdomain_label,primary_document_id,primary_location_value,decision_status,reviewed_group_label,reviewed_group_summary,reviewed_group_description,reviewer_name,reviewer_notes
TLR-TD-002-4ce18cf6e771,no,TD-002,에너지,PIG-EXP-TD-002-01,POL-001,123대 국정과제,technology,기술,E: 기후테크,ㅇ (E: 기후테크) 기후대응에너지산업육성으로그린강국도약실현,auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00044,STR-006,탄소중립 및 에너지 안보 (수소·SMR),,,DOC-POL-001,61,revised,기후테크 육성,기후대응 에너지 산업을 육성해 그린 강국 도약을 추진하는 과제.,,,
TLR-TD-002-a67a4179bb8e,no,TD-002,에너지,PIG-EXP-TD-002-02,POL-001,123대 국정과제,infrastructure_institutional,인프라·제도,100조원+α 규모국민성장펀드신설,ㅇ (100조원+α 규모국민성장펀드신설) AI 등미래전략산업과에너지 인프라등에투자하는민·관합동의대규모펀드조성,auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00694,STR-001,AI G3 도약 및 전 산업 AX 확산,,,DOC-POL-001,83,revised,미래전략산업·에너지 인프라 성장펀드,AI 등 미래전략산업과 에너지 인프라에 투자하는 민관 합동 대규모 성장펀드 조성 과제.,,codex_manual_technology_lens_review,범용 펀드지만 에너지 인프라 투자가 명시되어 infra/institution 그룹으로 유지한다.
TLR-TD-003-ce55f5599417,no,TD-003,이차전지,PIG-EXP-TD-003-03,POL-001,123대 국정과제,technology,기술,항공·이차전지(동남권),"- 항공·이차전지(동남권), 미래차·우주산업(서남권) 국가산단조성",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00670,STR-002,초격차 전략기술 확보 (반도체·이차전지),,,DOC-POL-001,91,revised,동남권 항공·이차전지 국가산단 조성,동남권에 항공·이차전지 국가산단을 조성하는 지역 산업기반 확충 과제.,,codex_manual_technology_lens_review,이차전지 지역 거점 조성 근거가 직접적이라 유지하되 카드 라벨을 정리한다.
TLR-TD-004-bd6fea254f33,no,TD-004,국방,PIG-EXP-TD-004-04,POL-001,123대 국정과제,technology,기술,국방개혁로드맵마련,"ㅇ (국방개혁로드맵마련) 병력감축상황및총체전력차원에서, ‘AI·첨단과학 기술기반스마트강군육성’을위한국방개혁로드맵마련및추진",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00158,STR-001,AI G3 도약 및 전 산업 AX 확산,,,DOC-POL-001,177,revised,AI·첨단과학 기반 국방개혁 로드맵,AI·첨단과학기술 기반 스마트강군 육성을 위한 국방개혁 로드맵 마련 및 추진 과제.,,codex_manual_technology_lens_review,국방 기술 전환의 직접 근거이므로 유지하되 카드 문구를 명시적으로 다듬는다.
TLR-TD-004-bdd639ad4cd4,no,TD-004,국방,PIG-EXP-TD-004-05,POL-001,123대 국정과제,infrastructure_institutional,인프라·제도,군사법개혁,"ㅇ (군사법개혁) 군수사·검찰기능의국방부통합, 군수사기관에 대한지휘·감독의투명성강화등을 통해독립적이고공정한군사법체계구축",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00739,STR-013,디지털 트윈 및 가상화 공정 혁신,,,DOC-POL-001,22,rejected,,,,codex_manual_technology_lens_review,군사법개혁은 국방 기술축이 아니라 사법·거버넌스 개편 과제다.
TLR-TD-005-f653497af274,no,TD-005,소재,PIG-EXP-TD-005-06,POL-001,123대 국정과제,technology,기술,첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),- 첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00600,STR-003,바이오·헬스 글로벌 중심국가 도약,,,DOC-POL-001,61,revised,바이오파운드리 기반 첨단바이오소재 구축,첨단 바이오소재 후보물질의 개발·생산이 가능한 바이오파운드리를 구축하는 과제.,,codex_manual_technology_lens_review,소재 기술축에서 바이오소재 생산 기반을 직접 설명하는 항목이다.
TLR-TD-005-cb9b63d36b6e,no,TD-005,소재,PIG-EXP-TD-005-07,POL-002,AI-바이오 국가전략,technology,기술,AI-그린바이오,"□ (AI-그린바이오) 지역특화 고부가가치 소재 연구·활용(식품·화장품 등)을 위해 인프라 구축, 인력 양성 등 AI 그린바이오 혁신 생태계 조성",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-002-01096,STR-003,바이오·헬스 글로벌 중심국가 도약,,,DOC-POL-002,section7,approved,,,,codex_manual_technology_lens_review,지역특화 고부가가치 소재 연구·활용과 인프라 구축이 명시되어 소재 그룹으로 유지한다.
TLR-TD-006-edab63e76ef2,no,TD-006,사이버보안,PIG-EXP-TD-006-08,POL-001,123대 국정과제,technology,기술,보안이취약한지역·중소기업등보안사각지대지원강화,"- 보안이취약한지역·중소기업등보안사각지대지원강화, 피싱, 스미싱등 민생을위협하는디지털역기능해소및정보보호산업의전략적육성",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00308,,,TSD-006-006,위협·정책 대응,DOC-POL-001,50,revised,보안 사각지대 지원 강화,"지역·중소기업 등 보안 취약 영역 지원과 디지털 역기능 해소, 정보보호산업 육성을 함께 추진하는 과제.",,codex_manual_technology_lens_review,사이버보안 기술·산업 지원이 직접 드러나므로 유지하되 카드 문구를 정리한다.
TLR-TD-007-d0feb1b8ba17,no,TD-007,차세대통신,PIG-EXP-TD-007-09,POL-004,AI시대 대한민국 네트워크 전략,technology,기술,6G·AI네트워크 선도국 도약 및 글로벌 통신·네트워크 거대 시장 석권을 위해,"ㅇ 6G·AI네트워크 선도국 도약 및 글로벌 통신·네트워크 거대 시장 석권을 위해, 초격차 기술개발부터 AI-NW 융합서비스 조기 실증까지 과감하고 선제적 투자",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-004-01275,STR-004,차세대 네트워크(6G) 및 지능형 인프라,TSD-007-001,차세대 유무선 통신,DOC-POL-011,section2,revised,6G·AI 네트워크 선도국 도약,6G와 AI 네트워크 초격차 기술개발 및 융합서비스 조기 실증에 선제 투자하는 과제.,,codex_manual_technology_lens_review,차세대 통신 핵심 정책 문구이므로 유지하되 과도한 원문 수식을 압축한다.
TLR-TD-007-ef19533c64dd,no,TD-007,차세대통신,PIG-EXP-TD-007-10,POL-004,AI시대 대한민국 네트워크 전략,infrastructure_institutional,인프라·제도,고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,- 고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-004-01298,STR-004,차세대 네트워크(6G) 및 지능형 인프라,TSD-007-001,차세대 유무선 통신,DOC-POL-011,section5,approved,,,,codex_manual_technology_lens_review,기지국 효율화와 저전력 통신망 구축은 차세대 통신 인프라 정책으로 타당하다.
