paragraph_id,document_id,page_no,page_block_order,block_type,text,source_line_count,merged_block_count,normalization_actions,source_mode
PAR-DOC-POL-006-HWPX-00001,DOC-POL-006-HWPX,section0,1,paragraph,초혁신경제 15대 선도프로젝트 추진계획(Ⅳ),1,1,,hwpx
PAR-DOC-POL-006-HWPX-00002,DOC-POL-006-HWPX,section0,2,heading,2025. 12. 16.,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00003,DOC-POL-006-HWPX,section0,3,paragraph,관 계 부 처 합 동,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00004,DOC-POL-006-HWPX,section0,4,paragraph,추진배경,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00005,DOC-POL-006-HWPX,section0,5,bullet,"□ 인구구조 변화, 투자위축, 생산성 정체로 잠재성장률의 지속적 하락 전망 속에 성장동력이 둔화, 초혁신경제로의 전환이 시급",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00006,DOC-POL-006-HWPX,section0,6,bullet,"□ 경제안보, 에너지 전환, 식량위기 대응을 위한 선제적 지원과 기술개발·산업 고도화로 글로벌 시장 주도권 확보 필요",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00007,DOC-POL-006-HWPX,section0,7,bullet,"□ 새정부 경제성장전략(8.22)에 따른 초혁신경제 15대 프로젝트 추진계획 발표 Ⅰ*(9.10), Ⅱ**(10.20), Ⅲ***(11.26)에 이어 네 번째 추진계획을 마련·발표",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00008,DOC-POL-006-HWPX,section0,8,note,"* (9.10) SiC전력반도체, LNG화물창, 그래핀, 특수탄소강, K-식품",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00009,DOC-POL-006-HWPX,section0,9,note,"** (10.20) 스마트농․수산업, 초고해상도 위성개발·활용, AI바이오 오픈생태계 구축, K-뷰티",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00010,DOC-POL-006-HWPX,section0,10,note,"*** (11.26) 차세대 태양광․전력망, 해상풍력․HVDC, 그린수소․SMR",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00011,DOC-POL-006-HWPX,section0,11,paragraph,"추진방향, 선정절차 및 선정기준",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00012,DOC-POL-006-HWPX,section0,12,paragraph,"(초혁신경제) 추격형 경제의 한계를 극복하고 선도형 경제로 나아가기 위해 초혁신기술 개발, 미래대응, 글로벌 시장 진출에 집중 투자",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00013,DOC-POL-006-HWPX,section0,13,paragraph,(구체적인 프로젝트) 구체적인 프로젝트(Kingpin)에 대해 재정·세제·금융· 규제개선 등 국가 역량을 총동원한 집중지원으로 가시적 성과 창출,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00014,DOC-POL-006-HWPX,section0,14,note,※ 지역전략산업과도 연계하여 지역균형성장 및 지역혁신 촉진,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00015,DOC-POL-006-HWPX,section0,15,paragraph,"(추진단 구성) 기업을 중심으로 한 민관합동 추진단을 프로젝트별로 구성하고, 정부는 민간을 적극 지원․뒷받침",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00016,DOC-POL-006-HWPX,section0,16,paragraph,"(선정절차) 국정과제와의 연계성*, 관계부처** 및 지자체 의견, 현장방문 및 민관협의체, 전문가 의견 등을 통해 선정",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00017,DOC-POL-006-HWPX,section0,17,bullet,"➊세계 선도 전략기술 육성, ➋신성장 동력 발굴․육성, ➌의료AI․제약․바이오헬스 강국 실현 등",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00018,DOC-POL-006-HWPX,section0,18,note,"** 성장전략TF 1차 회의(’25.8.5), 경제관계장관회의(’25.8.7) 등 논의, 관계부처 간담회 등",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00019,DOC-POL-006-HWPX,section0,19,paragraph,"(선정기준) 경쟁력확보, 시장성·파급력, 구현가능성, 확산·지속 가능성 모두를 충족하는 3대 분야 “15대 선도 프로젝트” 선정",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00020,DOC-POL-006-HWPX,section0,20,bullet,ㅇ (첨단소재․부품: 5개*) 산업생태계의 게임체인저 육성으로 생산성 제고,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00021,DOC-POL-006-HWPX,section0,21,paragraph,"차세대 전력반도체, LNG 화물창, 초전도체, 그래핀(Graphene), 특수탄소강",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00022,DOC-POL-006-HWPX,section0,22,bullet,ㅇ (기후․에너지․미래대응: 6개*) 지속가능한 성장을 위해 선제적으로 대응,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00023,DOC-POL-006-HWPX,section0,23,paragraph,"차세대 태양광․전력망, 해상풍력․HVDC, 그린수소․SMR, 스마트농업/수산업, 초고해상도 위성",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00024,DOC-POL-006-HWPX,section0,24,bullet,ㅇ (K-붐업: 4개*) 시장규모가 크고 성장 잠재력 높은 글로벌시장 진출,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00025,DOC-POL-006-HWPX,section0,25,paragraph,"K-바이오․의약품, K-콘텐츠(게임, 웹툰 등), K-뷰티, K-식품",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00026,DOC-POL-006-HWPX,section0,26,paragraph,목표 및 추진체계,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00027,DOC-POL-006-HWPX,section0,27,bullet,"□ 3대 분야, 15대 프로젝트에 대해 기술개발, 인력, 금융, 해외진출· 입지지원, 규제개선 등 패키지 지원으로 ’30년까지 잠재성장률 반등 도모",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00028,DOC-POL-006-HWPX,section0,28,paragraph,"(추진협의체) 성장전략TF(부총리 주재)에서 추진방향을 논의․확정하고, 부총리 주재 관계장관회의를 통해 추진상황 점검 및 지원방안 마련",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00029,DOC-POL-006-HWPX,section0,29,paragraph,(실무 추진협의체) 추진상황 모니터링 및 부처간 협조사항 논의를 위해 실무 추진협의체(간사 기재부 차관보)를 구성․운영,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00030,DOC-POL-006-HWPX,section0,30,paragraph,(추진단) 「기업 + 주관부처·관계기관 + 기재부*(지원)」등으로 프로젝트별 추진단을 구성하여 단기간내 성과 창출 도모,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00031,DOC-POL-006-HWPX,section0,31,paragraph,프로젝트별로 “초혁신경제지원관”을 지정하여 재정․세제․금융․인력․규제․입지 등 해결 집중 지원,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00032,DOC-POL-006-HWPX,section0,32,paragraph,향후계획,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00033,DOC-POL-006-HWPX,section0,33,paragraph,기업 애로사항 반영 등 프로젝트별 세부 실행계획 지속 업데이트 (계속),1,1,,hwpx
PAR-DOC-POL-006-HWPX-00034,DOC-POL-006-HWPX,section0,34,paragraph,20개 추진단별 ’27년 예산 사업 발굴 등 세부실행계획 업데이트 (~’26.4월),1,1,,hwpx
PAR-DOC-POL-006-HWPX-00035,DOC-POL-006-HWPX,section0,35,paragraph,프로젝트별 추진계획 (Ⅳ),1,1,,hwpx
PAR-DOC-POL-006-HWPX-00036,DOC-POL-006-HWPX,section0,36,paragraph,(첨단소재․부품) 산업생태계의 게임체인저 육성으로 생산성 제고,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00037,DOC-POL-006-HWPX,section0,37,bullet,"ㅇ (초전도체) 고온초전도자석 원천기술을 고도화하고 의료, 에너지, 교통 등 응용분야를 중심으로 실용화 기술 및 프로토타입 개발",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00038,DOC-POL-006-HWPX,section0,38,note,"※ 고온초전도마그넷기술개발(‘22~’26, ‘26년 93억원), 고온초전도자석실용화기술개발 (‘26~’30, ‘26년 45억원)",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00039,DOC-POL-006-HWPX,section0,39,paragraph,(K-붐업) 시장규모가 크고 성장 잠재력 높은 글로벌시장 진출,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00040,DOC-POL-006-HWPX,section0,40,bullet,"ㅇ (K-바이오 글로벌 상업화) 임상3상 특화펀드(1,500억원 규모) 조성, 인허가, 현지거점 진출 지원 등 글로벌 진출 전주기 지원 확대",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00041,DOC-POL-006-HWPX,section0,41,bullet,ㅇ (K-디지털헬스케어) 해외 인수병원을 거점으로 중소․벤처기업을 지원하는 K-디지털헬스케어 新수출전략 정책지원 방안 마련(‘26. 1분기),1,1,,hwpx
PAR-DOC-POL-006-HWPX-00042,DOC-POL-006-HWPX,section0,42,bullet,ㅇ (K-콘텐츠) (공통)콘텐츠 정책펀드 內 미래전략분야 신설(’26년 500억원),1,1,,hwpx
PAR-DOC-POL-006-HWPX-00043,DOC-POL-006-HWPX,section0,43,paragraph,신융합장르 발굴 위한 범장르 AI 콘텐츠 제작 지원 확대,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00044,DOC-POL-006-HWPX,section0,44,paragraph,"(게임)정부간 협력 강화로 수출국 다변화 지원, (영상)제작비 세액공제 일몰기한 연장(’25.12월 → ’28.12월), (음악)음악영상물 등급분류 개선, (웹툰)제작비용에 대한 소득세․법인세 세액공제 신설 등",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00045,DOC-POL-006-HWPX,section0,45,paragraph,순 서,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00046,DOC-POL-006-HWPX,section0,46,paragraph,. 추진배경 1,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00047,DOC-POL-006-HWPX,section0,47,paragraph,". 추진방향, 선정절차 및 선정기준 2",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00048,DOC-POL-006-HWPX,section0,48,paragraph,. 체계도 및 추진체계 4,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00049,DOC-POL-006-HWPX,section0,49,paragraph,. 향후계획 5,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00050,DOC-POL-006-HWPX,section0,50,paragraph,. 프로젝트별 추진계획 (Ⅳ) 6,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00051,DOC-POL-006-HWPX,section0,51,paragraph,참고. 15대 프로젝트 세부 일정 (Ⅳ) 31,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00052,DOC-POL-006-HWPX,section0,52,bullet,"ㅇ 인구구조 변화, 투자위축, 생산성 정체로 잠재성장률이 점차 하락할 것으로 전망*되는 등 경제의 성장엔진이 둔화",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00053,DOC-POL-006-HWPX,section0,53,note,"* 잠재성장률 전망(한국은행, %): ’25~’29)1.8 → ’30~’34)1.3 → ’35~’39)1.1 → ’40~’44)0.7",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00054,DOC-POL-006-HWPX,section0,54,bullet,ㅇ AI 등 급변하는 기술 패러다임에 맞추어 미래 신성장 경쟁력과 초혁신기술을 확보하는 선도경제로의 본격적 전환 절실,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00055,DOC-POL-006-HWPX,section0,55,bullet,"ㅇ 이상기후, 국제분쟁, 글로벌 공급망 불안정 등으로 인해 공급의 불확실성과 식량안보 불안정성 증대",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00056,DOC-POL-006-HWPX,section0,56,note,"※ 3개년(’21~’23년) 평균 우리나라 곡물 자급률 19.5%, 전체 식량자급률 47.7% (’22년 기준)",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00057,DOC-POL-006-HWPX,section0,57,bullet,"ㅇ “2등은 생존할 수 없는 시대(Winner Takes All)”로 전환, 향후 5년은 마지막 “골든타임”으로 평가됨",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00058,DOC-POL-006-HWPX,section0,58,bullet,ㅇ 기술·에너지·식량·분야에 대한 선제적 지원과 세계 일등 수준의 기술개발·산업 고도화로 글로벌 시장 주도권 확보 필요,1,1,,hwpx
PAR-DOC-POL-006-HWPX-00059,DOC-POL-006-HWPX,section0,59,bullet,"ㅇ 초혁신경제 15대 프로젝트 추진계획 발표 Ⅰ*(9.10), Ⅱ**(10.20), Ⅲ***(11.26)에 이어 네 번째 추진계획을 마련·발표",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00060,DOC-POL-006-HWPX,section0,60,note,"* (9.10) SiC전력반도체, LNG화물창, 그래핀, 특수탄소강, K-식품",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00061,DOC-POL-006-HWPX,section0,61,note,"** (10.20) 스마트농․수산업, 초고해상도 위성개발·활용, AI바이오 오픈생태계 구축, K-뷰티",1,1,,hwpx
PAR-DOC-POL-006-HWPX-00062,DOC-POL-006-HWPX,section0,62,note,"*** (11.26) 차세대 태양광․전력망, 해상풍력․HVDC, 그린수소․SMR",1,1,,hwpx
