decision_key,tech_domain_id,tech_domain_label,policy_item_group_id,policy_id,policy_name,group_label,final_decision_status,final_group_label,final_group_summary,final_group_description,reviewer_name,reviewer_notes
TLR-TD-002-4ce18cf6e771,TD-002,에너지,PIG-EXP-TD-002-01,POL-001,123대 국정과제,E: 기후테크,revised,기후테크 육성,기후대응 에너지 산업을 육성해 그린 강국 도약을 추진하는 과제.,,codex_manual_technology_lens_review,에너지 기술축의 대표 근거로 유지하되 raw 접두 표기와 압축 문장을 정리한다.
TLR-TD-002-a67a4179bb8e,TD-002,에너지,PIG-EXP-TD-002-02,POL-001,123대 국정과제,100조원+α 규모국민성장펀드신설,revised,미래전략산업·에너지 인프라 성장펀드,AI 등 미래전략산업과 에너지 인프라에 투자하는 민관 합동 대규모 성장펀드 조성 과제.,,codex_manual_technology_lens_review,범용 펀드지만 에너지 인프라 투자가 명시되어 infra/institution 그룹으로 유지한다.
TLR-TD-002-32f58df085a6,TD-002,에너지,PIG-SEED-TD-002-01,POL-012,초혁신경제 15대 프로젝트 추진계획,초전도체,rejected,,,,codex_manual_technology_lens_review,초전도체는 에너지 응용이 포함되지만 소재·양자 성격이 더 강해 에너지 대표 그룹으로 확정하지 않는다.
TLR-TD-003-ce55f5599417,TD-003,이차전지,PIG-EXP-TD-003-03,POL-001,123대 국정과제,항공·이차전지(동남권),revised,동남권 항공·이차전지 국가산단 조성,동남권에 항공·이차전지 국가산단을 조성하는 지역 산업기반 확충 과제.,,codex_manual_technology_lens_review,이차전지 지역 거점 조성 근거가 직접적이라 유지하되 카드 라벨을 정리한다.
TLR-TD-003-3ef8a03e8dca,TD-003,이차전지,PIG-SEED-TD-003-02,POL-001,123대 국정과제,3대위기업종(석유화학·철강·이차전지) 특단대책강구,revised,이차전지 위기산업 특단대책,이차전지를 포함한 위기업종 특단대책과 산업위기지역 패키지 지원을 추진하는 과제.,,codex_manual_technology_lens_review,이차전지를 명시한 산업 지원 정책이어서 유지하되 요약을 정제한다.
TLR-TD-004-bd6fea254f33,TD-004,국방,PIG-EXP-TD-004-04,POL-001,123대 국정과제,국방개혁로드맵마련,revised,AI·첨단과학 기반 국방개혁 로드맵,AI·첨단과학기술 기반 스마트강군 육성을 위한 국방개혁 로드맵 마련 및 추진 과제.,,codex_manual_technology_lens_review,국방 기술 전환의 직접 근거이므로 유지하되 카드 문구를 명시적으로 다듬는다.
TLR-TD-004-bdd639ad4cd4,TD-004,국방,PIG-EXP-TD-004-05,POL-001,123대 국정과제,군사법개혁,rejected,,,,codex_manual_technology_lens_review,군사법개혁은 국방 기술축이 아니라 사법·거버넌스 개편 과제다.
TLR-TD-004-cc9d6e3bfe9c,TD-004,국방,PIG-SEED-TD-004-03,POL-001,123대 국정과제,국방AI 첨단기술활용,revised,국방 AI 신속개발·활용,국방 데이터·보안 체계 개선과 맞춤형 획득 프로세스 마련으로 국방 AI 활용을 가속하는 과제.,,codex_manual_technology_lens_review,국방 AI 활용 기반을 직접 설명하는 항목으로 유지한다.
TLR-TD-005-f653497af274,TD-005,소재,PIG-EXP-TD-005-06,POL-001,123대 국정과제,첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),revised,바이오파운드리 기반 첨단바이오소재 구축,첨단 바이오소재 후보물질의 개발·생산이 가능한 바이오파운드리를 구축하는 과제.,,codex_manual_technology_lens_review,소재 기술축에서 바이오소재 생산 기반을 직접 설명하는 항목이다.
TLR-TD-005-cb9b63d36b6e,TD-005,소재,PIG-EXP-TD-005-07,POL-002,AI-바이오 국가전략,AI-그린바이오,approved,,,,codex_manual_technology_lens_review,지역특화 고부가가치 소재 연구·활용과 인프라 구축이 명시되어 소재 그룹으로 유지한다.
TLR-TD-005-05e9dec21247,TD-005,소재,PIG-SEED-TD-005-04,POL-001,123대 국정과제,수소환원제철(철강),revised,수소환원제철·스페셜티소재 전환,수소환원제철과 스페셜티 소재 중심으로 탄소감축과 고부가가치화를 추진하는 과제.,,codex_manual_technology_lens_review,철강·화학 소재 고도화 맥락이 분명해 소재 기술축에 유지한다.
TLR-TD-006-edab63e76ef2,TD-006,사이버보안,PIG-EXP-TD-006-08,POL-001,123대 국정과제,보안이취약한지역·중소기업등보안사각지대지원강화,revised,보안 사각지대 지원 강화,"지역·중소기업 등 보안 취약 영역 지원과 디지털 역기능 해소, 정보보호산업 육성을 함께 추진하는 과제.",,codex_manual_technology_lens_review,사이버보안 기술·산업 지원이 직접 드러나므로 유지하되 카드 문구를 정리한다.
TLR-TD-006-ad0e627cbfd6,TD-006,사이버보안,PIG-SEED-TD-006-05,POL-001,123대 국정과제,디지털보안·안전확보,approved,,,,codex_manual_technology_lens_review,AI 기반 사이버위협 대응과 정보보호 제도 개편이 직접 연결돼 있어 그대로 승인한다.
TLR-TD-007-d0feb1b8ba17,TD-007,차세대통신,PIG-EXP-TD-007-09,POL-004,AI시대 대한민국 네트워크 전략,6G·AI네트워크 선도국 도약 및 글로벌 통신·네트워크 거대 시장 석권을 위해,revised,6G·AI 네트워크 선도국 도약,6G와 AI 네트워크 초격차 기술개발 및 융합서비스 조기 실증에 선제 투자하는 과제.,,codex_manual_technology_lens_review,차세대 통신 핵심 정책 문구이므로 유지하되 과도한 원문 수식을 압축한다.
TLR-TD-007-ef19533c64dd,TD-007,차세대통신,PIG-EXP-TD-007-10,POL-004,AI시대 대한민국 네트워크 전략,고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,approved,,,,codex_manual_technology_lens_review,기지국 효율화와 저전력 통신망 구축은 차세대 통신 인프라 정책으로 타당하다.
TLR-TD-007-966edd842344,TD-007,차세대통신,PIG-SEED-TD-007-06,POL-001,123대 국정과제,초지능네트워크구축,revised,초지능 네트워크 구축,AI에 최적화된 6G 상용화와 초지능 네트워크 인프라 구축을 추진하는 과제.,,codex_manual_technology_lens_review,원문이 잘린 카드라서 대표 라벨과 요약을 복원한다.
TLR-TD-008-50137b46d117,TD-008,첨단로봇제조,PIG-EXP-TD-008-11,POL-001,123대 국정과제,산업AI 전환촉진,revised,산업 AI 전환 촉진,제조기업 AI 팩토리 전환과 중소기업 AI 바우처 지원으로 산업 현장 AI 도입을 확산하는 과제.,,codex_manual_technology_lens_review,첨단제조 축에서 가장 직접적인 산업 AI 전환 과제라 유지한다.
TLR-TD-008-b0a7199c166f,TD-008,첨단로봇제조,PIG-EXP-TD-008-12,POL-006,제조AX 추진방향,1단계 R&D('20~'25,rejected,,,,codex_manual_technology_lens_review,자율운항 선박 실증은 첨단로봇제조보다 해양·모빌리티 성격이 강하다.
TLR-TD-008-3a9a03ff49e9,TD-008,첨단로봇제조,PIG-SEED-TD-008-07,POL-001,123대 국정과제,고부가가치서비스업육성,rejected,,,,codex_manual_technology_lens_review,교통·물류·안전 서비스 생산성 제고는 범용 AI 서비스 과제로 첨단로봇제조 대표 그룹으로는 범위가 너무 넓다.
TLR-TD-010-3ec90a2c74f3,TD-010,양자,PIG-EXP-TD-010-13,POL-007,기초연구 생태계 육성 방안,전략･도전 연구 중추,revised,양자과학기술 전략 중추기관 육성,양자과학기술 등 첨단 기초과학 분야의 전략·도전 연구 중추기관을 육성하는 과제.,,codex_manual_technology_lens_review,양자 역량 확충 근거가 분명하지만 범주를 더 분명하게 보이도록 카드 문구를 조정한다.
TLR-TD-010-ffc2d71e979f,TD-010,양자,PIG-SEED-TD-010-08,POL-002,AI-바이오 국가전략,양자컴 활용,revised,양자컴퓨터 하이브리드 활용,양자컴퓨터-슈퍼컴퓨터 하이브리드 시스템을 구축해 신약 개발 등 난제 해결을 지원하는 과제.,,codex_manual_technology_lens_review,바이오 응용 사례를 담고 있지만 양자컴 활용 인프라 자체가 핵심이라 양자 축에 유지한다.
TLR-TD-012-76d0998377d3,TD-012,우주항공,PIG-EXP-TD-012-14,POL-001,123대 국정과제,함정‧ 항공기정보및첨단기술(위성등) 기반광역감시·정보체계(MDA) 구축,revised,위성 기반 광역감시 정보체계 구축,위성 등 첨단기술을 활용한 광역 감시·정보체계를 구축하는 과제.,,codex_manual_technology_lens_review,우주항공 축에서 위성 기반 감시 체계 근거로 직접 읽힌다.
TLR-TD-012-4a0f70917b9b,TD-012,우주항공,PIG-EXP-TD-012-15,POL-001,123대 국정과제,우리기술로K-Space 도전,approved,,,,codex_manual_technology_lens_review,K-Space 클러스터와 재사용발사체 개발을 직접 다루는 대표 항목이라 그대로 승인한다.
TLR-TD-012-4881777fc9c4,TD-012,우주항공,PIG-SEED-TD-012-09,POL-001,123대 국정과제,첨단기술산업기반구축,rejected,,,,codex_manual_technology_lens_review,AI·항공엔진·반도체·우주·드론·로봇이 결합된 범분야 산업 총론이라 우주항공 대표 그룹으로 확정하지 않는다.
TLR-TD-013-d937ad4b82ee,TD-013,해양,PIG-EXP-TD-013-16,POL-001,123대 국정과제,독도등관할해역감시체계역량강화로빈틈없는해양안보태세를구비 하고,revised,관할해역 감시체계 강화,관할해역 감시 역량을 강화해 해양안보를 고도화하고 해양생태계 보전을 병행하는 과제.,,codex_manual_technology_lens_review,해양 안보·감시 인프라 축으로 직접 연결되지만 원문 문장을 카드형으로 정리한다.
TLR-TD-013-d5154b106a4e,TD-013,해양,PIG-EXP-TD-013-17,POL-001,123대 국정과제,국가해상수송력확충과글로벌허브항만완성으로우리수출입물류를 뒷받침하고,revised,국가해상수송력·허브항만 확충,국가 해상수송력 확충과 글로벌 허브항만 완성으로 해양 물류 기반을 강화하는 과제.,,codex_manual_technology_lens_review,해양 물류·항만 기반을 직접 다루므로 해양 축에 유지한다.
TLR-TD-013-08a589cbabe1,TD-013,해양,PIG-SEED-TD-013-10,POL-001,123대 국정과제,산업경쟁력강화,revised,해상풍력 설치선·전용항만 기반 강화,"해상풍력 기자재 기술개발과 설치선 건조, 전용항만 설치를 추진하는 과제.",,codex_manual_technology_lens_review,복합 문장 중 해상풍력 설치선·전용항만 부분을 해양 산업기반 대표 근거로 남긴다.
TLR-TD-014-4c38ed4205e2,TD-014,첨단모빌리티,PIG-EXP-TD-014-18,POL-001,123대 국정과제,친환경차·소프트웨어차량(SDV)·AI 자율주행차등미래차혁신생태계조성,revised,미래차 혁신 생태계 조성,"친환경차, SDV, AI 자율주행차 중심의 미래차 혁신 생태계를 조성하는 과제.",,codex_manual_technology_lens_review,첨단모빌리티 핵심 키워드가 직접 모여 있어 대표 그룹으로 유지한다.
TLR-TD-014-8192cc2ff85b,TD-014,첨단모빌리티,PIG-EXP-TD-014-19,POL-001,123대 국정과제,전기차·이륜차·개인이동수단(PM) 안전대책마련,revised,전기차·PM 안전대책 및 자율주행 질서 정비,전기차·이륜차·개인이동수단 안전대책과 자율주행 법·질서 정비를 추진하는 과제.,,codex_manual_technology_lens_review,첨단모빌리티의 제도·안전 축을 대표하는 인프라·제도 그룹으로 유지한다.
TLR-TD-014-34e8cd14b230,TD-014,첨단모빌리티,PIG-SEED-TD-014-11,POL-001,123대 국정과제,자율주행실현,approved,,,,codex_manual_technology_lens_review,레벨4 자율차 출시와 자율주행 AI 인프라 구축을 직접 설명하는 대표 정책이어서 그대로 승인한다.
