policy_item_id,policy_bucket_id,item_label,item_statement,item_description,item_status,source_basis_type,curation_priority,notes
ITM-POL-009-RV-00001,PBK-POL-009-02,기관출연금 전환을 통한 인건비 전액 지원,매년 종료되는 정부수탁과제를 기관출연금으로 전환해 기관출연금과 계속과제로 인건비를 전액 지원한다.,DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0045; candidate_role=policy_action
ITM-POL-009-RV-00002,PBK-POL-009-02,기관출연금 기본·전략연구사업 체계화,기관출연금을 기본연구사업과 전략연구사업으로 유형화해 운영한다.,DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0048; candidate_role=policy_action
ITM-POL-009-RV-00003,PBK-POL-009-02,산·연·정 전략연구사업 운영위원회 신설,"출연연, 산업계, 관계부처가 참여하는 전략연구사업 운영위원회를 신설한다.",DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0050; candidate_role=policy_action
ITM-POL-009-RV-00004,PBK-POL-009-02,연구회 내 전략연구지원단 설치,"전략연구사업의 기획조정, 점검평가, 성과확산을 지원하는 전략연구지원단을 연구회 내에 설치한다.",DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0051; candidate_role=policy_action
ITM-POL-009-RV-00005,PBK-POL-009-02,수요기반 전략연구사업 기획절차 운영,"운영위원회, 지원단, 출연연을 연계한 수요기반 기획절차로 차년도 전략연구사업 예산요구 과제를 결정한다.",DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0053; candidate_role=policy_action
ITM-POL-009-RV-00006,PBK-POL-009-02,통합평가 결과 환류 강화,"통합평가 결과를 성과급, 우수연구자 상여금, 경상경비 증가율 등에 연계해 평가 환류를 강화한다.",DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0056; candidate_role=policy_action
ITM-POL-009-RV-00007,PBK-POL-009-02,기관평가와 기관장 재선임 연계 폐지,기관평가 결과와 기관장 재선임 요건의 연계를 폐지하고 연임 희망 시 차기 기관장 공모를 통해 재선임하도록 한다.,DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0057; candidate_role=policy_action
ITM-POL-009-RV-00008,PBK-POL-009-03,우수 연구자·연구팀 상여금 신설,성과 기여도가 높은 우수 연구자와 연구팀을 대상으로 파격적 상여금을 신설한다.,DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0060; candidate_role=policy_action
ITM-POL-009-RV-00009,PBK-POL-009-03,출연연 구성원 처우 지속 개선,출연연 구성원의 전반적 처우 수준을 지속적으로 개선한다.,DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0063; candidate_role=policy_action
ITM-POL-009-RV-00010,PBK-POL-009-03,연구인력 특별채용 확대,박사후연구원 등 연구인력에 대한 수시 특별채용을 허용해 우수 인력을 적재적소에 활용한다.,DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0065; candidate_role=policy_action
ITM-POL-009-RV-00011,PBK-POL-009-03,블라인드채용 탄력 운영,심사위원에게 채용서류 원문을 제공해 블라인드채용 제도를 합리적이고 탄력적으로 운영한다.,DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0066; candidate_role=policy_action
ITM-POL-009-RV-00012,PBK-POL-009-03,연구행정·지원직 전문화,"연구행정·지원직의 가치를 인정하고 전문직에 상응하는 직종, 처우, 성장사다리를 마련한다.",DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0069; candidate_role=policy_action
ITM-POL-009-RV-00013,PBK-POL-009-02,전산인프라 통합 운영,전산인프라를 통합 운영해 시설 운영비를 효율화하고 데이터 보안과 인프라 안정성을 강화한다.,DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0071; candidate_role=policy_action
ITM-POL-009-RV-00014,PBK-POL-009-02,조직·인사·예산 자율 운영 원칙 명시,공공기관 지정해제 유보 취지를 반영해 조직·인사·예산 운영의 자율성 원칙을 명시한다.,DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0075; candidate_role=policy_action
ITM-POL-009-RV-00015,PBK-POL-009-03,우수인재 유치와 개방형 혁신 지원 법적 기반 마련,"인력개발, 우수인재 유치, 개방형 혁신 등 적극적 출연연 육성·지원을 위한 법적 기반을 마련한다.",DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0076; candidate_role=policy_action
ITM-POL-009-RV-00016,PBK-POL-009-02,과기정통부-연구회-출연연 협력 거버넌스 명확화,"과기정통부, 연구회, 출연연 간 유기적 협력체계를 명확화한다.",DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0077; candidate_role=policy_action
ITM-POL-009-RV-00017,PBK-POL-009-02,연구회 기능과 집행체계 정비,법률에 명시된 기능과 책무를 중심으로 연구회의 기능을 보완하고 의결기구와 집행기구를 분리한다.,DOC-POL-010 p.section7 | policy_action,reviewed,source_document_only,9,source_merge_candidate=PMD-DOC-POL-010-0080; candidate_role=policy_action
