priority_rank,domain_priority_tier,tech_domain_id,tech_domain_label,tech_domain_display_order,within_domain_rank,domain_group_count,domain_curated_group_count,domain_provisional_group_count,domain_policy_count,policy_id,policy_name,policy_order,resource_category_id,resource_category_label,policy_item_group_id,group_label,group_summary,projection_source,group_status,content_count,evidence_count,source_policy_item_id,primary_strategy_id,primary_strategy_label,primary_tech_subdomain_id,primary_tech_subdomain_label,primary_document_id,primary_location_value,recommendation_reason
1,seed_curated,TD-002,에너지,2,1,3,0,3,2,POL-012,초혁신경제 15대 프로젝트 추진계획,12,technology,기술,PIG-PROV-ITM-POL-012-RV-00001,초전도체,"ㅇ (초전도체) 고온초전도자석원천기술을고도화하고의료, 에너지, 교통등응용분야를 중심으로실용화기술및프로토타입개발",provisional_policy_item,provisional_auto,1,3,ITM-POL-012-RV-00001,STR-007,양자 정보통신 및 미래소재 선점,,,DOC-POL-006,4,domain has no curated seed yet; promote one representative provisional group first
2,seed_curated,TD-002,에너지,2,2,3,0,3,2,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00044,E: 기후테크,ㅇ (E: 기후테크) 기후대응에너지산업육성으로그린강국도약실현,provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00044,STR-006,탄소중립 및 에너지 안보 (수소·SMR),,,DOC-POL-001,61,domain has no curated seed yet; promote one representative provisional group first
3,seed_curated,TD-002,에너지,2,3,3,0,3,2,POL-001,123대 국정과제,1,infrastructure_institutional,인프라·제도,PIG-PROV-ITM-POL-001-00694,100조원+α 규모국민성장펀드신설,ㅇ (100조원+α 규모국민성장펀드신설) AI 등미래전략산업과에너지 인프라등에투자하는민·관합동의대규모펀드조성,provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00694,STR-001,AI G3 도약 및 전 산업 AX 확산,,,DOC-POL-001,83,domain has no curated seed yet; promote one representative provisional group first
4,seed_curated,TD-003,이차전지,3,1,2,0,2,1,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00012,3대위기업종(석유화학·철강·이차전지) 특단대책강구,"- 3대위기업종(석유화학·철강·이차전지) 특단대책강구, 산업위기지역패키지지원",provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00012,STR-002,초격차 전략기술 확보 (반도체·이차전지),,,DOC-POL-001,91,domain has no curated seed yet; promote one representative provisional group first
5,seed_curated,TD-003,이차전지,3,2,2,0,2,1,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00670,항공·이차전지(동남권),"- 항공·이차전지(동남권), 미래차·우주산업(서남권) 국가산단조성",provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00670,STR-002,초격차 전략기술 확보 (반도체·이차전지),,,DOC-POL-001,91,domain has no curated seed yet; promote one representative provisional group first
6,seed_curated,TD-004,국방,4,1,3,0,3,2,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00157,국방AI 첨단기술활용,"ㅇ (국방AI 첨단기술활용) AI 신속개발·활용을 위해국방데이터관리·보안 체계를개선하고, 맞춤형획득프로세스를마련하며, 인프라투자확대",provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00157,STR-001,AI G3 도약 및 전 산업 AX 확산,,,DOC-POL-001,175,domain has no curated seed yet; promote one representative provisional group first
7,seed_curated,TD-004,국방,4,2,3,0,3,2,POL-001,123대 국정과제,1,infrastructure_institutional,인프라·제도,PIG-PROV-ITM-POL-001-00739,군사법개혁,"ㅇ (군사법개혁) 군수사·검찰기능의국방부통합, 군수사기관에 대한지휘·감독의투명성강화등을 통해독립적이고공정한군사법체계구축",provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00739,STR-013,디지털 트윈 및 가상화 공정 혁신,,,DOC-POL-001,22,domain has no curated seed yet; promote one representative provisional group first
8,seed_curated,TD-004,국방,4,3,3,0,3,2,POL-005,AI반도체 산업 도약 전략,5,infrastructure_institutional,인프라·제도,PIG-PROV-ITM-POL-005-01388,국가안보 핵심 인프라(전력 · 통신망,"- 국가안보 핵심 인프라(전력 · 통신망, 공공데이터센터, 철도 등) · 국방 분야를 중심으로 국산 AI반도체 우선 구매제도* 마련 추진",provisional_policy_item,provisional_auto,1,1,ITM-POL-005-01388,STR-002,초격차 전략기술 확보 (반도체·이차전지),,,DOC-POL-007,section8,domain has no curated seed yet; promote one representative provisional group first
9,seed_curated,TD-005,소재,5,1,3,0,3,3,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00386,수소환원제철(철강),"- 수소환원제철(철강), 스페셜티소재(석유화학) 등탄소감축·고부가가치화추진",provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00386,STR-006,탄소중립 및 에너지 안보 (수소·SMR),TSD-005-003,화학,DOC-POL-001,62,domain has no curated seed yet; promote one representative provisional group first
10,seed_curated,TD-005,소재,5,2,3,0,3,3,POL-002,AI-바이오 국가전략,2,technology,기술,PIG-PROV-ITM-POL-002-01096,AI-그린바이오,"□ (AI-그린바이오) 지역특화 고부가가치 소재 연구·활용(식품·화장품 등)을 위해 인프라 구축, 인력 양성 등 AI 그린바이오 혁신 생태계 조성",provisional_policy_item,provisional_auto,1,1,ITM-POL-002-01096,STR-003,바이오·헬스 글로벌 중심국가 도약,,,DOC-POL-002,section7,domain has no curated seed yet; promote one representative provisional group first
11,seed_curated,TD-005,소재,5,3,3,0,3,3,POL-003,과학기술xAI 국가전략,3,technology,기술,PIG-PROV-ITM-POL-003-01216,강점분야 산업육성,ㅇ (강점분야 산업육성) AI 기반으로 바이오‧소재 등 우리나라 강점 산업의 한계를 극복하고 새로운 성장동력 확보,provisional_policy_item,provisional_auto,1,1,ITM-POL-003-01216,STR-001,AI G3 도약 및 전 산업 AX 확산,,,DOC-POL-004,section1,domain has no curated seed yet; promote one representative provisional group first
12,seed_curated,TD-006,사이버보안,6,1,2,0,2,1,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00259,디지털보안·안전확보,"ㅇ (디지털보안·안전확보) AI로지능화된사이버위협에효과적대응을 위해정보보호제도개편, AI기반보안시스템구축등추진",provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00259,STR-001,AI G3 도약 및 전 산업 AX 확산,TSD-006-006,위협·정책 대응,DOC-POL-001,50,domain has no curated seed yet; promote one representative provisional group first
13,seed_curated,TD-006,사이버보안,6,2,2,0,2,1,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00308,보안이취약한지역·중소기업등보안사각지대지원강화,"- 보안이취약한지역·중소기업등보안사각지대지원강화, 피싱, 스미싱등 민생을위협하는디지털역기능해소및정보보호산업의전략적육성",provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00308,,,TSD-006-006,위협·정책 대응,DOC-POL-001,50,domain has no curated seed yet; promote one representative provisional group first
14,seed_curated,TD-007,차세대통신,7,1,3,0,3,2,POL-001,123대 국정과제,1,technology,기술,PIG-PROV-ITM-POL-001-00614,초지능네트워크구축,ㅇ (초지능네트워크구축) AI에최적화된6세대이동통신(6G) 상용화와 실시간･,provisional_policy_item,provisional_auto,1,1,ITM-POL-001-00614,STR-004,차세대 네트워크(6G) 및 지능형 인프라,TSD-007-001,차세대 유무선 통신,DOC-POL-001,47,domain has no curated seed yet; promote one representative provisional group first
