구분,주요,내용
기술,반도체,"차세대 반도체(시스템,전력,차량용,저전력 AI 반도체)기술"
기술,6G통신,2030년 상용화를 목표로 하는 차세대 네트워크 및 단말 기술
기술,양자정보통신,
기술,우주항공,
기술,이차전지,
기술,위성통신,
기술,,
기술,,"mRNA,합성항원 등 차세대 백신 플랫품 및 제약 기술"
기술 기술,그린수소 자울주행,자을협력주행 조기 상용화를 위한 실중 및 고도화 기술
기술 기술,로봇(Physical Al),사람을닮은로봇 등 산업및 서비스분야 로봇 육성 국가대표 LLM및 소규모 언어모델(sLM)연구개발
기술,NPU/PIM,
기술,신재생에너지,
기술,푸드테크,
기술,,데이터 중심정보보호및능동적사이버 방어 기술
기술 기술,모빌리티(UAM),도심항공교통(K-UAM)상용화 및 실증 기술
기술 인프라및제도,AI 데이터센터,보건의료 빅데이터기반 디지털헬스케어 기술 차세대국가SOC로규정한 최신GPU 확보 데이터센터
인프라및제도 인프라및제도,에너지고속도로 허<논IV,
인프라및제도 인프라 및제도,규제샌드박스 AI정책수석,
인프라및제도,R&D 예비타당성폐지,
인프라및제도,,
인프라및제도 인프라 및제도,국가 AI클러스터,R&D 성과활용 및 사업화 촉진을위한제도 도입
인프라및제도 인프라및제도,오픈랜(Open-RAN) 기회발전특구,네트워크고도화를위한개방형무선접속망인프라
인프라및제도,100조 국가펀드 스마트그린산단,첨단전략산업 집중투자를위한대규모국민 펀드
인프라및제도,통합 교육플랫폼,
인프라및제도,AX 원스톱바우처,
인프라및제도 인프라및제도,스핀오프(Spin-off),
인프라및제도,범부처R&D집중체계,
인프라및제도 인프라및제도,대학 연계 은퇴자 공동체 국제협력법제화 AI 부트캠프 Al+X 교육 기업 수요맞춤형 계약학과 신진연구자 지원 경력보유여성과학자 은퇴 고경력연구자 의사과학자(MD-Ph.D.) 디지털튜터(Digital Tutor) STEAM 교육 글로벌인재유치 군()AI-SW전문복무 한국식 휴먼캐피털 AI 교육인증서 연구행정업무경감 거점국립대집중투자,단기집중 교육을 통한 실무기술 인력 양성 비전공 대학생 및 성인대상의 AI 융합교육추진 여성 과학기술인의 경력 전환 및 Staff Scientist 도입 Y극우농MSIV 군복무 기간중과학기술역량 개발기회 제공 농MSV 공공기관및기업채용시가점을부여하는자격제도 산업계 주도의 현장 맞춤형 첨단 인력 양성활성화 고경력 과학기술인의 지역 정주 및 연구활동연계
