review_item_id,figure_id,document_id,title,doc_role,include_status,location,figure_type,extraction_method,extraction_confidence,has_source_bbox,generic_caption,caption,summary,asset_path,suggested_class,rationale,keep_for_dashboard,review_status,quality_status,reviewer_notes
FRV-DOC-REF-001-001,FIG-DOC-REF-001-001,DOC-REF-001,정책-항목 구성(안),working_note,support,1,pdf_page_image,pymupdf-page-render,low,0,1,Rendered page 1,Rendered page image for OCR/manual review. text_layer=False,work/02_structured-extraction/figures/assets/DOC-REF-001/page_001.png,support_render,ocr/manual review support page render,no,review_required,support_render,
FRV-DOC-REF-001-002,FIG-DOC-REF-001-002,DOC-REF-001,정책-항목 구성(안),working_note,support,2,pdf_page_image,pymupdf-page-render,low,0,1,Rendered page 2,Rendered page image for OCR/manual review. text_layer=False,work/02_structured-extraction/figures/assets/DOC-REF-001/page_002.png,support_render,ocr/manual review support page render,no,review_required,support_render,
FRV-DOC-REF-001-003,FIG-DOC-REF-001-003,DOC-REF-001,정책-항목 구성(안),working_note,support,3,pdf_page_image,pymupdf-page-render,low,0,1,Rendered page 3,Rendered page image for OCR/manual review. text_layer=False,work/02_structured-extraction/figures/assets/DOC-REF-001/page_003.png,support_render,ocr/manual review support page render,no,review_required,support_render,
FRV-DOC-REF-001-004,FIG-DOC-REF-001-004,DOC-REF-001,정책-항목 구성(안),working_note,support,4,pdf_page_image,pymupdf-page-render,low,0,1,Rendered page 4,Rendered page image for OCR/manual review. text_layer=False,work/02_structured-extraction/figures/assets/DOC-REF-001/page_004.png,support_render,ocr/manual review support page render,no,review_required,support_render,
FRV-DOC-REF-001-005,FIG-DOC-REF-001-005,DOC-REF-001,정책-항목 구성(안),working_note,support,5,pdf_page_image,pymupdf-page-render,low,0,1,Rendered page 5,Rendered page image for OCR/manual review. text_layer=False,work/02_structured-extraction/figures/assets/DOC-REF-001/page_005.png,support_render,ocr/manual review support page render,no,review_required,support_render,
FRV-DOC-REF-001-006,FIG-DOC-REF-001-006,DOC-REF-001,정책-항목 구성(안),working_note,support,6,pdf_page_image,pymupdf-page-render,low,0,1,Rendered page 6,Rendered page image for OCR/manual review. text_layer=False,work/02_structured-extraction/figures/assets/DOC-REF-001/page_006.png,support_render,ocr/manual review support page render,no,review_required,support_render,
FRV-DOC-REF-001-007,FIG-DOC-REF-001-007,DOC-REF-001,정책-항목 구성(안),working_note,support,7,pdf_page_image,pymupdf-page-render,low,0,1,Rendered page 7,Rendered page image for OCR/manual review. text_layer=False,work/02_structured-extraction/figures/assets/DOC-REF-001/page_007.png,support_render,ocr/manual review support page render,no,review_required,support_render,
FRV-DOC-REF-001-008,FIG-DOC-REF-001-008,DOC-REF-001,정책-항목 구성(안),working_note,support,8,pdf_page_image,pymupdf-page-render,low,0,1,Rendered page 8,Rendered page image for OCR/manual review. text_layer=False,work/02_structured-extraction/figures/assets/DOC-REF-001/page_008.png,support_render,ocr/manual review support page render,no,review_required,support_render,
FRV-DOC-REF-001-009,FIG-DOC-REF-001-009,DOC-REF-001,정책-항목 구성(안),working_note,support,9,pdf_page_image,pymupdf-page-render,low,0,1,Rendered page 9,Rendered page image for OCR/manual review. text_layer=False,work/02_structured-extraction/figures/assets/DOC-REF-001/page_009.png,support_render,ocr/manual review support page render,no,review_required,support_render,
FRV-DOC-REF-001-010,FIG-DOC-REF-001-010,DOC-REF-001,정책-항목 구성(안),working_note,support,10,pdf_page_image,pymupdf-page-render,low,0,1,Rendered page 10,Rendered page image for OCR/manual review. text_layer=False,work/02_structured-extraction/figures/assets/DOC-REF-001/page_010.png,support_render,ocr/manual review support page render,no,review_required,support_render,
FRV-DOC-REF-001-011,FIG-DOC-REF-001-011,DOC-REF-001,정책-항목 구성(안),working_note,support,11,pdf_page_image,pymupdf-page-render,low,0,1,Rendered page 11,Rendered page image for OCR/manual review. text_layer=False,work/02_structured-extraction/figures/assets/DOC-REF-001/page_011.png,support_render,ocr/manual review support page render,no,review_required,support_render,
FRV-DOC-REF-001-012,FIG-DOC-REF-001-012,DOC-REF-001,정책-항목 구성(안),working_note,support,12,pdf_page_image,pymupdf-page-render,low,0,1,Rendered page 12,Rendered page image for OCR/manual review. text_layer=False,work/02_structured-extraction/figures/assets/DOC-REF-001/page_012.png,support_render,ocr/manual review support page render,no,review_required,support_render,
