paragraph_id,document_id,page_no,page_block_order,block_type,text,source_line_count,merged_block_count,normalization_actions,source_mode
PAR-DOC-CTX-009-00001,DOC-CTX-009,1,1,heading,Ⅰ. 개념,1,1,,bbox_text
PAR-DOC-CTX-009-00002,DOC-CTX-009,1,2,heading,<세부 기술(정책) 분류체계>,1,1,,bbox_text
PAR-DOC-CTX-009-00003,DOC-CTX-009,1,3,paragraph,◈ 스마트 모빌리티 소프트웨어 중심 차량과 ○ 개념SDV(Software-Defined Vehicle)*와 자율주행 기술을 기반으로 AI·센서·통신을 활용해 차량과 교통체계를 지능화하는 모빌리티,5,3,merged_continuation|merged_continuation,bbox_text
PAR-DOC-CTX-009-00004,DOC-CTX-009,1,4,paragraph,"자율주행 기술을 바탕으로 AI와 센서, 네트워크가 유기적으로 결합되어 교통 시스템 자체를",3,3,merged_continuation|merged_continuation,bbox_text
PAR-DOC-CTX-009-00005,DOC-CTX-009,1,5,note,* 기능과 성능을 소프트웨어로 정의·제어하고 업데이트로 지속적으로 고도화되는 자동차 스스로 판단·진화하게 하는 ○중요성교통사고 감소와 이동 효율 향상을 동시에 달성하며 미래 모빌리티 산업 전반의 기술 경쟁력과 부가가치를 좌우하는 핵심 분야,4,3,merged_continuation|merged_continuation,bbox_text
PAR-DOC-CTX-009-00006,DOC-CTX-009,1,6,paragraph,"스마트 모빌리티 ◈ 친환경 모빌리티 전기와 수소 기반의 차세대 파워트레인을 중심으로, 이동의",4,4,merged_continuation|merged_continuation|merged_continuation,bbox_text
PAR-DOC-CTX-009-00007,DOC-CTX-009,1,7,paragraph,○개념전기차·수소차 등 저탄소·무공해 동력원을 적용해 이동 전 과정에서 탄소배출을 획기적으로 줄이는 지속 가능한 이동 기술,2,1,,bbox_text
PAR-DOC-CTX-009-00008,DOC-CTX-009,1,8,paragraph,시작부터 끝까지 환경 부담을 최소화하며 탄소 없는 모빌리티 ○ 중요성탄소중립 목표 달성과 강화되는 글로벌 환경규제에 대응하고 지속가능한 교통·산업 구조 전환을 실현하기 위한 필수 요소,5,3,merged_continuation|merged_continuation,bbox_text
PAR-DOC-CTX-009-00009,DOC-CTX-009,1,9,paragraph,"생태계를 구현하는 기술 첨단 모빌리티 ◈ 모빌리티 인프라 도로와 신호, 충전 인프라부터 V2X 기반 디지털 네트워크까지 ○개념도로·신호·충전시설·V2X* 등 다양한 물리·디지털 요소를 연계해 모빌리티 기술과 서비스가 안정적으로 작동하도록 지원하는 기반 체계",8,7,merged_continuation|merged_continuation|merged_continuation|merged_continuation|merged_continuation|merged_continuation,bbox_text
PAR-DOC-CTX-009-00010,DOC-CTX-009,1,10,paragraph,"하나의 플랫폼으로 통합해, 모빌리티가 스스로 연결되고",2,2,merged_continuation,bbox_text
PAR-DOC-CTX-009-00011,DOC-CTX-009,1,11,note,"* 차량이 다른 차량, 인프라, 보행자 등과 통신해 교통 안전성과 효율성을 높이는 기술 원활히 작동하는 지능형 기반 구조 ○중요성자율주행과 스마트 교통 서비스의 안전한 운영과 대규모 확산을 가능하게 하여 모빌리티 산업 생태계의 성장을 뒷받침 MaaS를 중심으로 여러 이동 ◈ 모빌리티 서비스 수단과 실시간 교통 데이터를 하나로 엮어, 이용자의 상황과",9,8,merged_continuation|merged_continuation|merged_continuation|merged_continuation|merged_continuation|merged_continuation|merged_continuation,bbox_text
PAR-DOC-CTX-009-00012,DOC-CTX-009,1,12,paragraph,○개념MaaS* 등을 통해 다양한 이동수단과 교통 정보를 통합·연계하고 이용자 맞춤형 이동 경험을 제공하는 지능형 서비스,2,1,,bbox_text
PAR-DOC-CTX-009-00013,DOC-CTX-009,1,13,paragraph,목적을 스스로 이해하고 최적의 이동을 설계하는 차세대,2,2,merged_continuation,bbox_text
PAR-DOC-CTX-009-00014,DOC-CTX-009,1,14,note,* 다양한 이동수단을 하나의 플랫폼에서 통합·연결해 이용자 중심 이동 서비스를 제공 모빌리티 서비스 ○중요성이동 편의성과 접근성을 크게 향상시켜 모빌리티 기술의 사회적 수용성과 새로운 서비스 시장 창출을 촉진,4,3,merged_continuation|merged_continuation,bbox_text
PAR-DOC-CTX-009-00015,DOC-CTX-009,1,15,table_markdown,"|중분류|Col2|
|---|---|
|스마트<br>모빌리티||
|친환경<br>모빌리티||
|모빌리티<br>인프라||
|모빌리티<br>서비스||",6,1,,markdown_table
