review_item_id,figure_id,document_id,title,doc_role,include_status,location,figure_type,extraction_method,extraction_confidence,has_source_bbox,generic_caption,caption,summary,asset_path,suggested_class,rationale,keep_for_dashboard,review_status,quality_status,reviewer_notes
FRV-DOC-POL-010-001,FIG-DOC-POL-010-001,DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,section3,image,hwpx-xml-parser,medium,0,0,,,work/02_structured-extraction/figures/assets/DOC-POL-010/image1.bmp,review_required,embedded image requires semantic figure review,no,reviewed,decorative_excluded,문서 공통 태극마크 아이콘으로 정책 의미를 담는 figure가 아니라 제외.
FRV-DOC-POL-010-002,FIG-DOC-POL-010-002,DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,section7,image,hwpx-xml-parser,medium,0,1,"그림입니다.
원본 그림의 이름: 1-1. 국가과학기술연구회 국문(가로형).jpg
원본 그림의 크기: 가로 1379pixel, 세로 388pixel",1-1. 국가과학기술연구회 국문(가로형).jpg,work/02_structured-extraction/figures/assets/DOC-POL-010/image3.jpg,review_required,embedded image requires semantic figure review,no,reviewed,decorative_excluded,출연연 기관 CI/logo로 정책 구조 정보가 없어 제외.
FRV-DOC-POL-010-003,FIG-DOC-POL-010-003,DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,section7,image,hwpx-xml-parser,medium,0,1,"그림입니다.
원본 그림의 이름: 그림14.png
원본 그림의 크기: 가로 4519pixel, 세로 1521pixel",그림14.png,work/02_structured-extraction/figures/assets/DOC-POL-010/image4.png,review_required,embedded image requires semantic figure review,no,reviewed,decorative_excluded,출연연 기관 CI/logo로 정책 구조 정보가 없어 제외.
FRV-DOC-POL-010-004,FIG-DOC-POL-010-004,DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,section7,image,hwpx-xml-parser,medium,0,1,"그림입니다.
원본 그림의 이름: 그림14.png
원본 그림의 크기: 가로 4519pixel, 세로 1521pixel",그림14.png,work/02_structured-extraction/figures/assets/DOC-POL-010/image5.png,review_required,embedded image requires semantic figure review,no,reviewed,decorative_excluded,출연연 기관 CI/logo로 정책 구조 정보가 없어 제외.
FRV-DOC-POL-010-005,FIG-DOC-POL-010-005,DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,section7,image,hwpx-xml-parser,medium,0,1,"그림입니다.
원본 그림의 이름: 그림14.png
원본 그림의 크기: 가로 4519pixel, 세로 1521pixel",그림14.png,work/02_structured-extraction/figures/assets/DOC-POL-010/image6.png,review_required,embedded image requires semantic figure review,no,reviewed,decorative_excluded,출연연 기관 CI/logo로 정책 구조 정보가 없어 제외.
FRV-DOC-POL-010-006,FIG-DOC-POL-010-006,DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,section7,image,hwpx-xml-parser,medium,0,1,"그림입니다.
원본 그림의 이름: 그림14.png
원본 그림의 크기: 가로 4519pixel, 세로 1521pixel",그림14.png,work/02_structured-extraction/figures/assets/DOC-POL-010/image7.png,review_required,embedded image requires semantic figure review,no,reviewed,decorative_excluded,출연연 기관 CI/logo로 정책 구조 정보가 없어 제외.
FRV-DOC-POL-010-007,FIG-DOC-POL-010-007,DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,section7,image,hwpx-xml-parser,medium,0,1,"그림입니다.
원본 그림의 이름: 그림14.png
원본 그림의 크기: 가로 4519pixel, 세로 1521pixel",그림14.png,work/02_structured-extraction/figures/assets/DOC-POL-010/image8.png,review_required,embedded image requires semantic figure review,no,reviewed,decorative_excluded,출연연 기관 CI/logo로 정책 구조 정보가 없어 제외.
FRV-DOC-POL-010-008,FIG-DOC-POL-010-008,DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,section7,image,hwpx-xml-parser,medium,0,1,"그림입니다.
원본 그림의 이름: 그림14.png
원본 그림의 크기: 가로 4519pixel, 세로 1521pixel",그림14.png,work/02_structured-extraction/figures/assets/DOC-POL-010/image9.png,review_required,embedded image requires semantic figure review,no,reviewed,decorative_excluded,출연연 기관 CI/logo로 정책 구조 정보가 없어 제외.
FRV-DOC-POL-010-009,FIG-DOC-POL-010-009,DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,section7,image,hwpx-xml-parser,medium,0,1,"그림입니다.
원본 그림의 이름: 그림14.png
원본 그림의 크기: 가로 4519pixel, 세로 1521pixel",그림14.png,work/02_structured-extraction/figures/assets/DOC-POL-010/image10.png,review_required,embedded image requires semantic figure review,no,reviewed,decorative_excluded,출연연 기관 CI/logo로 정책 구조 정보가 없어 제외.
FRV-DOC-POL-010-010,FIG-DOC-POL-010-010,DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,section7,image,hwpx-xml-parser,medium,0,1,"그림입니다.
원본 그림의 이름: 그림14.png
원본 그림의 크기: 가로 4519pixel, 세로 1521pixel",그림14.png,work/02_structured-extraction/figures/assets/DOC-POL-010/image11.png,review_required,embedded image requires semantic figure review,no,reviewed,decorative_excluded,출연연 기관 CI/logo로 정책 구조 정보가 없어 제외.
FRV-DOC-POL-010-011,FIG-DOC-POL-010-011,DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,section7,image,hwpx-xml-parser,medium,0,1,"그림입니다.
원본 그림의 이름: 그림14.png
원본 그림의 크기: 가로 4519pixel, 세로 1521pixel",그림14.png,work/02_structured-extraction/figures/assets/DOC-POL-010/image12.png,review_required,embedded image requires semantic figure review,no,reviewed,decorative_excluded,출연연 기관 CI/logo로 정책 구조 정보가 없어 제외.
FRV-DOC-POL-010-012,FIG-DOC-POL-010-012,DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,section7,image,hwpx-xml-parser,medium,0,1,"그림입니다.
원본 그림의 이름: 그림14.png
원본 그림의 크기: 가로 4519pixel, 세로 1521pixel",그림14.png,work/02_structured-extraction/figures/assets/DOC-POL-010/image13.png,review_required,embedded image requires semantic figure review,no,reviewed,decorative_excluded,출연연 기관 CI/logo로 정책 구조 정보가 없어 제외.
