seed_rank,tech_domain_id,tech_domain_label,policy_id,policy_name,source_group_id,proposed_group_id,source_policy_item_id,primary_strategy_id,primary_strategy_label,primary_document_id,primary_location_value,recommendation_reason
1,TD-002,에너지,POL-012,초혁신경제 15대 프로젝트 추진계획,PIG-PROV-ITM-POL-012-RV-00001,PIG-SEED-TD-002-01,ITM-POL-012-RV-00001,STR-007,양자 정보통신 및 미래소재 선점,DOC-POL-006,4,domain has no curated seed yet; promote one representative provisional group first
2,TD-003,이차전지,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00012,PIG-SEED-TD-003-02,ITM-POL-001-00012,STR-002,초격차 전략기술 확보 (반도체·이차전지),DOC-POL-001,91,domain has no curated seed yet; promote one representative provisional group first
3,TD-004,국방,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00157,PIG-SEED-TD-004-03,ITM-POL-001-00157,STR-001,AI G3 도약 및 전 산업 AX 확산,DOC-POL-001,175,domain has no curated seed yet; promote one representative provisional group first
4,TD-005,소재,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00386,PIG-SEED-TD-005-04,ITM-POL-001-00386,STR-006,탄소중립 및 에너지 안보 (수소·SMR),DOC-POL-001,62,domain has no curated seed yet; promote one representative provisional group first
5,TD-006,사이버보안,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00259,PIG-SEED-TD-006-05,ITM-POL-001-00259,STR-001,AI G3 도약 및 전 산업 AX 확산,DOC-POL-001,50,domain has no curated seed yet; promote one representative provisional group first
6,TD-007,차세대통신,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00614,PIG-SEED-TD-007-06,ITM-POL-001-00614,STR-004,차세대 네트워크(6G) 및 지능형 인프라,DOC-POL-001,47,domain has no curated seed yet; promote one representative provisional group first
7,TD-008,첨단로봇제조,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00106,PIG-SEED-TD-008-07,ITM-POL-001-00106,STR-001,AI G3 도약 및 전 산업 AX 확산,DOC-POL-001,65,domain has no curated seed yet; promote one representative provisional group first
8,TD-010,양자,POL-002,AI-바이오 국가전략,PIG-PROV-ITM-POL-002-01155,PIG-SEED-TD-010-08,ITM-POL-002-01155,STR-003,바이오·헬스 글로벌 중심국가 도약,DOC-POL-002,section7,domain has no curated seed yet; promote one representative provisional group first
9,TD-012,우주항공,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00599,PIG-SEED-TD-012-09,ITM-POL-001-00599,STR-008,피지컬 AI 및 지능형 로봇 산업 육성,DOC-POL-001,179,domain has no curated seed yet; promote one representative provisional group first
10,TD-013,해양,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00351,PIG-SEED-TD-013-10,ITM-POL-001-00351,STR-006,탄소중립 및 에너지 안보 (수소·SMR),DOC-POL-001,74,domain has no curated seed yet; promote one representative provisional group first
11,TD-014,첨단모빌리티,POL-001,123대 국정과제,PIG-PROV-ITM-POL-001-00503,PIG-SEED-TD-014-11,ITM-POL-001-00503,STR-009,미래 모빌리티(자율주행·UAM),DOC-POL-001,63,domain has no curated seed yet; promote one representative provisional group first
