merge_candidate_id,document_id,page_no,review_priority,suggested_reviewer_action,review_status,reviewer_decision,reviewer_role_override,reviewer_resource_type_override,reviewer_strategy_override,reviewer_tech_domain_override,reviewer_tech_subdomain_override,merge_into_candidate_id,split_required,final_item_label,final_item_statement,reviewer_notes,candidate_role_draft,candidate_role_notes,bucket_resource_type_guess,primary_strategy_candidates,tech_domain_candidates,tech_subdomain_candidates,merge_confidence,item_label_draft,item_statement_draft,primary_seed_id,member_seed_ids,supporting_review_seed_ids,member_count,supporting_review_count,primary_text
PMD-DOC-POL-010-0001,DOC-POL-010,section2,medium,keep_or_merge,reviewed,attach_as_background,,,,,,,,,,starter attach reform overview,policy_action,,,,,,medium,과학기술분야 정부출연연구기관이 임무·성과중심 국가거점으로 재도약하기 위해 임무수행체계,"ㅇ 과학기술분야 정부출연연구기관이 임무·성과중심 국가거점으로 재도약하기 위해 임무수행체계, 평가·보상체계, 연구환경 혁신 추진",CLS-SEED-DOC-POL-010-00004,CLS-SEED-DOC-POL-010-00004,CLS-SEED-DOC-POL-010-00005,1,1,"ㅇ 과학기술분야 정부출연연구기관이 임무·성과중심 국가거점으로 재도약하기 위해 임무수행체계, 평가·보상체계, 연구환경 혁신 추진"
PMD-DOC-POL-010-0002,DOC-POL-010,section2,high,attach_as_background,reviewed,attach_as_background,,,,,,,,,,starter attach external environment context,background_context,detected_background_keyword,technology,,,,medium,AI로 촉발된 R&D 패러다임 전환,"ㅇ AI로 촉발된 R&D 패러다임 전환, 첨단기술 확보경쟁 등 급변하는 대외환경 속, 출연(연)은 국가R&D 중심축으로서 혁신과 변화를 선도하는 핵심 주체로서의 역할 요구",CLS-SEED-DOC-POL-010-00008,CLS-SEED-DOC-POL-010-00008,,1,0,"ㅇ AI로 촉발된 R&D 패러다임 전환, 첨단기술 확보경쟁 등 급변하는 대외환경 속, 출연(연)은 국가R&D 중심축으로서 혁신과 변화를 선도하는 핵심 주체로서의 역할 요구"
PMD-DOC-POL-010-0003,DOC-POL-010,section2,high,attach_as_background,reviewed,attach_as_background,,,,,,,,,,starter attach PBS problem context,background_context,detected_background_keyword,infrastructure_policy,,,,medium,임무수행,"ㅇ (임무수행) PBS(Project-Based System)*가 소액·다수 수탁과제와 맞물리며 고유임무·역할 상실, 집단·협력연구 저하, 연구몰입 저해 등 부작용 심화",CLS-SEED-DOC-POL-010-00010,CLS-SEED-DOC-POL-010-00010,CLS-SEED-DOC-POL-010-00011 | CLS-SEED-DOC-POL-010-00013,1,2,"ㅇ (임무수행) PBS(Project-Based System)*가 소액·다수 수탁과제와 맞물리며 고유임무·역할 상실, 집단·협력연구 저하, 연구몰입 저해 등 부작용 심화"
PMD-DOC-POL-010-0004,DOC-POL-010,section2,high,recast_or_attach_background,reviewed,attach_as_background,,,,,,,,,,starter attach research environment problem context,problem_or_requirement,detected_problem_keyword,talent,,,,medium,연구환경,"ㅇ (연구환경) 연구지원인력 규모 미흡* 및 기관별 역량 상이, 연구회 기능 미비 등으로 연구자의 행정부담 가중",CLS-SEED-DOC-POL-010-00014,CLS-SEED-DOC-POL-010-00014,CLS-SEED-DOC-POL-010-00015,1,1,"ㅇ (연구환경) 연구지원인력 규모 미흡* 및 기관별 역량 상이, 연구회 기능 미비 등으로 연구자의 행정부담 가중"
PMD-DOC-POL-010-0005,DOC-POL-010,section2,medium,keep_or_merge,reviewed,attach_as_background,,,,,,,,,,starter attach mission summary,policy_action,,talent,STR-002,,,medium,출연(연) 본연의 기능과 역할을 바탕으로 전략기술 확보*,"- 출연(연) 본연의 기능과 역할을 바탕으로 전략기술 확보*, 난제 해결**, 정책지원·인력양성, 기업·지역역량 제고 등 국가적 임무 수행",CLS-SEED-DOC-POL-010-00018,CLS-SEED-DOC-POL-010-00018,CLS-SEED-DOC-POL-010-00019 | CLS-SEED-DOC-POL-010-00020,1,2,"- 출연(연) 본연의 기능과 역할을 바탕으로 전략기술 확보*, 난제 해결**, 정책지원·인력양성, 기업·지역역량 제고 등 국가적 임무 수행"
PMD-DOC-POL-010-0006,DOC-POL-010,section2,medium,keep_or_merge,reviewed,attach_as_background,,,,,,,,,,starter attach PBS reform summary,policy_action,,infrastructure_policy,,,,medium,기관출연금으로 인건비 전액 지원(PBS 단계적 폐지),"- 기관출연금으로 인건비 전액 지원(PBS 단계적 폐지), 기관출연금을 기본연구사업(기관자체수요)과 전략연구사업(정부·기업수요)*으로 유형화",CLS-SEED-DOC-POL-010-00021,CLS-SEED-DOC-POL-010-00021,CLS-SEED-DOC-POL-010-00022 | CLS-SEED-DOC-POL-010-00025 | CLS-SEED-DOC-POL-010-00027,1,3,"- 기관출연금으로 인건비 전액 지원(PBS 단계적 폐지), 기관출연금을 기본연구사업(기관자체수요)과 전략연구사업(정부·기업수요)*으로 유형화"
PMD-DOC-POL-010-0007,DOC-POL-010,section2,medium,keep_or_merge,reviewed,attach_as_background,,,,,,,,,,starter attach treatment summary,policy_action,,talent,,,,medium,처우개선,"- 처우개선, 특별채용 확대 등 우수인재 유치·확보 지속 추진",CLS-SEED-DOC-POL-010-00028,CLS-SEED-DOC-POL-010-00028,,1,0,"- 처우개선, 특별채용 확대 등 우수인재 유치·확보 지속 추진"
PMD-DOC-POL-010-0008,DOC-POL-010,section2,high,drop_or_attach_background,reviewed,drop,,,,,,,,,,starter drop section header,meta_program_frame,detected_short_meta_bullet,,,,,medium,전략3,ㅇ (전략3) 연구몰입을 지원하는 연구환경 조성,CLS-SEED-DOC-POL-010-00029,CLS-SEED-DOC-POL-010-00029,,1,0,ㅇ (전략3) 연구몰입을 지원하는 연구환경 조성
PMD-DOC-POL-010-0009,DOC-POL-010,section2,medium,keep_or_merge,reviewed,attach_as_background,,,,,,,,,,starter attach research admin summary,policy_action,,infrastructure_policy,,,,medium,연구행정 전문화,"- 연구행정 전문화, 전산인프라 통합 운영 추진",CLS-SEED-DOC-POL-010-00030,CLS-SEED-DOC-POL-010-00030,,1,0,"- 연구행정 전문화, 전산인프라 통합 운영 추진"
PMD-DOC-POL-010-0010,DOC-POL-010,section2,medium,keep_or_merge,reviewed,attach_as_background,,,,,,,,,,starter attach legal reform summary,policy_action,,,,,,medium,과기출연기관법 전부개정,"- 과기출연기관법 전부개정, 연구회 기능 정비 등 지원기반 내실화",CLS-SEED-DOC-POL-010-00031,CLS-SEED-DOC-POL-010-00031,,1,0,"- 과기출연기관법 전부개정, 연구회 기능 정비 등 지원기반 내실화"
PMD-DOC-POL-010-0011,DOC-POL-010,section2,medium,keep_or_merge,reviewed,attach_as_background,,,,,,,,,,starter attach outcome goal,policy_action,,,,,,medium,중장기·임무중심형 연구시스템 구축으로 국민체감 대형성과 창출,ㅇ 중장기·임무중심형 연구시스템 구축으로 국민체감 대형성과 창출,CLS-SEED-DOC-POL-010-00034,CLS-SEED-DOC-POL-010-00034,,1,0,ㅇ 중장기·임무중심형 연구시스템 구축으로 국민체감 대형성과 창출
PMD-DOC-POL-010-0012,DOC-POL-010,section2,medium,keep_or_merge,reviewed,attach_as_background,,,,,,,,,,starter attach talent outcome goal,policy_action,,,,,,medium,대학·기업과 차별화되는 연구환경 조성으로 우수연구자 확보,ㅇ 대학·기업과 차별화되는 연구환경 조성으로 우수연구자 확보,CLS-SEED-DOC-POL-010-00035,CLS-SEED-DOC-POL-010-00035,,1,0,ㅇ 대학·기업과 차별화되는 연구환경 조성으로 우수연구자 확보
PMD-DOC-POL-010-0013,DOC-POL-010,section2,medium,keep_or_merge,review_required,,,,,,,,,,,,policy_action,,infrastructure_policy,,,,medium,연도별 예산반영,"ㅇ 연도별 예산반영, 법령 및 규정 개정 등 차질없이 수행(’26년~)",CLS-SEED-DOC-POL-010-00037,CLS-SEED-DOC-POL-010-00037,,1,0,"ㅇ 연도별 예산반영, 법령 및 규정 개정 등 차질없이 수행(’26년~)"
PMD-DOC-POL-010-0014,DOC-POL-010,section7,low,keep_or_merge,review_required,,,,,,,,,,,,policy_action,,,,TD-001,,medium,기술,"ㅇ (기술) 인공지능 기술의 발전이 경제·사회 전 영역의 패러다임 전환 촉진, 과학기술 분야에도 접목되어 R&D 패러다임 전환이 본격화",CLS-SEED-DOC-POL-010-00038,CLS-SEED-DOC-POL-010-00038,,1,0,"ㅇ (기술) 인공지능 기술의 발전이 경제·사회 전 영역의 패러다임 전환 촉진, 과학기술 분야에도 접목되어 R&D 패러다임 전환이 본격화"
PMD-DOC-POL-010-0015,DOC-POL-010,section7,medium,keep_or_merge,review_required,,,,,,,,,,,,policy_action,,technology,,,,medium,경제,ㅇ (경제) 첨단기술이 국가 전략자산으로 기능하면서 기술 개발이 지체된 국가는 R&D 협력뿐만 아니라 안보 및 외교·통상에서도 소외,CLS-SEED-DOC-POL-010-00039,CLS-SEED-DOC-POL-010-00039,,1,0,ㅇ (경제) 첨단기술이 국가 전략자산으로 기능하면서 기술 개발이 지체된 국가는 R&D 협력뿐만 아니라 안보 및 외교·통상에서도 소외
PMD-DOC-POL-010-0016,DOC-POL-010,section7,high,attach_as_background,review_required,,,,,,,,,,,,background_context,detected_background_keyword,,,,,medium,대학·기업의 연구역량 성장과 대비되면서 출연(연)이 과거와 같은 대형 성과를 충분히 창출하지 못하고 있...,- 대학·기업의 연구역량 성장과 대비되면서 출연(연)이 과거와 같은 대형 성과를 충분히 창출하지 못하고 있다는 인식에 직면,CLS-SEED-DOC-POL-010-00042,CLS-SEED-DOC-POL-010-00042,,1,0,- 대학·기업의 연구역량 성장과 대비되면서 출연(연)이 과거와 같은 대형 성과를 충분히 창출하지 못하고 있다는 인식에 직면
PMD-DOC-POL-010-0017,DOC-POL-010,section7,medium,keep_or_merge,review_required,,,,,,,,,,,,policy_action,,infrastructure_policy,,,,medium,연구과제중심제도(PBS)가 도입된 ’96년 이후 30년간 우리 경제는 5배,"ㅇ 연구과제중심제도(PBS)가 도입된 ’96년 이후 30년간 우리 경제는 5배, R&D 규모는 10배 이상 성장하여 추격국에서 선도국으로 도약",CLS-SEED-DOC-POL-010-00044,CLS-SEED-DOC-POL-010-00044,,1,0,"ㅇ 연구과제중심제도(PBS)가 도입된 ’96년 이후 30년간 우리 경제는 5배, R&D 규모는 10배 이상 성장하여 추격국에서 선도국으로 도약"
PMD-DOC-POL-010-0018,DOC-POL-010,section7,medium,keep_or_merge,review_required,,,,,,,,,,,,policy_action,,,,,,medium,`66년 KIST 설립 이후,"ㅇ `66년 KIST 설립 이후, 출연연은 국가 R&D의 중심축으로서 우수한 연구진이 주축이 되어 국민체감 대형성과 창출",CLS-SEED-DOC-POL-010-00046,CLS-SEED-DOC-POL-010-00046,,1,0,"ㅇ `66년 KIST 설립 이후, 출연연은 국가 R&D의 중심축으로서 우수한 연구진이 주축이 되어 국민체감 대형성과 창출"
PMD-DOC-POL-010-0019,DOC-POL-010,section7,high,attach_as_background,review_required,,,,,,,,,,,,background_context,detected_background_keyword,,,,,medium,출연연이 기술분야별 주요 성과는 지속적으로 창출하고 있으나,"ㅇ 출연연이 기술분야별 주요 성과는 지속적으로 창출하고 있으나, 국민이 체감하는 대형성과는 저조하다는 지적",CLS-SEED-DOC-POL-010-00048,CLS-SEED-DOC-POL-010-00048,,1,0,"ㅇ 출연연이 기술분야별 주요 성과는 지속적으로 창출하고 있으나, 국민이 체감하는 대형성과는 저조하다는 지적"
PMD-DOC-POL-010-0020,DOC-POL-010,section7,high,attach_as_background,review_required,,,,,,,,,,,,background_context,detected_background_keyword,talent,,,,medium,매년 출연연을 떠나는 인재(연구직·행정직 등)가 증가하는 추세이며,"ㅇ 매년 출연연을 떠나는 인재(연구직·행정직 등)가 증가하는 추세이며, 그 중 70~80%가 20·30대의 젊은 인재",CLS-SEED-DOC-POL-010-00049,CLS-SEED-DOC-POL-010-00049,,1,0,"ㅇ 매년 출연연을 떠나는 인재(연구직·행정직 등)가 증가하는 추세이며, 그 중 70~80%가 20·30대의 젊은 인재"
PMD-DOC-POL-010-0021,DOC-POL-010,section7,high,recast_or_attach_background,review_required,,,,,,,,,,,,problem_or_requirement,detected_problem_keyword,infrastructure_policy,,,,medium,PBS 부작용 심화,ㅇ (PBS 부작용 심화) PBS(Project-Based System)는 인건비·연구비 등 재정지원을 기관 단위가 아닌 과제 단위의 경쟁체제로 운영·관리하는 제도로,CLS-SEED-DOC-POL-010-00050,CLS-SEED-DOC-POL-010-00050,,1,0,ㅇ (PBS 부작용 심화) PBS(Project-Based System)는 인건비·연구비 등 재정지원을 기관 단위가 아닌 과제 단위의 경쟁체제로 운영·관리하는 제도로
PMD-DOC-POL-010-0022,DOC-POL-010,section7,medium,keep_or_merge,review_required,,,,,,,,,,,,policy_action,,,,,,medium,연구비 투명성 강화,"- 연구비 투명성 강화, 정적인 연구환경 탈피, 연구책임자 중심 운영 강화를 통해 출연(연)의 경쟁력을 높이는 취지로 도입되었으나,",CLS-SEED-DOC-POL-010-00051,CLS-SEED-DOC-POL-010-00051,,1,0,"- 연구비 투명성 강화, 정적인 연구환경 탈피, 연구책임자 중심 운영 강화를 통해 출연(연)의 경쟁력을 높이는 취지로 도입되었으나,"
PMD-DOC-POL-010-0023,DOC-POL-010,section7,high,recast_or_attach_background,review_required,,,,,,,,,,,,problem_or_requirement,detected_problem_keyword,infrastructure_policy,,,,medium,수탁과제는 소액·다수*로 파편화되고 기관고유사업 또한 안정적으로 운영되는데 한계**가 있어 다음과 같이...,- 수탁과제는 소액·다수*로 파편화되고 기관고유사업 또한 안정적으로 운영되는데 한계**가 있어 다음과 같이 PBS 제도의 부작용 심화,CLS-SEED-DOC-POL-010-00052,CLS-SEED-DOC-POL-010-00052,CLS-SEED-DOC-POL-010-00053 | CLS-SEED-DOC-POL-010-00054,1,2,- 수탁과제는 소액·다수*로 파편화되고 기관고유사업 또한 안정적으로 운영되는데 한계**가 있어 다음과 같이 PBS 제도의 부작용 심화
PMD-DOC-POL-010-0024,DOC-POL-010,section7,high,recast_or_attach_background,review_required,,,,,,,,,,,,problem_or_requirement,detected_problem_keyword,,,,,medium,또한 각 부처는 제각기 법령과 수탁과제를 통해 출연(연)에 임무를 부여*하나 체계적 관리 및 중장기적...,- 또한 각 부처는 제각기 법령과 수탁과제를 통해 출연(연)에 임무를 부여*하나 체계적 관리 및 중장기적 재정 지원** 미흡,CLS-SEED-DOC-POL-010-00056,CLS-SEED-DOC-POL-010-00056,CLS-SEED-DOC-POL-010-00057 | CLS-SEED-DOC-POL-010-00058,1,2,- 또한 각 부처는 제각기 법령과 수탁과제를 통해 출연(연)에 임무를 부여*하나 체계적 관리 및 중장기적 재정 지원** 미흡
PMD-DOC-POL-010-0025,DOC-POL-010,section7,medium,keep_or_merge,review_required,,,,,,,,,,,,policy_action,,talent,,,,medium,처우격차 심화,ㅇ (처우격차 심화) 공공기관 수준으로 인건비 상승률이 정체되어 민간과의 보수급여* 격차 심화 → 인력 유출 심화 및 유인 저하,CLS-SEED-DOC-POL-010-00062,CLS-SEED-DOC-POL-010-00062,CLS-SEED-DOC-POL-010-00063,1,1,ㅇ (처우격차 심화) 공공기관 수준으로 인건비 상승률이 정체되어 민간과의 보수급여* 격차 심화 → 인력 유출 심화 및 유인 저하
PMD-DOC-POL-010-0026,DOC-POL-010,section7,high,recast_or_attach_background,review_required,,,,,,,,,,,,problem_or_requirement,detected_problem_keyword,technology,,,,medium,성과-보상 불일치,"ㅇ (성과-보상 불일치) 주요 개인 인센티브(연구수당, 연구개발능률성과급)가 성과가 아닌 수탁규모에 연동 → 연구의욕 고취 미흡 및 수탁의존 심화",CLS-SEED-DOC-POL-010-00064,CLS-SEED-DOC-POL-010-00064,,1,0,"ㅇ (성과-보상 불일치) 주요 개인 인센티브(연구수당, 연구개발능률성과급)가 성과가 아닌 수탁규모에 연동 → 연구의욕 고취 미흡 및 수탁의존 심화"
PMD-DOC-POL-010-0027,DOC-POL-010,section7,medium,keep_or_merge,review_required,,,,,,,,,,,,policy_action,,,,,,medium,기관평가에 따른 보상 또한 기관장만 대상*으로 하고 있어 개인의 성과창출 동기 결여 및 평가에 대한 무...,- 기관평가에 따른 보상 또한 기관장만 대상*으로 하고 있어 개인의 성과창출 동기 결여 및 평가에 대한 무관심 유발,CLS-SEED-DOC-POL-010-00066,CLS-SEED-DOC-POL-010-00066,CLS-SEED-DOC-POL-010-00067,1,1,- 기관평가에 따른 보상 또한 기관장만 대상*으로 하고 있어 개인의 성과창출 동기 결여 및 평가에 대한 무관심 유발
