review_item_id,document_id,source_format,page_no,candidate_source,candidate_id,rows,cols,preview_text,suggested_class,heuristic_reason,keep_for_dashboard,merge_group_hint,canonical_table_id,review_status,reviewer_notes,treat_as_char,text_wrap
TRV-DOC-BMK-006-MD-001,DOC-BMK-006,pdf,30,pymupdf4llm_markdown,PAR-DOC-BMK-006-00091,4,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,structured_table,markdown_table_detected,yes,PAGE-30,,review_required,,,
TRV-DOC-BMK-006-MD-002,DOC-BMK-006,pdf,31,pymupdf4llm_markdown,PAR-DOC-BMK-006-00094,3,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,structured_table,markdown_table_detected,yes,PAGE-31,,review_required,,,
TRV-DOC-BMK-006-MD-003,DOC-BMK-006,pdf,32,pymupdf4llm_markdown,PAR-DOC-BMK-006-00096,3,3,|〇教育、医療、防災等の分野において、<br>官民が一体となって活用でき、民間サ<br>ービス創出の促進に資するデータプ<br>ラットフォームを、データ戦略のタイ<br>ムラインに従い、2025 年までに構築<br>し、運用を開始するとともに、その際、<br>データプラットフォームの整備及び<br>利活用状況について測定可能な指標<br>が策定・運用されている状態となるこ<br>とを目指す。【ＩＴ、科技、防災、文、<br>厚、国、関係府省】|・令和４年３月に公表した「プラットフ<br>ォームにおけるデータ取扱いルール<br>の実装ガイダンスver1.0」を一部にお<br>いて参照するよう周知を実施。|・引き続きデータ連携基盤における適<br>切なルール実装を推進。【デジ、科技、<br>防災、文、厚、国、関係府省】|,structured_table,markdown_table_detected,yes,PAGE-32,,review_required,,,
TRV-DOC-BMK-006-MD-004,DOC-BMK-006,pdf,33,pymupdf4llm_markdown,PAR-DOC-BMK-006-00101,4,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,structured_table,markdown_table_detected,yes,PAGE-33,,review_required,,,
TRV-DOC-BMK-006-MD-005,DOC-BMK-006,pdf,33,pymupdf4llm_markdown,PAR-DOC-BMK-006-00102,2,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,review_required,needs_manual_review,review,PAGE-33,,review_required,,,
TRV-DOC-BMK-006-MD-006,DOC-BMK-006,pdf,35,pymupdf4llm_markdown,PAR-DOC-BMK-006-00117,3,3,|Col1|Col2|定するとともに、省庁間の強固な連携<br>体制を構築しながら、挑戦的な研究テ<br>ーマへのより一層の支援を行う。<br>【文】|,structured_table,markdown_table_detected,yes,PAGE-35,,review_required,,,
TRV-DOC-BMK-006-MD-007,DOC-BMK-006,pdf,36,pymupdf4llm_markdown,PAR-DOC-BMK-006-00126,2,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,review_required,needs_manual_review,review,PAGE-36,,review_required,,,
TRV-DOC-BMK-006-MD-008,DOC-BMK-006,pdf,37,pymupdf4llm_markdown,PAR-DOC-BMK-006-00132,4,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,structured_table,markdown_table_detected,yes,PAGE-37,,review_required,,,
TRV-DOC-BMK-006-MD-009,DOC-BMK-006,pdf,38,pymupdf4llm_markdown,PAR-DOC-BMK-006-00136,2,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,review_required,needs_manual_review,review,PAGE-38,,review_required,,,
TRV-DOC-BMK-006-MD-010,DOC-BMK-006,pdf,41,pymupdf4llm_markdown,PAR-DOC-BMK-006-00150,2,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,review_required,needs_manual_review,review,PAGE-41,,review_required,,,
