policy_item_group_id,policy_bucket_id,group_label,group_summary,group_description,group_status,source_basis_type,display_order,notes
PIG-POL-002-01,PBK-POL-002-01,국가 AI 바이오 연구소 및 파운데이션 모델,국가 연구거점을 중심으로 바이오 파운데이션 모델을 구축·개방하는 대표 묶음,국가 AI 바이오 연구소 설립과 범용 바이오 파운데이션 모델 구축을 하나의 대표 항목으로 묶은 샘플 큐레이션이다.,sample_curated,manual_sample,1,sample_pack_2026-03-14
PIG-POL-002-02,PBK-POL-002-02,바이오 데이터 플랫폼 및 개방체계,K-BDS 중심 통합플랫폼과 데이터 개방·표준화·품질관리를 함께 보여주는 대표 묶음,"데이터 수집·연계, 개방, 표준화, 품질 고도화를 하나의 운영 체계로 묶은 샘플 큐레이션이다.",sample_curated,manual_sample,1,sample_pack_2026-03-14
PIG-POL-002-03,PBK-POL-002-02,AI 바이오 법제·규제 개선,데이터 활용 법체계와 규제특례를 함께 정리한 대표 묶음,데이터 활용 편의를 높이는 법제도와 안전한 활용 특례를 함께 묶은 샘플 큐레이션이다.,sample_curated,manual_sample,2,sample_pack_2026-03-14
PIG-POL-002-04,PBK-POL-002-03,AI-바이오 융합 인재양성 트랙,융합 교육 부족 문제와 전문 교육트랙 개설을 함께 보여주는 인재 샘플,AI와 바이오를 함께 이해하는 인재 양성을 위한 교육트랙 구성 예시다.,sample_curated,manual_sample,1,sample_pack_2026-03-14
PIG-POL-011-01,PBK-POL-011-01,AX 기획 컨설팅 및 가이드라인,부처 AX기획 초기 단계의 컨설팅과 가이드라인 제공을 묶은 대표 샘플,"AX자문단, AX가이드라인, AX사전 컨설팅을 하나의 기획 지원 패키지로 묶은 샘플 큐레이션이다.",sample_curated,manual_sample,1,sample_pack_2026-03-14
PIG-POL-011-02,PBK-POL-011-01,공공 AX 실행 인프라 지원,"GPU, 데이터, 공통기반, 검증을 묶은 실행 지원 패키지",공공 AX 본사업에 필요한 자원 지원과 검증 체계를 대표 내용으로 묶은 샘플 큐레이션이다.,sample_curated,manual_sample,2,sample_pack_2026-03-14
PIG-POL-011-03,PBK-POL-011-02,AX 원스톱 운영체계 및 국가 AX지도,운영 거버넌스와 국가 AX 현황 가시화를 함께 보여주는 인프라·제도 샘플,AX 원스톱 지원센터 운영과 국가 AX지도 구축을 하나의 운영체계로 묶은 샘플 큐레이션이다.,sample_curated,manual_sample,1,sample_pack_2026-03-14
PIG-POL-005-01,PBK-POL-005-01,K-NPU 성능 고도화 및 실증,독자 AI모델 연계 성능 고도화와 테스트베드·검증·사업화를 묶은 대표 샘플,AI반도체 전략에서 핵심 기술 고도화와 실증·사업화를 함께 묶은 샘플 큐레이션이다.,sample_curated,manual_sample,1,sample_pack_2026-03-14
PIG-POL-005-02,PBK-POL-005-02,AI반도체 금융·세제 지원,정책금융과 세제 인센티브를 함께 보여주는 인프라·제도 샘플,"초기 투자비용 지원, 직간접 투자, 대규모 투융자, 세액 공제를 한데 묶은 샘플 큐레이션이다.",sample_curated,manual_sample,1,sample_pack_2026-03-14
PIG-POL-005-03,PBK-POL-005-03,AI반도체 인재양성 체계,글로벌·고급 인재와 현장형 실무인재 양성을 함께 보여주는 인재 샘플,AI반도체 고급 인재와 실무형 인재 양성을 하나의 대표 항목으로 묶은 샘플 큐레이션이다.,sample_curated,manual_sample,1,sample_pack_2026-03-14
