paragraph_id,document_id,page_no,page_block_order,block_type,text,source_line_count,merged_block_count,normalization_actions,source_mode
PAR-DOC-POL-006-DOCX-00001,DOC-POL-006-DOCX,section0,1,paragraph,산업경쟁력강화 관계장관회의 겸 성장전략 TF25-13-2(공개),1,1,,docx
PAR-DOC-POL-006-DOCX-00002,DOC-POL-006-DOCX,section0,2,paragraph,초혁신경제 15대 선도프로젝트 추진계획(Ⅳ),1,1,,docx
PAR-DOC-POL-006-DOCX-00003,DOC-POL-006-DOCX,section0,3,heading,2025. 12. 16.,1,1,,docx
PAR-DOC-POL-006-DOCX-00004,DOC-POL-006-DOCX,section0,4,paragraph,관 계 부 처 합 동,1,1,,docx
PAR-DOC-POL-006-DOCX-00005,DOC-POL-006-DOCX,section1,1,paragraph,초혁신경제 15대 선도 프로젝트 추진계획 (Ⅳ) (요약),1,1,,docx
PAR-DOC-POL-006-DOCX-00006,DOC-POL-006-DOCX,section1,2,paragraph,Ⅰ추진배경,1,1,,docx
PAR-DOC-POL-006-DOCX-00007,DOC-POL-006-DOCX,section1,3,paragraph,"인구구조 변화, 투자위축, 생산성 정체로 잠재성장률의 지속적 하락 전망 속에 성장동력이 둔화, 초혁신경제로의 전환이 시급",1,1,,docx
PAR-DOC-POL-006-DOCX-00008,DOC-POL-006-DOCX,section1,4,paragraph,"경제안보, 에너지 전환, 식량위기 대응을 위한 선제적 지원과 기술개발·산업 고도화로 글로벌 시장 주도권 확보 필요",1,1,,docx
PAR-DOC-POL-006-DOCX-00009,DOC-POL-006-DOCX,section1,5,paragraph,"｢｣ 새정부 경제성장전략(8.22) 에 따른 초혁신경제 15대 프로젝트 추진계획 발표 Ⅰ*(9.10), Ⅱ**(10.20), Ⅲ***(11.26)에 이어 네 번째 추진계획을 마련·발표",1,1,,docx
PAR-DOC-POL-006-DOCX-00010,DOC-POL-006-DOCX,section1,6,paragraph,"(9.10) SiC전력반도체, LNG화물창, 그래핀, 특수탄소강, K-식품",1,1,,docx
PAR-DOC-POL-006-DOCX-00011,DOC-POL-006-DOCX,section1,7,note,"** (10.20) 스마트농․수산업, 초고해상도 위성개발·활용, AI바이오 오픈생태계 구축, K-뷰티",1,1,,docx
PAR-DOC-POL-006-DOCX-00012,DOC-POL-006-DOCX,section1,8,note,"※ 업계 및 전문가 의견을 반영하여 “SiC전력반도체”를 GaN전력반도체도 포함하는 “차세대 전력반도체” 프로젝트로 변경․추진*** (11.26) 차세대 태양광․전력망, 해상풍력․HVDC, 그린수소․SMR",1,1,,docx
PAR-DOC-POL-006-DOCX-00013,DOC-POL-006-DOCX,section1,9,heading,"1. 추진방향Ⅱ추진방향, 선정절차 및 선정기준",1,1,,docx
PAR-DOC-POL-006-DOCX-00014,DOC-POL-006-DOCX,section1,10,paragraph,"(초혁신경제) 추격형 경제의 한계를 극복하고 선도형 경제로 나아가기 위해 초혁신기술 개발, 미래대응, 글로벌 시장 진출에 집중 투자",1,1,,docx
PAR-DOC-POL-006-DOCX-00015,DOC-POL-006-DOCX,section1,11,paragraph,(구체적인 프로젝트) 구체적인 프로젝트(Kingpin)에 대해 재정·세제·금융· 규제개선 등 국가 역량을 총동원한 집중지원으로 가시적 성과 창출,1,1,,docx
PAR-DOC-POL-006-DOCX-00016,DOC-POL-006-DOCX,section1,12,note,※ 지역전략산업과도 연계하여 지역균형성장 및 지역혁신 촉진,1,1,,docx
PAR-DOC-POL-006-DOCX-00017,DOC-POL-006-DOCX,section1,13,paragraph,"(추진단 구성) 기업을 중심으로 한 민관합동 추진단을 프로젝트별로 구성하고, 정부는 민간을 적극 지원․뒷받침",1,1,,docx
PAR-DOC-POL-006-DOCX-00018,DOC-POL-006-DOCX,section1,14,heading,2. 선정절차 및 선정기준,1,1,,docx
PAR-DOC-POL-006-DOCX-00019,DOC-POL-006-DOCX,section1,15,paragraph,"(선정절차) 국정과제와의 연계성*, 관계부처** 및 지자체 의견, 현장방문 및 민관협의체, 전문가 의견 등을 통해 선정",1,1,,docx
PAR-DOC-POL-006-DOCX-00020,DOC-POL-006-DOCX,section1,16,bullet,"➊세계 선도 전략기술 육성, ➋신성장 동력 발굴․육성, ➌의료AI․제약․바이오헬스 강국 실현 등",1,1,,docx
PAR-DOC-POL-006-DOCX-00021,DOC-POL-006-DOCX,section1,17,note,"** 성장전략TF 1차 회의(’25.8.5), 경제관계장관회의(’25.8.7) 등 논의, 관계부처 간담회 등",1,1,,docx
PAR-DOC-POL-006-DOCX-00022,DOC-POL-006-DOCX,section1,18,bullet,- 1 -,1,1,,docx
PAR-DOC-POL-006-DOCX-00023,DOC-POL-006-DOCX,section2,1,paragraph,"(선정기준) 경쟁력확보, 시장성·파급력, 구현가능성, 확산·지속 가능성 모두를 충족하는 3대 분야 “15대 선도 프로젝트” 선정",1,1,,docx
PAR-DOC-POL-006-DOCX-00024,DOC-POL-006-DOCX,section2,2,bullet,ㅇ (첨단소재․부품: 5개*) 산업생태계의 게임체인저 육성으로 생산성 제고,1,1,,docx
PAR-DOC-POL-006-DOCX-00025,DOC-POL-006-DOCX,section2,3,paragraph,"차세대 전력반도체, LNG 화물창, 초전도체, 그래핀(Graphene), 특수탄소강",1,1,,docx
PAR-DOC-POL-006-DOCX-00026,DOC-POL-006-DOCX,section2,4,bullet,ㅇ (기후․에너지․미래대응: 6개*) 지속가능한 성장을 위해 선제적으로 대응,1,1,,docx
PAR-DOC-POL-006-DOCX-00027,DOC-POL-006-DOCX,section2,5,paragraph,"차세대 태양광․전력망, 해상풍력․HVDC, 그린수소․SMR, 스마트농업/수산업, 초고해상도 위성",1,1,,docx
PAR-DOC-POL-006-DOCX-00028,DOC-POL-006-DOCX,section2,6,bullet,ㅇ (K-붐업: 4개*) 시장규모가 크고 성장 잠재력 높은 글로벌시장 진출,1,1,,docx
PAR-DOC-POL-006-DOCX-00029,DOC-POL-006-DOCX,section2,7,paragraph,"K-바이오․의약품, K-콘텐츠(게임, 웹툰 등), K-뷰티, K-식품",1,1,,docx
PAR-DOC-POL-006-DOCX-00030,DOC-POL-006-DOCX,section2,8,paragraph,Ⅲ목표 및 추진체계,1,1,,docx
PAR-DOC-POL-006-DOCX-00031,DOC-POL-006-DOCX,section2,9,heading,1. 목표,1,1,,docx
PAR-DOC-POL-006-DOCX-00032,DOC-POL-006-DOCX,section2,10,paragraph,"3대 분야, 15대 프로젝트에 대해 기술개발, 인력, 금융, 해외진출· 입지지원, 규제개선 등 패키지 지원으로 ’30년까지 잠재성장률 반등 도모",1,1,,docx
PAR-DOC-POL-006-DOCX-00033,DOC-POL-006-DOCX,section2,11,heading,2. 추진체계,1,1,,docx
PAR-DOC-POL-006-DOCX-00034,DOC-POL-006-DOCX,section2,12,paragraph,"(추진협의체) 성장전략TF(부총리 주재)에서 추진방향을 논의․확정하고, 부총리 주재 관계장관회의를 통해 추진상황 점검 및 지원방안 마련",1,1,,docx
