policy_item_group_id,policy_bucket_id,group_label,group_summary,group_description,group_status,source_basis_type,display_order,notes
PIG-EXP-TD-002-01,PBK-POL-001-01,E: 기후테크,ㅇ (E: 기후테크) 기후대응에너지산업육성으로그린강국도약실현,ㅇ (E: 기후테크) 기후대응에너지산업육성으로그린강국도약실현,auto_expand_curated,technology_lens_expand_batch,1,expand draft from PIG-PROV-ITM-POL-001-00044 / ITM-POL-001-00044
PIG-EXP-TD-002-02,PBK-POL-001-02,100조원+α 규모국민성장펀드신설,ㅇ (100조원+α 규모국민성장펀드신설) AI 등미래전략산업과에너지 인프라등에투자하는민·관합동의대규모펀드조성,ㅇ (100조원+α 규모국민성장펀드신설) AI 등미래전략산업과에너지 인프라등에투자하는민·관합동의대규모펀드조성,auto_expand_curated,technology_lens_expand_batch,2,expand draft from PIG-PROV-ITM-POL-001-00694 / ITM-POL-001-00694
PIG-EXP-TD-003-03,PBK-POL-001-01,항공·이차전지(동남권),"- 항공·이차전지(동남권), 미래차·우주산업(서남권) 국가산단조성","- 항공·이차전지(동남권), 미래차·우주산업(서남권) 국가산단조성",auto_expand_curated,technology_lens_expand_batch,3,expand draft from PIG-PROV-ITM-POL-001-00670 / ITM-POL-001-00670
PIG-EXP-TD-004-04,PBK-POL-001-01,국방개혁로드맵마련,"ㅇ (국방개혁로드맵마련) 병력감축상황및총체전력차원에서, ‘AI·첨단과학 기술기반스마트강군육성’을위한국방개혁로드맵마련및추진","ㅇ (국방개혁로드맵마련) 병력감축상황및총체전력차원에서, ‘AI·첨단과학 기술기반스마트강군육성’을위한국방개혁로드맵마련및추진",auto_expand_curated,technology_lens_expand_batch,4,expand draft from PIG-PROV-ITM-POL-001-00158 / ITM-POL-001-00158
PIG-EXP-TD-004-05,PBK-POL-001-02,군사법개혁,"ㅇ (군사법개혁) 군수사·검찰기능의국방부통합, 군수사기관에 대한지휘·감독의투명성강화등을 통해독립적이고공정한군사법체계구축","ㅇ (군사법개혁) 군수사·검찰기능의국방부통합, 군수사기관에 대한지휘·감독의투명성강화등을 통해독립적이고공정한군사법체계구축",auto_expand_curated,technology_lens_expand_batch,5,expand draft from PIG-PROV-ITM-POL-001-00739 / ITM-POL-001-00739
PIG-EXP-TD-005-06,PBK-POL-001-01,첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),- 첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),- 첨단바이오소재후보물질개발·생산이가능한바이오파운드리구축('25～'29),auto_expand_curated,technology_lens_expand_batch,6,expand draft from PIG-PROV-ITM-POL-001-00600 / ITM-POL-001-00600
PIG-EXP-TD-005-07,PBK-POL-002-01,AI-그린바이오,"□ (AI-그린바이오) 지역특화 고부가가치 소재 연구·활용(식품·화장품 등)을 위해 인프라 구축, 인력 양성 등 AI 그린바이오 혁신 생태계 조성",< 유전자·세포 치료제 기술개발 예시 >,auto_expand_curated,technology_lens_expand_batch,7,expand draft from PIG-PROV-ITM-POL-002-01096 / ITM-POL-002-01096
PIG-EXP-TD-006-08,PBK-POL-001-01,보안이취약한지역·중소기업등보안사각지대지원강화,"- 보안이취약한지역·중소기업등보안사각지대지원강화, 피싱, 스미싱등 민생을위협하는디지털역기능해소및정보보호산업의전략적육성","- 보안이취약한지역·중소기업등보안사각지대지원강화, 피싱, 스미싱등 민생을위협하는디지털역기능해소및정보보호산업의전략적육성",auto_expand_curated,technology_lens_expand_batch,8,expand draft from PIG-PROV-ITM-POL-001-00308 / ITM-POL-001-00308
PIG-EXP-TD-007-09,PBK-POL-004-01,6G·AI네트워크 선도국 도약 및 글로벌 통신·네트워크 거대 시장 석권을 위해,"ㅇ 6G·AI네트워크 선도국 도약 및 글로벌 통신·네트워크 거대 시장 석권을 위해, 초격차 기술개발부터 AI-NW 융합서비스 조기 실증까지 과감하고 선제적 투자",□ 향후계획,auto_expand_curated,technology_lens_expand_batch,9,expand draft from PIG-PROV-ITM-POL-004-01275 / ITM-POL-004-01275
PIG-EXP-TD-007-10,PBK-POL-004-02,고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,- 고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,- 고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,auto_expand_curated,technology_lens_expand_batch,10,expand draft from PIG-PROV-ITM-POL-004-01298 / ITM-POL-004-01298
PIG-EXP-TD-008-11,PBK-POL-001-01,산업AI 전환촉진,"ㅇ (산업AI 전환촉진) 제조기업에AI팩토리전환, 중소기업대상AI바우처등을 지원하고, 서비스업(법률·의료등)의AI 전환지원","ㅇ (산업AI 전환촉진) 제조기업에AI팩토리전환, 중소기업대상AI바우처등을 지원하고, 서비스업(법률·의료등)의AI 전환지원",auto_expand_curated,technology_lens_expand_batch,11,expand draft from PIG-PROV-ITM-POL-001-00350 / ITM-POL-001-00350
