exception_id,strategy_id,strategy_label,reference_document_id,reference_table_id,reference_sequence_no,reference_strategy_label,reference_content_summary,alignment_status,resolution_status,decision_key,active_in_queue,decision_status,policy_item_id,policy_id,policy_name,bucket_label,item_label,primary_evidence_id,evidence_preview,tech_domains,suggested_primary_strategy_id,suggested_primary_strategy_label,suggested_primary_strategy_score,alternate_strategy_ids,alternate_strategy_labels,auto_seed_blocked,reviewed_primary_strategy_id,reviewed_secondary_strategy_ids,reviewed_confidence,reviewer_name,reviewer_notes,alignment_exception_notes
STX-STR-010-001,STR-010,디지털 헬스케어 서비스 혁신,DOC-REF-002,CTBL-DOC-REF-002-001,10,사이버 보안 및 AI 신뢰성 검증 기술 확보,데이터 중심 정보보호 및 AI 신뢰성 검증 기술 확보,not_aligned,keep_strategy_and_reference_separate,SRD-POL-012-3207f0439153,no,reviewed,ITM-POL-012-00860,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,K-디지털헬스케어,DRV-PAR-DOC-POL-006-00046,ㅇ (K-디지털헬스케어) 해외인수병원을 거점으로 중소․벤처기업을 지원하는 K-디지털헬스케어 新수출전략 정책지원 방안 마련(‘26. 1분기),,STR-010,디지털 헬스케어 서비스 혁신,19,STR-003 | STR-011,바이오·헬스 글로벌 중심국가 도약 | 디지털 콘텐츠 및 K-컬처 혁신,yes,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: K-디지털헬스 수출전략 패키지로 직접 읽힌다.,STX-STR-010-001: DOC-REF-002/CTBL-DOC-REF-002-001#10 | keep_strategy_and_reference_separate
STX-STR-010-001,STR-010,디지털 헬스케어 서비스 혁신,DOC-REF-002,CTBL-DOC-REF-002-001,10,사이버 보안 및 AI 신뢰성 검증 기술 확보,데이터 중심 정보보호 및 AI 신뢰성 검증 기술 확보,not_aligned,keep_strategy_and_reference_separate,SRD-POL-012-48dd2f85b8a3,no,reviewed,ITM-POL-012-00968,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,해외수요확대,DRV-PAR-DOC-POL-006-00297,"ㅇ (해외수요확대) 고령화․만성질환증가등으로의료 AI․의료기기 수요가폭발적으로증가(북미, 유럽, 중동시장고성장중)",첨단바이오,STR-010,디지털 헬스케어 서비스 혁신,19,STR-001 | STR-003,AI G3 도약 및 전 산업 AX 확산 | 바이오·헬스 글로벌 중심국가 도약,yes,STR-010,,medium,codex_manual_exception_review,STX-STR-010-001 keep_primary: 의료 AI·의료기기 해외수요 확대라는 시장 맥락이 STR-010과 직접 연결된다.,STX-STR-010-001: DOC-REF-002/CTBL-DOC-REF-002-001#10 | keep_strategy_and_reference_separate
STX-STR-010-001,STR-010,디지털 헬스케어 서비스 혁신,DOC-REF-002,CTBL-DOC-REF-002-001,10,사이버 보안 및 AI 신뢰성 검증 기술 확보,데이터 중심 정보보호 및 AI 신뢰성 검증 기술 확보,not_aligned,keep_strategy_and_reference_separate,SRD-POL-012-dab70a92dcb0,no,no_strategy,ITM-POL-012-00930,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,시기 세부 일정 [K-콘텐츠] 웹툰 제작비 세액공제 신규 추진 [K-콘텐츠] AI...,DRV-PAR-DOC-POL-006-00495,시기 세부 일정 [K-콘텐츠] 웹툰 제작비 세액공제 신규 추진 [K-콘텐츠] AI 융합 OTT 글로벌 진출 확산 지원 사업 공고 [초전도체] 고온초전도자석 실용화기술개발 착수 [초전도체] 초전도 도체 시험용 프로토타입 자석 제작 [초전도체] 국제공동연구를 통한 핵융합로용 자석 선재 개발 [글로벌 상업화 지원] 글로벌 오픈이노베이션 위크(11월) [글로벌 상업화 지원] 임상 3상 특화펀드...,첨단바이오,STR-010,디지털 헬스케어 서비스 혁신,19,STR-011 | STR-003,디지털 콘텐츠 및 K-컬처 혁신 | 바이오·헬스 글로벌 중심국가 도약,yes,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: K-콘텐츠·초전도체·글로벌상업화 일정이 섞인 composite schedule row다.,STX-STR-010-001: DOC-REF-002/CTBL-DOC-REF-002-001#10 | keep_strategy_and_reference_separate
STX-STR-010-001,STR-010,디지털 헬스케어 서비스 혁신,DOC-REF-002,CTBL-DOC-REF-002-001,10,사이버 보안 및 AI 신뢰성 검증 기술 확보,데이터 중심 정보보호 및 AI 신뢰성 검증 기술 확보,not_aligned,keep_strategy_and_reference_separate,SRD-POL-012-7fcbb7391bfd,no,reviewed,ITM-POL-012-00898,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,국내시장성장한계,DRV-PAR-DOC-POL-006-00298,"ㅇ (국내시장성장한계) 국내시장만으로는디지털헬스기업의매출 확대가제한적, 이에따라해외진출기업*도증가중",,STR-010,디지털 헬스케어 서비스 혁신,16,STR-003 | STR-011,바이오·헬스 글로벌 중심국가 도약 | 디지털 콘텐츠 및 K-컬처 혁신,yes,STR-010,,medium,codex_manual_exception_review,STX-STR-010-001 keep_primary: 디지털헬스 해외진출 수요의 배경 설명으로 STR-010 cluster에 남긴다.,STX-STR-010-001: DOC-REF-002/CTBL-DOC-REF-002-001#10 | keep_strategy_and_reference_separate
STX-STR-010-001,STR-010,디지털 헬스케어 서비스 혁신,DOC-REF-002,CTBL-DOC-REF-002-001,10,사이버 보안 및 AI 신뢰성 검증 기술 확보,데이터 중심 정보보호 및 AI 신뢰성 검증 기술 확보,not_aligned,keep_strategy_and_reference_separate,SRD-POL-012-bc0be1062e6c,no,no_strategy,ITM-POL-012-00945,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,참 고 초혁신경제 15대 프로젝트 세부 일정 시기 세부 일정 [초전도체] 고온초전...,DRV-PAR-DOC-POL-006-00493,참 고 초혁신경제 15대 프로젝트 세부 일정 시기 세부 일정 [초전도체] 고온초전도자석 실용화 기술개발 성과 목표 마련 [글로벌 상업화 지원] 펀드 및 글로벌 진출 지원 ’26년 예산 확정 [K-디지털헬스케어] 민-관 합동 얼라이언스 구성 및 추진단 2차 회의 [K-콘텐츠] 문화산업보증계정 운용계획 확정 [K-콘텐츠] 신규 해외거점 5개소 설립 [K-콘텐츠] ｢영화비디오법｣ 일부개정안 ...,첨단바이오,STR-010,디지털 헬스케어 서비스 혁신,16,STR-011 | STR-003,디지털 콘텐츠 및 K-컬처 혁신 | 바이오·헬스 글로벌 중심국가 도약,yes,,,high,codex_manual_exception_review,STX-STR-010-001 no_strategy: 여러 프로젝트 세부 일정이 결합된 composite reference row다.,STX-STR-010-001: DOC-REF-002/CTBL-DOC-REF-002-001#10 | keep_strategy_and_reference_separate
STX-STR-010-001,STR-010,디지털 헬스케어 서비스 혁신,DOC-REF-002,CTBL-DOC-REF-002-001,10,사이버 보안 및 AI 신뢰성 검증 기술 확보,데이터 중심 정보보호 및 AI 신뢰성 검증 기술 확보,not_aligned,keep_strategy_and_reference_separate,SRD-POL-012-05b69825f4ec,no,reviewed,ITM-POL-012-00914,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,디지털헬스기업C,DRV-PAR-DOC-POL-006-00310,"▪ 디지털헬스기업C: “국내 개발 AI 의료기기 S/W를 가지고 해외 진출 시 Heterogeneous 데이터가 필요한데 한국에서는 거의 Homogeneous 데이터만 확보할 수 있어서 다양성에 한계가 있음. 해결책으로 미국 데이터 업체로부터 비식별화된 다인종, 다인구 데이터를 구매하여 학습 또는 테스트 데이터로 활용하고 있는데 데이터 요구사항을 특정하고 확보하는 데까지 상당한 기간과 ...",,STR-010,디지털 헬스케어 서비스 혁신,11,STR-001 | STR-003,AI G3 도약 및 전 산업 AX 확산 | 바이오·헬스 글로벌 중심국가 도약,yes,STR-010,STR-001 | STR-003,medium,codex_manual_exception_review,STX-STR-010-001 reviewed_with_split_flag: 해외진출 맥락은 STR-010이 맞지만 AI 의료기기 데이터 확보 이슈가 강해 split candidate로 남긴다.,STX-STR-010-001: DOC-REF-002/CTBL-DOC-REF-002-001#10 | keep_strategy_and_reference_separate
STX-STR-010-001,STR-010,디지털 헬스케어 서비스 혁신,DOC-REF-002,CTBL-DOC-REF-002-001,10,사이버 보안 및 AI 신뢰성 검증 기술 확보,데이터 중심 정보보호 및 AI 신뢰성 검증 기술 확보,not_aligned,keep_strategy_and_reference_separate,SRD-POL-012-2b1b525c44f9,no,reviewed,ITM-POL-012-00913,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,디지털헬스기업B,DRV-PAR-DOC-POL-006-00308,"▪ 디지털헬스기업B: “해외 현지의 의료기기 인허가 획득을 위한 임상시험, 실증을 위해서는 이게 가능한 현지 의료기관을 찾아야 하는데, 현지 CRO나 전문컨설턴트 등 전문가에 대한 정보도 부족하고, 현지 의료기관에 대한 정보나 여건 확인도 어렵고, 현지 의료기관과 네트워크 구축도 어려움”",,STR-010,디지털 헬스케어 서비스 혁신,11,STR-003 | STR-004,바이오·헬스 글로벌 중심국가 도약 | 차세대 네트워크(6G) 및 지능형 인프라,yes,STR-010,,medium,codex_manual_exception_review,STX-STR-010-001 keep_primary: 해외 의료기기 인허가·임상·실증 지원 애로는 STR-010 service/export cluster의 직접 근거다.,STX-STR-010-001: DOC-REF-002/CTBL-DOC-REF-002-001#10 | keep_strategy_and_reference_separate
STX-STR-010-001,STR-010,디지털 헬스케어 서비스 혁신,DOC-REF-002,CTBL-DOC-REF-002-001,10,사이버 보안 및 AI 신뢰성 검증 기술 확보,데이터 중심 정보보호 및 AI 신뢰성 검증 기술 확보,not_aligned,keep_strategy_and_reference_separate,SRD-POL-012-0108242d7117,no,reviewed,ITM-POL-012-00969,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,해외진출 규제사항 및 애로사항 해결을 위한 정책지원 사항 발굴,DRV-PAR-DOC-POL-006-00369,- 해외진출 규제사항 및 애로사항 해결을 위한 정책지원 사항 발굴,,STR-010,디지털 헬스케어 서비스 혁신,8,STR-003 | STR-011,바이오·헬스 글로벌 중심국가 도약 | 디지털 콘텐츠 및 K-컬처 혁신,yes,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: 해외진출 규제·애로 해결 정책지원은 STR-010 institutional support로 본다.,STX-STR-010-001: DOC-REF-002/CTBL-DOC-REF-002-001#10 | keep_strategy_and_reference_separate
STX-STR-010-001,STR-010,디지털 헬스케어 서비스 혁신,DOC-REF-002,CTBL-DOC-REF-002-001,10,사이버 보안 및 AI 신뢰성 검증 기술 확보,데이터 중심 정보보호 및 AI 신뢰성 검증 기술 확보,not_aligned,keep_strategy_and_reference_separate,SRD-POL-012-0d300765cab2,no,reviewed,ITM-POL-012-00859,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,K-디지털헬스위상강화를위한쇼케이스운영및기업홍보지원,DRV-PAR-DOC-POL-006-00375,- K-디지털헬스위상강화를위한쇼케이스운영및기업홍보지원,,STR-010,디지털 헬스케어 서비스 혁신,8,STR-003 | STR-011,바이오·헬스 글로벌 중심국가 도약 | 디지털 콘텐츠 및 K-컬처 혁신,yes,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: K-디지털헬스 쇼케이스·홍보 지원은 service/export cluster의 직접 action이다.,STX-STR-010-001: DOC-REF-002/CTBL-DOC-REF-002-001#10 | keep_strategy_and_reference_separate
STX-STR-010-001,STR-010,디지털 헬스케어 서비스 혁신,DOC-REF-002,CTBL-DOC-REF-002-001,10,사이버 보안 및 AI 신뢰성 검증 기술 확보,데이터 중심 정보보호 및 AI 신뢰성 검증 기술 확보,not_aligned,keep_strategy_and_reference_separate,SRD-POL-012-5197d55420de,no,reviewed,ITM-POL-012-00858,POL-012,초혁신경제 15대 프로젝트 추진계획,기술,K-디지털헬스 해외거점 확보 추진단,DRV-PAR-DOC-POL-006-00314,"- (K-디지털헬스 해외거점 확보 추진단) 디지털헬스기업을 중심으로 관계부처 및 유관협회 및 기관을 포함하여 구성*·운영(9.25, 11.28 2차례)",,STR-010,디지털 헬스케어 서비스 혁신,8,STR-003 | STR-011,바이오·헬스 글로벌 중심국가 도약 | 디지털 콘텐츠 및 K-컬처 혁신,yes,STR-010,,high,codex_manual_exception_review,STX-STR-010-001 keep_primary: 해외거점 확보 추진단 구성은 STR-010 거버넌스/거점 구축 action이다.,STX-STR-010-001: DOC-REF-002/CTBL-DOC-REF-002-001#10 | keep_strategy_and_reference_separate
