decision_key,active_in_queue,decision_status,policy_item_id,policy_id,policy_name,bucket_label,item_label,primary_evidence_id,evidence_preview,suggested_primary_strategy_id,suggested_primary_strategy_label,alternate_strategy_ids,alternate_strategy_labels,reviewed_primary_strategy_id,reviewed_secondary_strategy_ids,reviewed_confidence,reviewer_name,reviewer_notes
SRD-POL-010-98ae6dc65bfb,no,reviewed,ITM-POL-010-00622,POL-010,연구개발 생태계 혁신방안,기술,12대 전략기술분야 중심으로 신속히 제품을 개발-출시할 수 있도록 컨소시엄을 선정...,DRV-PAR-DOC-POL-005-00310,"- 12대 전략기술분야 중심으로 신속히 제품을 개발-출시할 수 있도록 컨소시엄을 선정-지원하되, 조기 실현이 검증되면 2차년도까지 지원",STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-010-ebdca5cf4e13,no,reviewed,ITM-POL-010-00623,POL-010,연구개발 생태계 혁신방안,기술,AI기반 연구장비 공동활용,DRV-PAR-DOC-POL-005-00242,ㅇ (AI기반 연구장비 공동활용) 누구나 AI 기반으로 필요한 연구장비를 손쉽게 검색-활용할 수 있는 공동활용 플랫폼(ZEUS 3.0) 구축(~'29),STR-001,AI G3 도약 및 전 산업 AX 확산,STR-008,피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-010-07fdde059833,no,reviewed,ITM-POL-010-00625,POL-010,연구개발 생태계 혁신방안,기술,R&D 투자시스템 혁신,DRV-PAR-DOC-POL-005-00329,"ㅇ (R&D 투자시스템 혁신) 훼손된 연구생태계 복원을 위해 매년 정부 총지출 대비 5% 수준으로 R&D 예산 확대 노력, R&D 예산 심의의 전문성·전략성 제고",STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-010-da62e7e96c8d,no,reviewed,ITM-POL-010-00630,POL-010,연구개발 생태계 혁신방안,기술,☞ 개선방향 민간전문성,DRV-PAR-DOC-POL-005-00044,"☞ 개선방향 민간전문성, AI활용 등으로 연구 기획-평가-관리 체계 고도화",STR-001,AI G3 도약 및 전 산업 AX 확산,STR-008,피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-010-9418886489da,no,reviewed,ITM-POL-010-00641,POL-010,연구개발 생태계 혁신방안,기술,美 DARPA를 벤치마킹,DRV-PAR-DOC-POL-005-00438,"- 美 DARPA를 벤치마킹, ▲임무 중심, ▲민-관 협업, ▲PM 중심의 혁신적 관리, ▲파격적 인센티브 제도 등 도전-혁신적 관리방식 도입",STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-010-68b3c69ae147,no,reviewed,ITM-POL-010-00645,POL-010,연구개발 생태계 혁신방안,기술,개방성 강화,DRV-PAR-DOC-POL-005-00348,"ㅇ (개방성 강화) 충분한 소통을 통한 심의를 위해 정부 주도의 일방향 심의를 사업부처, 외부 전문가도 참여하는 개방형 심의로 전환",STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-010-a23930a3da86,no,reviewed,ITM-POL-010-00647,POL-010,연구개발 생태계 혁신방안,기술,경제적 파급력을 유발하는 원천기술 개발을 위해 체계적･중장기적 국가 R&D 투자의...,DRV-PAR-DOC-POL-005-00338,- 경제적 파급력을 유발하는 원천기술 개발을 위해 체계적･중장기적 국가 R&D 투자의 청사진을 제시하여 임무 중심으로 전략적 투자,STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-010-d071e8c9a16d,no,reviewed,ITM-POL-010-00648,POL-010,연구개발 생태계 혁신방안,기술,계획변경점검,DRV-PAR-DOC-POL-005-00358,- (계획변경점검) 기존 추진 중인 사업의 계획변경 필요시 점검 기간동안 검토하고 차년도 예산반영(R&D 유연성 제고),STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-010-e04c30efe973,no,reviewed,ITM-POL-010-00655,POL-010,연구개발 생태계 혁신방안,기술,과학/기술,DRV-PAR-DOC-POL-005-00336,ㅇ (과학/기술) 첨단 과학 연구와 원천기술 개발을 구분하고 개별 특성에 맞는 맞춤형 투자-심의,STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-010-bf8cbed67b00,no,reviewed,ITM-POL-010-00659,POL-010,연구개발 생태계 혁신방안,기술,관리 효율화,DRV-PAR-DOC-POL-005-00386,"ㅇ (관리 효율화) 예산심의, 사업-과제 평가-관리 등이 한정된 자원에도 신속하고 내실있게 운영되도록, 방대한 데이터의 효율적 활용 지원",STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
