strategy_id,strategy_label,strategy_description,source_basis,display_order,is_active
STR-001,AI G3 도약 및 전 산업 AX 확산,"독자 AI 모델, 공공·산업 AX, AI 컴퓨팅과 데이터 인프라 확산 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,1,1
STR-002,초격차 전략기술 확보 (반도체·이차전지),"AI반도체, 첨단 패키징, 차세대 반도체와 이차전지 등 초격차 전략기술 확보 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,2,1
STR-003,바이오·헬스 글로벌 중심국가 도약,"AI 바이오, 신약 개발, 바이오 제조, 글로벌 상업화를 포함하는 바이오·헬스 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,3,1
STR-004,차세대 네트워크(6G) 및 지능형 인프라,"6G, AI 네트워크, 오픈랜, 국가 AI 고속도로와 지능형 네트워크 인프라 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,4,1
STR-005,우주항공 및 해양 기술주권 확보,"초고해상도 위성, 우주항공, 자율운항선박과 해양 분야 기술주권 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,5,1
STR-006,탄소중립 및 에너지 안보 (수소·SMR),"그린수소, SMR, 해상풍력, HVDC, 태양광, 전력망을 포함하는 에너지 전환 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,6,1
STR-007,양자 정보통신 및 미래소재 선점,"양자 정보통신, 그래핀, 초전도, 차세대 소재 선점 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,7,1
STR-008,피지컬 AI 및 지능형 로봇 산업 육성,"피지컬 AI, 온디바이스 AI, 휴머노이드, 산업·서비스 로봇 생태계 육성 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,8,1
STR-009,미래 모빌리티(자율주행·UAM),"자율주행, SDV, 차량용 반도체, UAM 등 미래 모빌리티 전환 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,9,1
STR-010,디지털 헬스케어 서비스 혁신,"K-디지털헬스케어, 의료 AI·의료기기, 비대면 진료, 해외 실증·인허가 지원을 묶는 working 전략 라벨.",DOC-POL-006; POL-012 reviewed healthcare cluster; STX-STR-010-001,10,1
STR-011,디지털 콘텐츠 및 K-컬처 혁신,"AI 콘텐츠 제작, 게임·웹툰·영상·음악 등 K-콘텐츠 글로벌 경쟁력 강화 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,11,1
STR-012,스마트 농업 및 수산업 기술,"스마트농업, 스마트양식, 정밀 데이터 기반 농수산 기술과 식량안보 대응 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,12,1
STR-013,디지털 트윈 및 가상화 공정 혁신,"제조AX, AI 팩토리, 공정 혁신, 디지털 트윈과 가상화 기반 산업 혁신 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,13,1
STR-014,핵심 전략기술 자립 (LNG화물창·특수강),"LNG 화물창, 특수탄소강 등 제조·소재 분야 전략기술 자립화 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,14,1
STR-015,감염병 대응 및 공중보건 기술 자립,"백신, mRNA, 감염병 대응, 공중보건 기술 자립과 보건안보 강화 전략.",DOC-REF-002; CTBL-DOC-REF-002-001,15,1
