decision_key,active_in_queue,policy_item_id,policy_id,policy_name,bucket_label,item_label,primary_evidence_id,evidence_preview,tech_domains,suggested_primary_strategy_id,suggested_primary_strategy_label,suggested_primary_strategy_score,alternate_strategy_ids,alternate_strategy_labels,alignment_exception_ids,alignment_exception_notes,auto_seed_blocked,decision_status,reviewed_primary_strategy_id,reviewed_secondary_strategy_ids,reviewed_confidence,reviewer_name,reviewer_notes
SRD-POL-001-ab1c14a81c40,no,ITM-POL-001-00143,POL-001,123대 국정과제,기술,국가해상수송력20% 확충(1.2억톤),DRV-PAR-DOC-POL-001-01030,"ㅇ 국가해상수송력20% 확충(1.2억톤), 외항선박(5천톤이상) 친환경전환율 14% 달성, 쇄빙컨테이너선등신기술확보",,STR-005,우주항공 및 해양 기술주권 확보,3,,,,,no,reviewed,STR-005,,medium,codex_manual_pol001_final,국가 해상수송력 확충과 쇄빙 컨테이너선 등 해양 선박 신기술 확보가 함께 적시되어 해양 기술주권 축으로 본다.
SRD-POL-001-436176f287ab,no,ITM-POL-001-00191,POL-001,123대 국정과제,기술,기술혁신·생산기반확대,DRV-PAR-DOC-POL-001-00597,ㅇ (기술혁신·생산기반확대) 초격차기술개발과국내생산확대로산업기반강화,,STR-002,초격차 전략기술 확보 (반도체·이차전지),2,,,,,no,no_strategy,,,high,codex_manual_pol001_final,초격차기술 개발과 국내생산 확대를 묶은 산업 총론으로 특정 15대 전략 하나에 단일 귀속하기 어렵다.
SRD-POL-001-5ac8d236b66a,no,ITM-POL-001-00232,POL-001,123대 국정과제,기술,단기,DRV-PAR-DOC-POL-001-00546,"- (단기)5년내핵심기술자립화를목표로핵심공정기술개발, 기술사업화등지원 (중장기)미래성장산업의씨앗이될초격차원천기술및인프라·인력확보",,STR-002,초격차 전략기술 확보 (반도체·이차전지),2,STR-004 | STR-013,차세대 네트워크(6G) 및 지능형 인프라 | 디지털 트윈 및 가상화 공정 혁신,,,no,no_strategy,,,high,codex_manual_pol001_final,단기·중장기 로드맵 총괄 문장으로 여러 전략을 동시에 포괄해 단일 primary를 두지 않는다.
SRD-POL-001-b658acfefab4,no,ITM-POL-001-00287,POL-001,123대 국정과제,기술,민관협업전략기술육성,DRV-PAR-DOC-POL-001-00544,ㅇ (민관협업전략기술육성) 국가임무에기반한민관협업방식의초대형 ‘NEXT 프로젝트’ 추진및혁신형관리전문기관운영,,STR-002,초격차 전략기술 확보 (반도체·이차전지),2,STR-014,핵심 전략기술 자립 (LNG화물창·특수강),,,no,no_strategy,,,high,codex_manual_pol001_final,전략기술 육성의 추진방식과 관리체계 설명으로 특정 기술전략의 직접 실행 항목은 아니다.
SRD-POL-001-8f7f69aff899,no,ITM-POL-001-00320,POL-001,123대 국정과제,기술,북극항로선박·초격차디스플레이등경쟁국추격을따돌리는미래기술개발,DRV-PAR-DOC-POL-001-00598,- 북극항로선박·초격차디스플레이등경쟁국추격을따돌리는미래기술개발,,STR-005,우주항공 및 해양 기술주권 확보,3,STR-002,초격차 전략기술 확보 (반도체·이차전지),,,no,no_strategy,,,high,codex_manual_pol001_final,북극항로 선박과 초격차 디스플레이를 한 문장에 묶은 복합 과제로 단일 primary를 고정하지 않는다.
SRD-POL-001-07b2894d6a17,no,ITM-POL-001-00466,POL-001,123대 국정과제,기술,유무인복합체계고도화,DRV-PAR-DOC-POL-001-01930,"ㅇ (유무인복합체계고도화) 전쟁양상및기술발전속도를고려, 재래식전력에 무인체계를접목하는유무인복합체계고도화및시험인프라확보",,STR-004,차세대 네트워크(6G) 및 지능형 인프라,2,,,,,no,no_strategy,,,high,codex_manual_pol001_final,유무인복합체계 고도화는 국방 전력 과제 성격이 강하며 현재 15대 전략 taxonomy에 직접 대응 축이 없다.
SRD-POL-001-c339787f762d,no,ITM-POL-001-00522,POL-001,123대 국정과제,기술,전략적국제협력강화,DRV-PAR-DOC-POL-001-00514,"ㅇ (전략적국제협력강화) 연구자·기관중심의국제협력전략추진을위한 법적기반마련, 연구안보체계마련과첨단기술분야전략적협력강화",,STR-006,탄소중립 및 에너지 안보 (수소·SMR),2,,,,,no,no_strategy,,,high,codex_manual_pol001_final,첨단기술 분야 국제협력의 법적 기반과 연구안보 체계 정비는 거버넌스 과제로 특정 전략 primary를 두지 않는다.
SRD-POL-001-21516e5f7e06,no,ITM-POL-001-00524,POL-001,123대 국정과제,기술,전력시장혁신,DRV-PAR-DOC-POL-001-00751,"ㅇ (전력시장혁신) 전력수급에실시간으로대응하는시장도입, 지역별로 전기요금을차등하는지역별요금제신설",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_final,전력시장 제도 개편은 에너지 전환의 기반 정책이지만 수소·SMR·전력망 기술 자체의 직접 실행 항목은 아니다.
SRD-POL-001-b4ae20fe8655,no,ITM-POL-001-00641,POL-001,123대 국정과제,기술,특허정보연계R&D,DRV-PAR-DOC-POL-001-00552,"ㅇ (특허정보연계R&D) 특허빅데이터분석을 통한미래전략기술R&D 전략제시, 민간·공공R&D를위한지식재산데이터개방·활용확산",,STR-002,초격차 전략기술 확보 (반도체·이차전지),2,STR-014,핵심 전략기술 자립 (LNG화물창·특수강),,,no,no_strategy,,,high,codex_manual_pol001_final,특허 빅데이터 기반 R&D 기획 지원은 범용 연구지원 기능으로 특정 전략기술 primary를 두기 어렵다.
SRD-POL-001-0b8be7b63563,no,ITM-POL-001-00675,POL-001,123대 국정과제,기술,해운경쟁력제고,DRV-PAR-DOC-POL-001-01036,"ㅇ (해운경쟁력제고) 친환경선박중심으로국가수송력을확충*하고, 국적 선사경영안정, 이용률제고등을지원하며, 선원육성및매력도제고",,STR-005,우주항공 및 해양 기술주권 확보,3,,,,,no,reviewed,STR-005,,medium,codex_manual_pol001_final,친환경 선박 중심 국가수송력 확충과 선박 경쟁력 제고는 해양 산업·선박 기술 축과 직접 연결된다.
