display_text_id,target_object_type,target_object_id,display_role,title_text,summary_text,description_text,generated_by,review_status,source_basis_type,notes
DSP-GRP-PIG-POL-002-01,policy_item_group,PIG-POL-002-01,policy_item_group_card,국가 AI 바이오 연구소 및 파운데이션 모델,국가 연구거점을 중심으로 바이오 파운데이션 모델을 구축·개방하는 대표 묶음,국가 AI 바이오 연구소 설립과 범용 바이오 파운데이션 모델 구축을 하나의 대표 항목으로 묶은 샘플 큐레이션이다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-002-01-01,policy_item_content,PIC-POL-002-01-01,policy_item_content_card,국가 연구거점 설립,연구소 설립을 통해 국가 차원의 전담 거점을 만든다.,(가칭) 국가 AI 바이오 연구소를 설립해 국가 차원의 AI-바이오 연구개발 거점을 구축한다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-002-01-02,policy_item_content,PIC-POL-002-01-02,policy_item_content_card,바이오 파운데이션 모델 구축·개방,범용 바이오 파운데이션 모델을 구축·개방한다.,연구소를 중심으로 멀티모달-멀티스케일 바이오 파운데이션 모델을 구축하고 산업 활용을 확산한다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-GRP-PIG-POL-002-02,policy_item_group,PIG-POL-002-02,policy_item_group_card,바이오 데이터 플랫폼 및 개방체계,K-BDS 중심 통합플랫폼과 데이터 개방·표준화·품질관리를 함께 보여주는 대표 묶음,"데이터 수집·연계, 개방, 표준화, 품질 고도화를 하나의 운영 체계로 묶은 샘플 큐레이션이다.",manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-002-02-01,policy_item_content,PIC-POL-002-02-01,policy_item_content_card,K-BDS 중심 데이터 통합·개방,통합플랫폼 구축과 데이터 개방을 함께 추진한다.,K-BDS를 국가바이오데이터통합플랫폼으로 고도화하고 민간·거점 데이터를 연계해 외부 연구자 활용까지 개방한다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-002-02-02,policy_item_content,PIC-POL-002-02-02,policy_item_content_card,데이터 표준화·품질관리 강화,표준화와 품질관리 체계를 함께 강화한다.,메타데이터와 데이터 표준화를 지원하고 품질선도 체계를 확대해 바이오 데이터 품질을 높인다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-GRP-PIG-POL-002-03,policy_item_group,PIG-POL-002-03,policy_item_group_card,AI 바이오 법제·규제 개선,데이터 활용 법체계와 규제특례를 함께 정리한 대표 묶음,데이터 활용 편의를 높이는 법제도와 안전한 활용 특례를 함께 묶은 샘플 큐레이션이다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-002-03-01,policy_item_content,PIC-POL-002-03-01,policy_item_content_card,데이터 활용 법체계 정비,데이터 활용 법체계를 정비한다.,인체유래물·보건의료 데이터 활용 편의를 높이는 규제 개선과 디지털헬스케어 법체계를 정비한다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-002-03-02,policy_item_content,PIC-POL-002-03-02,policy_item_content_card,안전한 데이터 활용 특례,데이터 활용 특례와 안전조치를 함께 마련한다.,복수기관 기증 동의와 폐쇄망 클라우드 등 안전한 데이터 활용 특례를 도입해 활용성을 높인다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-GRP-PIG-POL-002-04,policy_item_group,PIG-POL-002-04,policy_item_group_card,AI-바이오 융합 인재양성 트랙,융합 교육 부족 문제와 전문 교육트랙 개설을 함께 보여주는 인재 샘플,AI와 바이오를 함께 이해하는 인재 양성을 위한 교육트랙 구성 예시다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
