decision_key,active_in_queue,decision_status,policy_item_id,policy_id,policy_name,bucket_label,item_label,primary_evidence_id,evidence_preview,suggested_primary_strategy_id,suggested_primary_strategy_label,alternate_strategy_ids,alternate_strategy_labels,reviewed_primary_strategy_id,reviewed_secondary_strategy_ids,reviewed_confidence,reviewer_name,reviewer_notes
SRD-POL-007-5bdf91514315,no,reviewed,ITM-POL-007-00381,POL-007,기초연구 생태계 육성 방안,기술,AI 인프라,DRV-PAR-DOC-POL-009-00253,"ㅇ (AI 인프라) 개별 연구실 단위의 분절적 AI 활용에서 벗어나, 중앙거점형 AI 연구 기반을 구축, 지속 가능한 기초연구AI 생태계 조성",STR-001,AI G3 도약 및 전 산업 AX 확산,STR-004 | STR-008,차세대 네트워크(6G) 및 지능형 인프라 | 피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-004 | STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-007-2e18895cf68b,no,reviewed,ITM-POL-007-00382,POL-007,기초연구 생태계 육성 방안,기술,AI에 대한 이해를 바탕으로 실제 연구에 적용하도록 교육과 연구를 통합 지원*하여...,DRV-PAR-DOC-POL-009-00260,"- AI에 대한 이해를 바탕으로 실제 연구에 적용하도록 교육과 연구를 통합 지원*하여 기초연구-AI 융합 연구자 양성(~‘30년, 총 2,000명)",STR-001,AI G3 도약 및 전 산업 AX 확산,STR-008,피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-007-db4f970c5b04,no,reviewed,ITM-POL-007-00385,POL-007,기초연구 생태계 육성 방안,기술,IRC,DRV-PAR-DOC-POL-009-00211,ㅇ (IRC) 혁신연구센터(IRC)의 임무 지향성을 제고하기 위해 전략기술 육성 관련 명확한 임무(Milestone)를 단계별로 설정하고 성과관리 강화*,STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-007-0d922ecdfa95,no,reviewed,ITM-POL-007-00400,POL-007,기초연구 생태계 육성 방안,기술,국가전략기술 개편과 연계,DRV-PAR-DOC-POL-009-00215,"- 국가전략기술 개편과 연계, 전략기술 지원 분야·방식 등을 포함한 ’(가칭)전략 기초연구 개선 방안‘ 마련 추진",STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-007-655f50c31891,no,reviewed,ITM-POL-007-00404,POL-007,기초연구 생태계 육성 방안,기술,기존 Top-Down 방식에서 벗어나,DRV-PAR-DOC-POL-009-00263,"- 기존 Top-Down 방식에서 벗어나, 연구계 스스로 발굴(Bottom-Up)한 과학적 난제를 AI를 활용하여 해결하는 도전적 연구 지원",STR-011,디지털 콘텐츠 및 K-컬처 혁신,STR-001 | STR-008,AI G3 도약 및 전 산업 AX 확산 | 피지컬 AI 및 지능형 로봇 산업 육성,STR-011,STR-001 | STR-008,high,auto_seed,provisional_auto_seed_from_queue(score=3)
SRD-POL-007-e3e053692c45,no,reviewed,ITM-POL-007-00411,POL-007,기초연구 생태계 육성 방안,기술,대학 연구 거점,DRV-PAR-DOC-POL-009-00259,"ㅇ (대학 연구 거점) 대학별 강점 연구 분야에 맞춰 ｢기초연구AI 센터｣를 지정(~’30년, 총 40개)하여 중앙 인프라와 대학 현장 연구자를 연계",STR-001,AI G3 도약 및 전 산업 AX 확산,STR-004 | STR-008,차세대 네트워크(6G) 및 지능형 인프라 | 피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-004 | STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-007-e6ad31d084cf,no,reviewed,ITM-POL-007-00415,POL-007,기초연구 생태계 육성 방안,기술,데이터 기반 정책,DRV-PAR-DOC-POL-009-00054,"ㅇ (데이터 기반 정책) 연구트렌드 분석, 국가별 역량 비교 등 기초연구 정책 방향을 제시하는 AI·데이터 기반 ｢기초연구 네비게이션 시스템｣ 구축",STR-001,AI G3 도약 및 전 산업 AX 확산,STR-008,피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-007-1c0084ec32e4,no,reviewed,ITM-POL-007-00435,POL-007,기초연구 생태계 육성 방안,기술,신기술 등장,DRV-PAR-DOC-POL-009-00290,"- 신기술 등장, 연구트렌드 변화 등에 발맞춰 RB 분야를 고도화하고, 전문위원 규모와 연구역량이 검증된 핵심평가위원 Pool도 지속 확대",STR-001,AI G3 도약 및 전 산업 AX 확산,STR-008,피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-007-b8e75734e9f6,no,reviewed,ITM-POL-007-00436,POL-007,기초연구 생태계 육성 방안,기술,신진연구자가 초기에 실험실을 조성하여 연구에 매진토록 연구인프라 구축 지원을 확대하고,DRV-PAR-DOC-POL-009-00184,"- 신진연구자가 초기에 실험실을 조성하여 연구에 매진토록 연구인프라 구축 지원을 확대하고, 신청·심사 절차 등 간소화",STR-004,차세대 네트워크(6G) 및 지능형 인프라,,,STR-004,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-007-0e38124853bc,no,reviewed,ITM-POL-007-00442,POL-007,기초연구 생태계 육성 방안,기술,연구 주제의 변화추세를 분석하여 ‘미래 유망 연구트렌드’를 조망하고,DRV-PAR-DOC-POL-009-00267,"- 연구 주제의 변화추세를 분석하여 ‘미래 유망 연구트렌드’를 조망하고, 해당 분야에서 차세대 리더연구자를 발굴하여 선제적 지원",STR-001,AI G3 도약 및 전 산업 AX 확산,STR-004 | STR-008,차세대 네트워크(6G) 및 지능형 인프라 | 피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-004 | STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
