policy_item_id,policy_bucket_id,item_label,item_statement,item_description,item_status,source_basis_type,curation_priority,notes
ITM-POL-002-00001,PBK-POL-002-01,(가칭)국가 AI 바이오 연구소 설립 추진(’26년~),ㅇ (가칭)국가 AI 바이오 연구소 설립 추진(’26년~),Ⅳ. 향후계획 | ㅇ (가칭)국가 AI 바이오 연구소 설립 추진(’26년~),auto_candidate,source_document_only,2,"auto_extracted; scores={'technology': 3, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-002-00002,PBK-POL-002-01,(가칭)｢바이오데이터 활용 및 인공지능바이오 연구개발 촉진에 관한 법률｣ 제정 추...,ㅇ (가칭)｢바이오데이터 활용 및 인공지능바이오 연구개발 촉진에 관한 법률｣ 제정 추진(’25.12월 발의),Ⅳ. 향후계획 | ㅇ (가칭)｢바이오데이터 활용 및 인공지능바이오 연구개발 촉진에 관한 법률｣ 제정 추진(’25.12월 발의),auto_candidate,source_document_only,2,"auto_extracted; scores={'technology': 3, 'infrastructure_institutional': 2, 'talent': 0}"
ITM-POL-002-00003,PBK-POL-002-01,5대 분야 AI 바이오 핵심기술 확보를 위한 사업 착수(’26.4월~),ㅇ 5대 분야 AI 바이오 핵심기술 확보를 위한 사업 착수(’26.4월~),Ⅳ. 향후계획 | ㅇ 5대 분야 AI 바이오 핵심기술 확보를 위한 사업 착수(’26.4월~),auto_candidate,source_document_only,2,"auto_extracted; scores={'technology': 3, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-002-00004,PBK-POL-002-01,5대분야 혁신,ㅇ (5대분야 혁신) AI 적용 가능성과 파급효과를 고려하여 ‘단기 성과 + 중장기 혁신 + 국민 체감’을 달성할 수 있는 5대 분야 모델 개발·적용,□ 전략별 추진과제 | ㅇ (5대분야 혁신) AI 적용 가능성과 파급효과를 고려하여 ‘단기 성과 + 중장기 혁신 + 국민 체감’을 달성할 수 있는 5대 분야 모델 개발·적용,auto_candidate,source_document_only,2,"auto_extracted; scores={'technology': 3, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-002-00005,PBK-POL-002-01,AI for Brain : 뇌지도,ㅇ (AI for Brain : 뇌지도) AI를 활용하여 ‘35년까지 특화 분야별 뇌 지도 3종 이상 구축을 목표로 하는 “넥스트 브레인 프로젝트” 추진,< 유전자·세포 치료제 기술개발 예시 > | ㅇ (AI for Brain : 뇌지도) AI를 활용하여 ‘35년까지 특화 분야별 뇌 지도 3종 이상 구축을 목표로 하는 “넥스트 브레인 프로젝트” 추진,auto_candidate,source_document_only,2,"auto_extracted; scores={'technology': 3, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-002-00006,PBK-POL-002-01,AI 기반 품질관리,"ㅇ (AI 기반 품질관리) AI 기반 데이터 오류 반복 검증, 메타데이터 흠결 보완‧자동 입력 등 효율적 품질관리와 데이터 무결성 확보 기술 개발","< 부처별 역할(예시) > | ㅇ (AI 기반 품질관리) AI 기반 데이터 오류 반복 검증, 메타데이터 흠결 보완‧자동 입력 등 효율적 품질관리와 데이터 무결성 확보 기술 개발",auto_candidate,source_document_only,2,"auto_extracted; scores={'technology': 3, 'infrastructure_institutional': 1, 'talent': 0}"
ITM-POL-002-00007,PBK-POL-002-01,AI 노화 시계,"ㅇ (AI 노화 시계) 혈액·조직 샘플의 복잡한 생체지표*를 학습해, 생물학적 연령 및 노화 속도를 정량화하는 AI 노화 시계 개발","< 유전자·세포 치료제 기술개발 예시 > | ㅇ (AI 노화 시계) 혈액·조직 샘플의 복잡한 생체지표*를 학습해, 생물학적 연령 및 노화 속도를 정량화하는 AI 노화 시계 개발",auto_candidate,source_document_only,2,"auto_extracted; scores={'technology': 3, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-002-00008,PBK-POL-002-01,AI 모델 학습 지원,ㅇ (AI 모델 학습 지원) 바이오 특화 AI 모델 학습·개발을 지원하기 위한 멀티모달 바이오 데이터 학습 공간을 제공,< 부처별 역할(예시) > | ㅇ (AI 모델 학습 지원) 바이오 특화 AI 모델 학습·개발을 지원하기 위한 멀티모달 바이오 데이터 학습 공간을 제공,auto_candidate,source_document_only,2,"auto_extracted; scores={'technology': 4, 'infrastructure_institutional': 1, 'talent': 0}"
ITM-POL-002-00009,PBK-POL-002-01,AI 바이오 관련 R&D 사업 성과를 AI 바이오 거점으로 연계하여 산업생태계로...,- AI 바이오 관련 R&D 사업 성과를 AI 바이오 거점으로 연계하여 산업생태계로 활용 확산 및 개발된 기술의 시장경쟁력 강화,< 바이오파운드리 개념도 > | - AI 바이오 관련 R&D 사업 성과를 AI 바이오 거점으로 연계하여 산업생태계로 활용 확산 및 개발된 기술의 시장경쟁력 강화,auto_candidate,source_document_only,2,"auto_extracted; scores={'technology': 5, 'infrastructure_institutional': 0, 'talent': 0}"
ITM-POL-002-00010,PBK-POL-002-01,AI 바이오 기술·데이터 주권 확보와 더불어,"- AI 바이오 기술·데이터 주권 확보와 더불어, 연구-산업-인재-인프라가 유기적으로 연계된 AI 바이오 생태계 구축 필요","- AI 바이오 기술·데이터 주권 확보와 더불어, 연구-산업-인재-인프라가 유기적으로 연계된 AI 바이오 생태계 구축 필요",auto_candidate,source_document_only,2,"auto_extracted; scores={'technology': 4, 'infrastructure_institutional': 2, 'talent': 1}"
