sequence_no,strategy_label,content_summary
1,AI G3 도약 및 전 산업 AX 확산,AI 파운데이션 모델 개발 및 전 산업 인공지능 전환(AX) 가속화
2,초격차 전략기술 확보 (반도체·이차전지),"차세대 AI 반도체(NPU, PIM) 및 고성능 이차전지 초격차 기술 확보"
3,바이오·헬스 글로벌 중심국가 도약,AI 기반 차세대 바이오의료·헬스 시스템 글로벌 혁신
4,차세대 네트워크(6G) 및 지능형 인프라,6G 상용화 기술 확보 및 저궤도 위성통신 기반 초연결망 구축
5,우주항공 및 해양 기술주권 확보,독자적 항공엔진 개발 및 완전 자율운항 선박 핵심기술 확보
6,탄소중립 및 에너지 안보 (수소·SMR),그린수소 생산 및 소형모듈원자로(SMR) 상용화 기술 개발
7,양자 정보통신 및 미래소재 선점,"양자 컴퓨팅 원천기술 및 초전도체, 그래핀 등 게임체인저 소재 개발"
8,피지컬 AI 및 지능형 로봇 산업 육성,인간 공존형 로봇 및 산업 현장 자율화 로봇 기술 고도화
9,미래 모빌리티(자율주행·UAM),자율주행 소프트웨어(SDV) 및 도심항공교통(UAM) 상용화
10,사이버 보안 및 AI 신뢰성 검증 기술 확보,데이터 중심 정보보호 및 AI 신뢰성 검증 기술 확보
11,디지털 콘텐츠 및 K-컬처 혁신,AI 기반 콘텐츠 제작과 K-콘텐츠 경쟁력 고도화
12,스마트 농업 및 수산업 기술,스마트 농업·수산업 생산 고도화와 식량안보 대응
13,디지털 트윈 및 가상화 공정 혁신,산업 생산성 향상을 위한 가상 모형 및 시뮬레이션 기술
14,핵심 전략기술 자립 (LNG화물창·특수강),에너지 및 주력 산업의 소재·부품·장비 자립화
15,감염병 대응 및 공중보건 기술 자립,mRNA 백신 플랫폼 및 정밀 의료 기술 국산화
