decision_key,policy_item_id,policy_id,policy_name,bucket_label,item_label,final_decision_status,final_primary_strategy_id,final_secondary_strategy_ids,final_confidence,reviewer_name,reviewer_notes
SRD-POL-001-44cb15cd92bc,ITM-POL-001-00014,POL-001,123대 국정과제,기술,4대강재자연화,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-6609742658c6,ITM-POL-001-00055,POL-001,123대 국정과제,기술,R&D 혁신(기술역량) →DX·AX(생산성) →중견기업성장(BM혁신) 및글로벌화로...,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-efb1ac6c525a,ITM-POL-001-00061,POL-001,123대 국정과제,기술,‘경제안보점검회의’ 정례화로통상·경제안보컨트롤타워가동,no_strategy,,,high,codex_manual_pol001_high_confidence,경제안보·외교·공급망 거버넌스 성격으로 15대 전략 primary에 직접 귀속하지 않는다.
SRD-POL-001-159793020d91,ITM-POL-001-00072,POL-001,123대 국정과제,기술,▴｢ 동포기업-국내기업｣ 연계를 통한국내중소기업의해외진출지원 ▴글로벌한인네트워크강...,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-da68b3d0d096,ITM-POL-001-00085,POL-001,123대 국정과제,기술,건강보험재정안정화,no_strategy,,,high,codex_manual_pol001_high_confidence,보건의료 서비스·보상·전달체계 정비 성격으로 디지털헬스 기술전략의 직접 과제는 아니다.
SRD-POL-001-32b9cc6f874c,ITM-POL-001-00093,POL-001,123대 국정과제,기술,경영비부담완화,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-cce63fb8f7ac,ITM-POL-001-00094,POL-001,123대 국정과제,기술,경제안보강화,no_strategy,,,high,codex_manual_pol001_high_confidence,경제안보·외교·공급망 거버넌스 성격으로 15대 전략 primary에 직접 귀속하지 않는다.
SRD-POL-001-8a0ad69f6612,ITM-POL-001-00095,POL-001,123대 국정과제,기술,경제안보대응체계를정비하고민관소통을강화하여,no_strategy,,,high,codex_manual_pol001_high_confidence,경제안보·외교·공급망 거버넌스 성격으로 15대 전략 primary에 직접 귀속하지 않는다.
SRD-POL-001-1a046a12cbc2,ITM-POL-001-00096,POL-001,123대 국정과제,기술,경제안보조정·통합기능강화및신흥·첨단기술분야과학기술외교적극 추진을 통해글로벌공급망재...,no_strategy,,,high,codex_manual_pol001_high_confidence,경제안보·외교·공급망 거버넌스 성격으로 15대 전략 primary에 직접 귀속하지 않는다.
SRD-POL-001-29bbd810fda9,ITM-POL-001-00101,POL-001,123대 국정과제,기술,계열사지원이없는독립·중소기업의공정한경쟁기반회복,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-fb119c3ac91e,ITM-POL-001-00130,POL-001,123대 국정과제,기술,과학적기후변화감시·예측,reviewed,STR-005,,high,codex_manual_pol001_high_confidence,기후감시위성(천리안5호) 개발·발사가 직접 적시되어 우주항공 기술주권 축으로 본다.
SRD-POL-001-c12bc6c6004d,ITM-POL-001-00135,POL-001,123대 국정과제,기술,교권보호및정치기본권확대,no_strategy,,,high,codex_manual_pol001_high_confidence,복지·교육·안전망 강화 성격의 일반 정책으로 특정 전략기술 primary를 두지 않는다.
SRD-POL-001-b835bc49eb5d,ITM-POL-001-00162,POL-001,123대 국정과제,기술,국제사회논의주도,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
