decision_key,active_in_queue,decision_status,policy_item_id,policy_id,policy_name,bucket_label,item_label,primary_evidence_id,evidence_preview,suggested_primary_strategy_id,suggested_primary_strategy_label,alternate_strategy_ids,alternate_strategy_labels,reviewed_primary_strategy_id,reviewed_secondary_strategy_ids,reviewed_confidence,reviewer_name,reviewer_notes
SRD-POL-001-279ca815ad84,no,reviewed,ITM-POL-001-00044,POL-001,123대 국정과제,기술,E: 기후테크,DRV-PAR-DOC-POL-001-00579,ㅇ (E: 기후테크) 기후대응에너지산업육성으로그린강국도약실현,STR-006,탄소중립 및 에너지 안보 (수소·SMR),STR-015,감염병 대응 및 공중보건 기술 자립,STR-006,STR-015,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-001-14de4bae804e,no,reviewed,ITM-POL-001-00046,POL-001,123대 국정과제,기술,ESG금융강화,DRV-PAR-DOC-POL-001-00880,"ㅇ (ESG금융강화) 재생에너지, 기후기술등에 대한투자확대및고탄소 제조기업의탄소감축활동에 대한자금지원확대",STR-006,탄소중립 및 에너지 안보 (수소·SMR),,,STR-006,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-001-08b3a2a679cc,no,reviewed,ITM-POL-001-00056,POL-001,123대 국정과제,기술,RE100산단,DRV-PAR-DOC-POL-001-00768,ㅇ (RE100산단) 재생에너지가풍부한지역에‘지산지소’형RE100산단조성,STR-006,탄소중립 및 에너지 안보 (수소·SMR),,,STR-006,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-001-55c93d0f3742,no,reviewed,ITM-POL-001-00102,POL-001,123대 국정과제,기술,계획입지기반의농지·농업법인규제완화로영농형태양광을확대하고,DRV-PAR-DOC-POL-001-01276,"- 계획입지기반의농지·농업법인규제완화로영농형태양광을확대하고, 농촌에너지자립마을조성및전기등친환경농기계개발·보급활성화",STR-006,탄소중립 및 에너지 안보 (수소·SMR),STR-012,스마트 농업 및 수산업 기술,STR-006,STR-012,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-001-3d500d3e4f44,no,reviewed,ITM-POL-001-00103,POL-001,123대 국정과제,기술,계획입지발굴,DRV-PAR-DOC-POL-001-00760,"- 계획입지발굴, 집적화단지신속조성, 인허가의제처리등을 통한 서남해·제주해상풍력단지구축",STR-006,탄소중립 및 에너지 안보 (수소·SMR),,,STR-006,,high,codex_manual_strategy_review,서남해·제주 해상풍력단지 구축을 위한 계획입지 발굴·인허가 특례는 STR-006의 직접 실행 과제다.
SRD-POL-001-c69e3f941edf,no,reviewed,ITM-POL-001-00106,POL-001,123대 국정과제,기술,고부가가치서비스업육성,DRV-PAR-DOC-POL-001-00650,ㅇ (고부가가치서비스업육성) AI를활용한교통·물류·안전등핵심서비스 생산성제고및新서비스발굴과함께제조업등과의산업간융합지원,STR-001,AI G3 도약 및 전 산업 AX 확산,STR-008,피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-001-fb119c3ac91e,no,reviewed,ITM-POL-001-00130,POL-001,123대 국정과제,기술,과학적기후변화감시·예측,DRV-PAR-DOC-POL-001-00828,"ㅇ (과학적기후변화감시·예측) 고해상도한반도기상·기후감시위성(천리안5호) 개발·발사, 1개월∼10년까지예측하는국가기후예측시스템개발",STR-005,우주항공 및 해양 기술주권 확보,,,STR-005,,high,codex_manual_pol001_high_confidence,기후감시위성(천리안5호) 개발·발사가 직접 적시되어 우주항공 기술주권 축으로 본다.
SRD-POL-001-ab1c14a81c40,no,reviewed,ITM-POL-001-00143,POL-001,123대 국정과제,기술,국가해상수송력20% 확충(1.2억톤),DRV-PAR-DOC-POL-001-01030,"ㅇ 국가해상수송력20% 확충(1.2억톤), 외항선박(5천톤이상) 친환경전환율 14% 달성, 쇄빙컨테이너선등신기술확보",STR-005,우주항공 및 해양 기술주권 확보,,,STR-005,,medium,codex_manual_pol001_final,국가 해상수송력 확충과 쇄빙 컨테이너선 등 해양 선박 신기술 확보가 함께 적시되어 해양 기술주권 축으로 본다.
SRD-POL-001-4943ff201dde,no,reviewed,ITM-POL-001-00157,POL-001,123대 국정과제,기술,국방AI 첨단기술활용,DRV-PAR-DOC-POL-001-01932,"ㅇ (국방AI 첨단기술활용) AI 신속개발·활용을 위해국방데이터관리·보안 체계를개선하고, 맞춤형획득프로세스를마련하며, 인프라투자확대",STR-001,AI G3 도약 및 전 산업 AX 확산,STR-004 | STR-008,차세대 네트워크(6G) 및 지능형 인프라 | 피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-004 | STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-001-414de668bc00,no,reviewed,ITM-POL-001-00158,POL-001,123대 국정과제,기술,국방개혁로드맵마련,DRV-PAR-DOC-POL-001-01955,"ㅇ (국방개혁로드맵마련) 병력감축상황및총체전력차원에서, ‘AI·첨단과학 기술기반스마트강군육성’을위한국방개혁로드맵마련및추진",STR-001,AI G3 도약 및 전 산업 AX 확산,STR-008 | STR-012,피지컬 AI 및 지능형 로봇 산업 육성 | 스마트 농업 및 수산업 기술,STR-001,STR-008 | STR-012,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
