policy_item_taxonomy_map_id,policy_item_id,taxonomy_type,term_id,is_primary,confidence,review_status,notes
PIT-ITM-POL-001-00002-01,ITM-POL-001-00002,tech_domain,TD-011,1,medium,auto_mapped,score=6; subdomain=TSD-011-003
PIT-ITM-POL-001-00002-SUB-01,ITM-POL-001-00002,tech_subdomain,TSD-011-003,1,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-001-00012-01,ITM-POL-001-00012,tech_domain,TD-003,1,high,auto_mapped,score=14; subdomain=
PIT-ITM-POL-001-00025-01,ITM-POL-001-00025,tech_domain,TD-009,1,high,auto_mapped,score=12; subdomain=TSD-009-001
PIT-ITM-POL-001-00025-SUB-01,ITM-POL-001-00025,tech_subdomain,TSD-009-001,1,high,auto_mapped,derived_from=TD-009
PIT-ITM-POL-001-00028-01,ITM-POL-001-00028,tech_domain,TD-002,1,high,auto_mapped,score=14; subdomain=TSD-002-002
PIT-ITM-POL-001-00028-SUB-01,ITM-POL-001-00028,tech_subdomain,TSD-002-002,1,high,auto_mapped,derived_from=TD-002
PIT-ITM-POL-001-00038-01,ITM-POL-001-00038,tech_domain,TD-001,1,medium,auto_mapped,score=9; subdomain=TSD-001-004
PIT-ITM-POL-001-00038-SUB-01,ITM-POL-001-00038,tech_subdomain,TSD-001-004,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-001-00039-01,ITM-POL-001-00039,tech_domain,TD-001,1,medium,auto_mapped,score=6; subdomain=TSD-001-001
PIT-ITM-POL-001-00039-SUB-01,ITM-POL-001-00039,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-001-00039-02,ITM-POL-001-00039,tech_domain,TD-008,0,medium,auto_mapped,score=6; subdomain=TSD-008-005
PIT-ITM-POL-001-00039-SUB-02,ITM-POL-001-00039,tech_subdomain,TSD-008-005,0,medium,auto_mapped,derived_from=TD-008
PIT-ITM-POL-001-00044-01,ITM-POL-001-00044,tech_domain,TD-002,1,high,auto_mapped,score=11; subdomain=
PIT-ITM-POL-001-00046-01,ITM-POL-001-00046,tech_domain,TD-002,1,high,auto_mapped,score=14; subdomain=TSD-002-001
PIT-ITM-POL-001-00046-SUB-01,ITM-POL-001-00046,tech_subdomain,TSD-002-001,1,high,auto_mapped,derived_from=TD-002
PIT-ITM-POL-001-00048-01,ITM-POL-001-00048,tech_domain,TD-002,1,high,auto_mapped,score=14; subdomain=
PIT-ITM-POL-001-00048-02,ITM-POL-001-00048,tech_domain,TD-013,0,high,auto_mapped,score=14; subdomain=
PIT-ITM-POL-001-00056-01,ITM-POL-001-00056,tech_domain,TD-002,1,high,auto_mapped,score=14; subdomain=TSD-002-001
PIT-ITM-POL-001-00056-SUB-01,ITM-POL-001-00056,tech_subdomain,TSD-002-001,1,high,auto_mapped,derived_from=TD-002
PIT-ITM-POL-001-00064-01,ITM-POL-001-00064,tech_domain,TD-014,1,medium,auto_mapped,score=6; subdomain=
PIT-ITM-POL-001-00102-01,ITM-POL-001-00102,tech_domain,TD-002,1,high,auto_mapped,score=14; subdomain=TSD-002-008
PIT-ITM-POL-001-00102-SUB-01,ITM-POL-001-00102,tech_subdomain,TSD-002-008,1,high,auto_mapped,derived_from=TD-002
PIT-ITM-POL-001-00106-01,ITM-POL-001-00106,tech_domain,TD-008,1,medium,auto_mapped,score=6; subdomain=TSD-008-003
PIT-ITM-POL-001-00106-SUB-01,ITM-POL-001-00106,tech_subdomain,TSD-008-003,1,medium,auto_mapped,derived_from=TD-008
PIT-ITM-POL-001-00157-01,ITM-POL-001-00157,tech_domain,TD-004,1,high,auto_mapped,score=11; subdomain=
PIT-ITM-POL-001-00158-01,ITM-POL-001-00158,tech_domain,TD-004,1,high,auto_mapped,score=14; subdomain=
PIT-ITM-POL-001-00159-01,ITM-POL-001-00159,tech_domain,TD-004,1,high,auto_mapped,score=14; subdomain=
PIT-ITM-POL-001-00160-01,ITM-POL-001-00160,tech_domain,TD-004,1,high,auto_mapped,score=11; subdomain=
PIT-ITM-POL-001-00161-01,ITM-POL-001-00161,tech_domain,TD-004,1,high,auto_mapped,score=11; subdomain=
PIT-ITM-POL-001-00167-01,ITM-POL-001-00167,tech_domain,TD-004,1,high,auto_mapped,score=14; subdomain=
PIT-ITM-POL-001-00202-01,ITM-POL-001-00202,tech_domain,TD-002,1,high,auto_mapped,score=14; subdomain=TSD-002-003
PIT-ITM-POL-001-00202-SUB-01,ITM-POL-001-00202,tech_subdomain,TSD-002-003,1,high,auto_mapped,derived_from=TD-002
PIT-ITM-POL-001-00223-01,ITM-POL-001-00223,tech_domain,TD-002,1,high,auto_mapped,score=14; subdomain=TSD-002-001
PIT-ITM-POL-001-00223-SUB-01,ITM-POL-001-00223,tech_subdomain,TSD-002-001,1,high,auto_mapped,derived_from=TD-002
PIT-ITM-POL-001-00248-01,ITM-POL-001-00248,tech_domain,TD-013,1,high,auto_mapped,score=11; subdomain=
PIT-ITM-POL-001-00252-01,ITM-POL-001-00252,tech_domain,TD-001,1,medium,auto_mapped,score=6; subdomain=TSD-001-001
PIT-ITM-POL-001-00252-SUB-01,ITM-POL-001-00252,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-001-00256-01,ITM-POL-001-00256,tech_domain,TD-008,1,medium,auto_mapped,score=6; subdomain=TSD-008-003
PIT-ITM-POL-001-00256-SUB-01,ITM-POL-001-00256,tech_subdomain,TSD-008-003,1,medium,auto_mapped,derived_from=TD-008
PIT-ITM-POL-001-00259-01,ITM-POL-001-00259,tech_domain,TD-006,1,medium,auto_mapped,score=6; subdomain=TSD-006-006
PIT-ITM-POL-001-00259-SUB-01,ITM-POL-001-00259,tech_subdomain,TSD-006-006,1,medium,auto_mapped,derived_from=TD-006
PIT-ITM-POL-001-00296-01,ITM-POL-001-00296,tech_domain,TD-011,1,medium,auto_mapped,score=6; subdomain=TSD-011-003
PIT-ITM-POL-001-00296-SUB-01,ITM-POL-001-00296,tech_subdomain,TSD-011-003,1,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-001-00307-01,ITM-POL-001-00307,tech_domain,TD-011,1,medium,auto_mapped,score=6; subdomain=
PIT-ITM-POL-001-00308-01,ITM-POL-001-00308,tech_domain,TD-006,1,medium,auto_mapped,score=6; subdomain=TSD-006-006
PIT-ITM-POL-001-00308-SUB-01,ITM-POL-001-00308,tech_subdomain,TSD-006-006,1,medium,auto_mapped,derived_from=TD-006
PIT-ITM-POL-001-00318-01,ITM-POL-001-00318,tech_domain,TD-013,1,high,auto_mapped,score=11; subdomain=
PIT-ITM-POL-001-00319-01,ITM-POL-001-00319,tech_domain,TD-013,1,high,auto_mapped,score=11; subdomain=
