tech_subdomain_id,tech_domain_id,tech_subdomain_label,source_basis,display_order,is_active
TSD-001-001,TD-001,AI 한계극복·성능향상,DOC-TAX-001,1,1
TSD-001-002,TD-001,AI 응용처 확장,DOC-TAX-001,2,1
TSD-001-003,TD-001,AI 안전·신뢰,DOC-TAX-001,3,1
TSD-001-004,TD-001,AI 컴퓨팅·네트워크,DOC-TAX-001,4,1
TSD-001-005,TD-001,데이터 구축·처리,DOC-TAX-001,5,1
TSD-001-006,TD-001,인력양성,DOC-TAX-001,6,1
TSD-001-007,TD-001,산업 AX,DOC-TAX-001,7,1
TSD-001-008,TD-001,공공 AX,DOC-TAX-001,8,1
TSD-002-001,TD-002,재생에너지,DOC-TAX-001,1,1
TSD-002-002,TD-002,전력망,DOC-TAX-001,2,1
TSD-002-003,TD-002,수소,DOC-TAX-001,3,1
TSD-002-004,TD-002,원자력,DOC-TAX-001,4,1
TSD-002-005,TD-002,산업공정,DOC-TAX-001,5,1
TSD-002-006,TD-002,CCUS,DOC-TAX-001,6,1
TSD-002-007,TD-002,효율수요관리,DOC-TAX-001,7,1
TSD-002-008,TD-002,친환경 모빌리티,DOC-TAX-001,8,1
TSD-002-009,TD-002,자원순환,DOC-TAX-001,9,1
TSD-002-010,TD-002,적응흡수,DOC-TAX-001,10,1
TSD-003-001,TD-003,리튬이온전지,DOC-TAX-001,1,1
TSD-003-002,TD-003,차세대전지,DOC-TAX-001,2,1
TSD-003-003,TD-003,모듈·시스템,DOC-TAX-001,3,1
TSD-003-004,TD-003,재사용·재활용,DOC-TAX-001,4,1
TSD-004-001,TD-004,국방기술개발,DOC-TAX-001,1,1
TSD-004-002,TD-004,무기체계개발,DOC-TAX-001,2,1
TSD-004-003,TD-004,지휘정찰,DOC-TAX-001,3,1
TSD-004-004,TD-004,기동화력,DOC-TAX-001,4,1
TSD-004-005,TD-004,함정,DOC-TAX-001,5,1
TSD-004-006,TD-004,항공기,DOC-TAX-001,6,1
TSD-004-007,TD-004,유도무기,DOC-TAX-001,7,1
TSD-005-001,TD-005,금속,DOC-TAX-001,1,1
TSD-005-002,TD-005,세라믹,DOC-TAX-001,2,1
TSD-005-003,TD-005,화학,DOC-TAX-001,3,1
TSD-005-004,TD-005,섬유,DOC-TAX-001,4,1
TSD-005-005,TD-005,탄소,DOC-TAX-001,5,1
TSD-005-006,TD-005,나노,DOC-TAX-001,6,1
TSD-005-007,TD-005,첨단미래,DOC-TAX-001,7,1
TSD-006-001,TD-006,암호/인증,DOC-TAX-001,1,1
TSD-006-002,TD-006,프라이버시,DOC-TAX-001,2,1
TSD-006-003,TD-006,인프라/플랫폼,DOC-TAX-001,3,1
TSD-006-004,TD-006,신기술융합보안,DOC-TAX-001,4,1
TSD-006-005,TD-006,물리·현장보안,DOC-TAX-001,5,1
TSD-006-006,TD-006,위협·정책 대응,DOC-TAX-001,6,1
TSD-007-001,TD-007,차세대 유무선 통신,DOC-TAX-001,1,1
TSD-007-002,TD-007,위성통신,DOC-TAX-001,2,1
TSD-007-003,TD-007,네트워크·전파 기반강화,DOC-TAX-001,3,1
TSD-007-004,TD-007,생태계 강화,DOC-TAX-001,4,1
TSD-008-001,TD-008,로봇 HW,DOC-TAX-001,1,1
TSD-008-002,TD-008,로봇 SW,DOC-TAX-001,2,1
TSD-008-003,TD-008,서비스 솔루션,DOC-TAX-001,3,1
TSD-008-004,TD-008,무인 자율화,DOC-TAX-001,4,1
TSD-008-005,TD-008,제조장비 고도화,DOC-TAX-001,5,1
TSD-008-006,TD-008,제조 데이터,DOC-TAX-001,6,1
TSD-008-007,TD-008,시뮬레이션-현장 전이,DOC-TAX-001,7,1
TSD-009-001,TD-009,인공지능 반도체,DOC-TAX-001,1,1
