decision_key,active_in_queue,decision_status,policy_item_id,policy_id,policy_name,bucket_label,item_label,primary_evidence_id,evidence_preview,suggested_primary_strategy_id,suggested_primary_strategy_label,alternate_strategy_ids,alternate_strategy_labels,reviewed_primary_strategy_id,reviewed_secondary_strategy_ids,reviewed_confidence,reviewer_name,reviewer_notes
SRD-POL-009-55404d9d3dc5,no,reviewed,ITM-POL-009-00555,POL-009,과학기술분야 출연(연) 정책방향,기술,거버넌스,DRV-PAR-DOC-POL-010-00166,ㅇ (거버넌스) 과기정통부(정책방향 제시)-연구회(출연(연) 간 협력 지원)-출연(연)(임무·역할 수행) 간 유기적 협력체계 명확화,STR-004,차세대 네트워크(6G) 및 지능형 인프라,,,STR-004,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-571333df877c,no,reviewed,ITM-POL-009-00556,POL-009,과학기술분야 출연(연) 정책방향,기술,경제,DRV-PAR-DOC-POL-010-00039,ㅇ (경제) 첨단기술이 국가 전략자산으로 기능하면서 기술 개발이 지체된 국가는 R&D 협력뿐만 아니라 안보 및 외교·통상에서도 소외,STR-006,탄소중립 및 에너지 안보 (수소·SMR),,,STR-006,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-e7840bc7d9eb,no,reviewed,ITM-POL-009-00559,POL-009,과학기술분야 출연(연) 정책방향,기술,공통행정 전문화,DRV-PAR-DOC-POL-010-00161,ㅇ (공통행정 전문화) 기관별 공통행정 기능을 연구회 중심으로 전문화 → 공통행정 역량 제고 및 전문화된 서비스 제공 ’26년~,STR-004,차세대 네트워크(6G) 및 지능형 인프라,,,STR-004,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-1905734d244a,no,reviewed,ITM-POL-009-00561,POL-009,과학기술분야 출연(연) 정책방향,기술,과학기술×AI,DRV-PAR-DOC-POL-010-00088,"- (과학기술×AI) AI를 통해 과학기술 패러다임 전환을 가속화하도록 주요 분야별 특화모델 개발·확보, 연구데이터 공유·활용 촉진",STR-001,AI G3 도약 및 전 산업 AX 확산,STR-008,피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-b6840e744dbd,no,reviewed,ITM-POL-009-00585,POL-009,과학기술분야 출연(연) 정책방향,기술,연구회 기능 정비,DRV-PAR-DOC-POL-010-00175,"ㅇ (연구회 기능 정비) 법률에 명시된 기능과 책무 중심으로 연구회의 기능 보완*, 의결기구(이사회) - 집행기구(사무기구) 간 분리 추진 ’26년~",STR-004,차세대 네트워크(6G) 및 지능형 인프라,,,STR-004,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-4762a07ae1d6,no,reviewed,ITM-POL-009-00588,POL-009,과학기술분야 출연(연) 정책방향,기술,운영체계,DRV-PAR-DOC-POL-010-00164,ㅇ (운영체계) 공공기관 지정해제(유보) 취지를 반영하여 조직·인사·예산 운영의 자율성 원칙 명시,STR-004,차세대 네트워크(6G) 및 지능형 인프라,,,STR-004,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-394b6ab7767c,no,reviewed,ITM-POL-009-00589,POL-009,과학기술분야 출연(연) 정책방향,기술,유휴부지 개발,DRV-PAR-DOC-POL-010-00167,"ㅇ (유휴부지 개발) 공동관리아파트 부지* 개발을 통해 해외 연구자 정주, 과학문화 공간, 연구회 운영공간 확보 등 종합 개발 ’26년~",STR-004,차세대 네트워크(6G) 및 지능형 인프라,,,STR-004,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-553eabfd8cf9,no,reviewed,ITM-POL-009-00592,POL-009,과학기술분야 출연(연) 정책방향,기술,일·가정 양립지원,DRV-PAR-DOC-POL-010-00170,ㅇ (일·가정 양립지원) 육아휴직 결원을 보충하기 위한 정규직 채용 적극 권고* ’26년~,STR-004,차세대 네트워크(6G) 및 지능형 인프라,,,STR-004,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-b967f8a3eeea,no,reviewed,ITM-POL-009-00593,POL-009,과학기술분야 출연(연) 정책방향,기술,장기적으로 GPU 등 연구장비 공동활용·통합관리,DRV-PAR-DOC-POL-010-00159,"- 장기적으로 GPU 등 연구장비 공동활용·통합관리, 연구데이터 통합 분석·활용 등 AI 연구기반 구축·활성화",STR-001,AI G3 도약 및 전 산업 AX 확산,STR-008,피지컬 AI 및 지능형 로봇 산업 육성,STR-001,STR-008,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-018126e2273e,no,reviewed,ITM-POL-009-00599,POL-009,과학기술분야 출연(연) 정책방향,기술,전략연구사업 운영방안 (기획절차,DRV-PAR-DOC-POL-010-00178,"ㅇ 전략연구사업 운영방안 (기획절차, 산-연-정 협의체 운영)",STR-004,차세대 네트워크(6G) 및 지능형 인프라,,,STR-004,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-5c5d3cd65a22,no,reviewed,ITM-POL-009-00601,POL-009,과학기술분야 출연(연) 정책방향,기술,주요 추진과제별 세부 이행계획 마련 (~’26.상반기),DRV-PAR-DOC-POL-010-00177,□ 주요 추진과제별 세부 이행계획 마련 (~’26.상반기),STR-004,차세대 네트워크(6G) 및 지능형 인프라,,,STR-004,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-b032c052ff67,no,reviewed,ITM-POL-009-00613,POL-009,과학기술분야 출연(연) 정책방향,인프라·제도,전산인프라 통합 운영,DRV-PAR-DOC-POL-010-00158,ㅇ (전산인프라 통합 운영) 전산인프라 통합 운영으로 시설 운영비용 효율화 및 데이터 보안･인프라 안정성 등 필수 기능 강화 ’26년~,STR-004,차세대 네트워크(6G) 및 지능형 인프라,,,STR-004,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-d0d82fbb69b7,no,reviewed,ITM-POL-009-00617,POL-009,과학기술분야 출연(연) 정책방향,인재,육성·지원,DRV-PAR-DOC-POL-010-00165,"ㅇ (육성·지원) 인력개발·우수인재 유치, 개방형 혁신 등 적극적 출연(연) 육성·지원을 위한 법적 기틀 마련",STR-004,차세대 네트워크(6G) 및 지능형 인프라,,,STR-004,,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-e0208433e1b6,no,reviewed,ITM-POL-009-00621,POL-009,과학기술분야 출연(연) 정책방향,인재,출연(연) 본연의 기능과 역할을 바탕으로 전략기술 확보*,DRV-PAR-DOC-POL-010-00018,"- 출연(연) 본연의 기능과 역할을 바탕으로 전략기술 확보*, 난제 해결**, 정책지원·인력양성, 기업·지역역량 제고 등 국가적 임무 수행",STR-002,초격차 전략기술 확보 (반도체·이차전지),STR-014,핵심 전략기술 자립 (LNG화물창·특수강),STR-002,STR-014,medium,auto_seed,provisional_auto_seed_from_queue(score=2)
SRD-POL-009-1ae6a7672fd8,no,no_strategy,ITM-POL-009-00551,POL-009,과학기술분야 출연(연) 정책방향,기술,PBS 부작용 심화,DRV-PAR-DOC-POL-010-00050,ㅇ (PBS 부작용 심화) PBS(Project-Based System)는 인건비·연구비 등 재정지원을 기관 단위가 아닌 과제 단위의 경쟁체제로 운영·관리하는 제도로,,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-783dbf2f7126,no,no_strategy,ITM-POL-009-00552,POL-009,과학기술분야 출연(연) 정책방향,기술,[ 통합평가 연계 인센티브 신설(안) ],DRV-PAR-DOC-POL-010-00129,[ 통합평가 연계 인센티브 신설(안) ],,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-5e5b6732ca17,no,no_strategy,ITM-POL-009-00553,POL-009,과학기술분야 출연(연) 정책방향,기술,`66년 KIST 설립 이후,DRV-PAR-DOC-POL-010-00046,"ㅇ `66년 KIST 설립 이후, 출연연은 국가 R&D의 중심축으로서 우수한 연구진이 주축이 되어 국민체감 대형성과 창출",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-f558c2c1c746,no,no_strategy,ITM-POL-009-00554,POL-009,과학기술분야 출연(연) 정책방향,기술,개방형 운영을 통해 분야별 외부 전문가 중심으로 운영하며,DRV-PAR-DOC-POL-010-00116,"- 개방형 운영을 통해 분야별 외부 전문가 중심으로 운영하며, 각 출연(연)이 기획·수행하는 사업에 대한 조정·보완에 집중",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-bde3c0ffcc76,no,no_strategy,ITM-POL-009-00557,POL-009,과학기술분야 출연(연) 정책방향,기술,계획에 대한 별도 평가는 폐지하고,DRV-PAR-DOC-POL-010-00121,"- 계획에 대한 별도 평가는 폐지하고, 대외 공개(경영공시 항목에 포함)하는 것으로 대체하여 관계 전문가·일반 국민의 개방형 검증 유도",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-87b6809011cf,no,no_strategy,ITM-POL-009-00558,POL-009,과학기술분야 출연(연) 정책방향,기술,고경력연구자 지원,DRV-PAR-DOC-POL-010-00151,"ㅇ (고경력연구자 지원) 임금피크제* 폐지 검토, 기 운영중인 ‘우수연구원 제도’ 대상확대 등 추진 ’26년~",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-89657c0050ca,no,no_strategy,ITM-POL-009-00560,POL-009,과학기술분야 출연(연) 정책방향,기술,과기출연기관법 전부개정,DRV-PAR-DOC-POL-010-00031,"- 과기출연기관법 전부개정, 연구회 기능 정비 등 지원기반 내실화",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-47bc8dbf2575,no,no_strategy,ITM-POL-009-00562,POL-009,과학기술분야 출연(연) 정책방향,기술,과학기술분야 정부출연연구기관이 임무·성과중심 국가거점으로 재도약하기 위해 임무수행체계,DRV-PAR-DOC-POL-010-00004,"ㅇ 과학기술분야 정부출연연구기관이 임무·성과중심 국가거점으로 재도약하기 위해 임무수행체계, 평가·보상체계, 연구환경 혁신 추진",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-fead73b86ef2,no,no_strategy,ITM-POL-009-00563,POL-009,과학기술분야 출연(연) 정책방향,기술,국회 등에서도 공공기관 지정해제 및 이에 따라 제정된 출연(연) 운영규정(훈령),DRV-PAR-DOC-POL-010-00079,"- 국회 등에서도 공공기관 지정해제 및 이에 따라 제정된 출연(연) 운영규정(훈령), 現 연구회 체제 등에 대한 법제적 정비 필요성 제기*",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-764bd8b55f94,no,no_strategy,ITM-POL-009-00564,POL-009,과학기술분야 출연(연) 정책방향,기술,기관별 역량 상이,DRV-PAR-DOC-POL-010-00071,ㅇ (기관별 역량 상이) 기관별 규모와 정원이 상이하나 요구되는 역량*은 지속적으로 확대 → 작은 기관일수록 행정 전문성 축적에 한계,,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-4ae1da3542a5,no,no_strategy,ITM-POL-009-00565,POL-009,과학기술분야 출연(연) 정책방향,기술,기관장 연임연계 폐지,DRV-PAR-DOC-POL-010-00126,ㅇ (기관장 연임연계 폐지) 기관평가 결과와 기관장 재선임 요건 간 연계를 폐지하고 연임 희망 시 차기 기관장 공모 참여를 통해 재선임 ’26년~,,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-9337ebedf46d,no,no_strategy,ITM-POL-009-00566,POL-009,과학기술분야 출연(연) 정책방향,기술,기관출연금 체계화,DRV-PAR-DOC-POL-010-00110,ㅇ (기관출연금 체계화) 기관출연금을 기관 자체 수요에 따른 ’기본연구사업‘과 정부·기업수요 기반으로 운영하는 ’전략연구사업‘으로 유형화 ’26년~,,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-d0c1b76788d7,no,no_strategy,ITM-POL-009-00567,POL-009,과학기술분야 출연(연) 정책방향,기술,기관출연금으로 인건비 전액 지원(PBS 단계적 폐지),DRV-PAR-DOC-POL-010-00021,"- 기관출연금으로 인건비 전액 지원(PBS 단계적 폐지), 기관출연금을 기본연구사업(기관자체수요)과 전략연구사업(정부·기업수요)*으로 유형화",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-edde7418fa9f,no,no_strategy,ITM-POL-009-00568,POL-009,과학기술분야 출연(연) 정책방향,기술,기관출연금이 충분히 확보되고,DRV-PAR-DOC-POL-010-00107,"- 기관출연금이 충분히 확보되고, 인센티브 체계 개편이 이루어진 후 인건비, 간접비를 기관운영비로 분리 편성 중장기",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-009-7f2539ad4859,no,no_strategy,ITM-POL-009-00570,POL-009,과학기술분야 출연(연) 정책방향,기술,기본연구사업은 안정적인 규모를 유지하며,DRV-PAR-DOC-POL-010-00111,"- 기본연구사업은 안정적인 규모를 유지하며, 기관별 ’기본연구사업(자체수요)‘와 ’전략연구사업+외부수탁(외부수요)‘을 균형있게 지원",,,,,,,medium,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
